Entry ID,Entry JP Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Pad 1,Buy,Sell%,JP Order 1,JP Order 2,Pad 2,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[JP Descr Pos],[JP Descr Size],JP Descr Str
480,爆弾,0b0001,"","",X,107,Damage,-1,100,0,100,50,0,23,0,80,6,Neutral,0,0,0,0x2cfc58,72,"一般に使用されている、取り扱いの容易な爆弾。
相手にダメージを与える。"
481,大爆弾,0b0001,"","",X,107,Damage,-1,100,0,150,50,1,18,0,120,6,Neutral,0,0,0,0x2cfca0,80,"サイズを大きくし、火薬量を増やして
威力を高めた爆弾。相手にダメージを与える。"
482,特大爆弾,0b0001,"","",X,107,Damage,-1,100,0,200,50,2,19,0,150,6,Neutral,0,0,0,0x2cfcf0,80,"特別な製法で、火薬量を通常の２倍にまで
増やした爆弾。相手にダメージを与える。"
483,巨大爆弾,0b0001,"","",X,107,Damage,-1,100,0,480,50,3,10,0,250,6,Neutral,0,0,0,0x2cfd40,72,"限界ギリギリまでサイズを大きくした爆弾。
相手に大きなダメージを与える。"
484,炎の爆弾,0b0001,"","",X,107,Damage,-1,100,0,450,50,4,28,0,240,1,Red,1,0,0,0x2cfd88,72,"火薬に赤の月Ж石の粉を混ぜた特殊な爆弾。
バーナに近い効果が得られる。"
485,氷の爆弾,0b0001,"","",X,107,Damage,-1,100,0,600,50,5,14,0,240,2,Purple,1,0,0,0x2cfdd0,72,"火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。
グラシャに近い効果が得られる。"
486,封じの爆弾,0b0001,"","",X,116,Silence by 100%,-1,100,0,600,50,6,25,0,0,0,Green,0,165,80,0x2cfe18,76,"火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。
サイレシャに近い効果が得られる。"
487,雷の爆弾,0b0001,"","",X,107,Damage,-1,100,0,450,50,7,4,0,240,4,Yellow,1,0,0,0x2cfe64,72,"火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。
ボルタに近い効果が得られる。"
488,バラスト爆弾,0b0001,"","",X,106,Weak by 100%,-1,100,0,600,50,8,24,0,0,0,Green,0,1,80,0x2cfeac,72,"火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。
ダウナに近い効果が得られる。"
489,波の爆弾,0b0001,"","",X,107,Damage,-1,100,0,600,50,9,20,0,240,3,Blue,1,0,0,0x2cfef4,72,"火薬に青の月Ж石の粉を混ぜた特殊な爆弾。
ウェイバに近い効果が得られる。"
