[Event Name],Task ID
MC0200000,"\h(《Fina》)Thank you all so much for rescuing me from the 
Valuans. I hope that I will be able to repay all
of you, someday.\e"
MC0200001,"\h(《Dyne》)Just worry about keeping those Moon Crystals out
of the hands of the Valuans. And Vyse, we're all
counting on you too.\e"
MC0200002,"\h(《Vyse》)Don't worry Dad. I won't let you down!
Well… I guess we should get going…\e"
MC0200003,\h(《Aika》)We'll be back soon! Bye Cap'n! Bye everyone!\e
MC0200004,"\h(《Fina》)Vyse…
Aika…
Are you sure you want to do this?\e"
MC0200005,"\h(《Vyse》)Fina, there's no way we can turn this down. \e"
MC0200006,"\h(《Vyse》)After what you told us about the Gigas, I don't
even want to think about what the Valuan Empire
would do if they got their hands on them.\e"
MC0200007,\h(《Vyse》)We're the only ones that can stop them.\e
MC0200008,"\h(《Vyse》)And… well, to be completely honest…
I've always wanted to sail the world,
and this is my chance…\e"
MC0200009,"\h(《Vyse》)Moon Crystals, lost cities, strange lands… I 
want to see them all with my own eyes! This is 
my chance to find out what's really out there.\e"
MC0200010,"\h(《Aika》)Fina, you couldn't stop us from going, even if 
you tried.\e"
MC0200011,"\h(《Aika》)This is the kind of adventure that Air Pirates 
dream of. If we passed this up, we'd regret it 
for the rest of our lives. \e"
MC0200012,\h(《Fina》)… I understand. Thank you! Thank you all!\e
MC0200013,"\h(《Vyse》)Fina, do you have any idea where the Crystals
might be?\e"
MC0200014,"\h(《Fina》)Well, according to the ancient legends, there 
should be a Moon Crystal hidden in the lands 
under each of the moons.\e"
MC0200015,"\h(《Fina》)The closest ones from here are…
hmm… the Yellow Moon of Valua…
and the Red Moon of Nasr.\e"
MC0200016,"\h(《Dyne》)Well, there's no chance of getting back into 
Valua right now. You should probably wait a 
while before going back there…\e"
MC0200017,"\h(《Dyne》)If you go East from here, you'll reach Nasr. 
With a normal ship, you'd probably never make it
through the stone reefs on the way…\e"
MC0200018,"\h(《Dyne》)But, now that the Little Jack is equipped with a
Harpoon Cannon, you've got a pretty good chance
of making it through.\e"
MC0200019,"\h(《Vyse》)Sounds like a plan.
We're heading East to Nasr and we're going to 
get that Red Moon Crystal.\e"
MC0200020,"\h(《Drachma》)We've been standing around here long enough. 
Let's get going.\e"
MC0200021,"\h(《Vyse》)Well… Dad, I guess it's time to say good-bye.\e"
MC0200022,"\h(《Dyne》)Remember everything I've taught you…
Make us proud, son…\e"
Ms002d000,"\h(《Vyse》)It's a picture of the Albatross.
My dad has had this boat for as long as I can
remember. She's a good boat…\c"
Ms002d001,"\h(《Vyse》)I never could quite figure out what this was a
picture of. Aika thinks it's a giant ballon, but
I think it's a big rock.\c"
Ms002d002,"\h(《Vyse》)It's full of my old man's books and other
things that he's picked up on our raids. I
wonder how old some of that stuff actually is…\c"
Ms002d003,"\h(《Vyse》)It's the flag of the Dyne Family. I've always
liked this design. It just says “Blue Rogues”
to me. It's a classic.\c"
Ms002d041,"\h(《Vyse》)It's the flag of the Dyne Family…
Don't worry everyone… I'll rescue you all!
I promise!!!\c"
Ms002d004,"\h(《Vyse》)These boxes contain all the good loot from all
of our recent raids. My dad always takes the
good stuff. Well, I suppose he IS the captain…\c"
Ms002d005,"\h(《Vyse》)It's filled with various healing crystals and
raw materials for medicines and stuff. Maybe
this is Erinn's emergency supply…\c"
Ms002d006,"\h(《Vyse》)Weapon parts… Moon Stones… This must be where
Zack puts all of his odds and ends. I wonder
if he's ever going to use any of this stuff…\c"
Ms002d042,"\h(《Vyse》)Well, it looks like everything is still intact
here. Those Valuans aren't very thorough. They
didn't take any weapons or Moon Stones.\c"
Ms002d007,"\h(《Vyse》)Wow… Fruit!! Erinn probably grabbed this from
one of our raids. Fruit is hard to come by…
Well, fruit other than Loquat Berries, that is…\c"
Ms002d008,"\h(《Vyse》)It's a barrel filled with loqua. After it's been
processed with the Moon Stones, the bitter smell
of Loquat Berries is hardly noticeable.\c"
Ms002d043,"\h(《Vyse》)Why didn't the Valuans take the loqua? Do they
not drink it in Valua? Well, I wouldn't know…
I've never been there before…\c"
Ms002d009,"\h(《Vyse》)There're loquas of all colors lined up on the
walls here. I wonder if loqua made with Silver
Moon Stones actually exists…\c"
Ms002d044,"\h(《Vyse》)Why didn't the Valuans take the loqua? Do they
not drink it in Valua? Well, I wouldn't know…
I've never been there before…\c"
Ms002d010,"\h(《Vyse》)We took this armor from a Valuan vessel a long
time ago. Looks like someone had a little fun
drawing on it. Looks much better now. Heh heh…\c"
Ms002d045,"\h(《Vyse》)It's hard to think that just a little while ago,
everyone was here giving cheers to our
successful raid on that Valuan battleship…\c"
Ms002d011,"\h(《Vyse》)It's a talking-tube. It's connected to my dad's
office. It allows him to issue commands from his
office to the guys sleeping in here.\e"
Ms002d012,"\h(《Dyne》)Vyse!! Quit standing around and get your butt
over here on the double!!\c"
Ms002d013,"\h(《Vyse》)It's a talking-tube. It's connected to my dad's
office. It allows him to issue commands from his
office to the guys sleeping in here.\e"
