[Event Name],Task ID
MD0120000,"\h(《Vyse》)Aika!
Signal Belleza's ship!\e"
MD0120001,"\h(《Vyse》)Tell them that we will attack if they don't
call off the Gigas.\e"
MD0120002,\h(《Aika》)Aye aye that!\e
MD0120003,"\h(《Drachma》)Now, all we need is for that lady admiral to
listen to our demands…\e"
MD0120004,"\h(《Vyse》)Don't worry, Captain.
Belleza is not the kind of person that would
needlessly sacrifice the lives of her crew.\e"
MD0120005,\h(《Vyse》)I'm sure she'll call off the Gigas.\e
MD0120006,"\h(《Fina》)Belleza…
Please…\e"
MD0120007,"\h(《Fina》)Vyse!
Look! The Gigas…!\e"
MD0120008,"\h(《Aika》)There was a reply from Belleza's ship:
“We have called off the Gigas. 
We are making an emergency landing.”\e"
MD0120009,"\h(《Aika》)I repeat: “We have called off the Gigas. 
We are making an emergency landing.”\e"
MD0120010,\h(《Vyse》)We did it!\e
"",me204a.sct
"",a220ad12_3.mld
"",a220ad12_3.mld
"",a220ad12.mld
"",a220ad12.mld
"",a220ad12_efe.mld
"",a220ad12_efe.mld
"",e6d012
"",M0330
"",a220ad12.mld
"",a220ad12_2.mld
"",a220ad12_2.mld
"",M0370
"",a220ad12.mld
"",a220ad12_3.mld
"",a220ad12_efe.mld
