Entry ID,Entry US Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Buy,Sell%,US Order 1,US Order 2,Pad 5,[US Descr Pos],[US Descr Size],US Descr Str
440,Rogue Figure,0b00111110,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,800,50,0,25,0,0x2ceef8,96,"A menacing skull with crossed swords, the symbol
of the Air Pirates. Increases Magic Defense."
441,Pryn Figure,0b00111110,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2400,50,1,22,0,0x2cef58,96,"Crafted after a mystical red bird, and decorated
with red feathers. Increases Magic Defense."
442,Pyrynn Figure,0b00111110,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,4400,50,2,23,0,0x2cefb8,80,"A sculpture based on the mythical guardian of
Pyrynn. Increases Magic Defense."
443,Arcwhale Figure,0b00111110,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,4640,50,3,4,0,0x2cf008,80,"A sculpture of an arcwhale, the guardian of the
skies. Increases Magic Defense."
444,Quetya Figure,0b00111110,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,4880,50,4,24,0,0x2cf058,88,"A sculpture of a Quetya, an Ixa'takan Deity.
Its divine power increases Magic Defense."
445,Giant Figure,0b00111110,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,5120,50,5,16,0,0x2cf0b0,64,"A sculpture in the form of a giant.
Increases Magic Defense."
446,Bluheim Figure,0b00111110,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,5360,50,6,6,0,0x2cf0f0,72,"A sculpture of Bluheim, the Yafutoman Gigas.
Increases Magic Defense."
447,Goddess Figure,0b00111110,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,6800,50,7,17,0,0x2cf138,84,"A sculpture of the goddess of love, courage,
and victory. Increases Magic Defense."
448,Vyse Figure,0b00111110,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,8800,50,8,37,0,0x2cf18c,60,"A shameless sculpture of Vyse. 
Increases Magic Defense."
449,Spherical Figure,0b00111110,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,13500,50,9,30,0,0x2cf1c8,44,"A glowing sphere.
Increases Magic Defense."
