Entry ID,[Filter],[PC ID],[PC Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Ranged Speed,Close Speed
0,ma000.std,0,Vyse,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.70,25.10
1,ma000.std,0,Vyse,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.30,1.00
2,ma000.std,0,Vyse,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,ma000.std,0,Vyse,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,ma000.std,0,Vyse,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,ma000.std,0,Vyse,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA001.std,1,Aika,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.50,22.10
1,MA001.std,1,Aika,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.40,1.00
2,MA001.std,1,Aika,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA001.std,1,Aika,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA001.std,1,Aika,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA001.std,1,Aika,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,ma002.std,2,Fina,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.40,22.50
1,ma002.std,2,Fina,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.50,1.00
2,ma002.std,2,Fina,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,ma002.std,2,Fina,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,ma002.std,2,Fina,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,ma002.std,2,Fina,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA003.std,3,Drachma,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.20,20.00
1,MA003.std,3,Drachma,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.30,1.00
2,MA003.std,3,Drachma,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA003.std,3,Drachma,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA003.std,3,Drachma,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA003.std,3,Drachma,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA004.std,4,Enrique,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,4,1.60,28.50
1,MA004.std,4,Enrique,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.50,1.00
2,MA004.std,4,Enrique,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA004.std,4,Enrique,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA004.std,4,Enrique,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA004.std,4,Enrique,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,MA005.std,5,Gilder,0,Set Approach Speed,0,7,0,Idle 1,0b10001000000000000000000000000000,-1,None,5,1.70,25.00
1,MA005.std,5,Gilder,1,Set Withdraw Speed,1,9,0,Idle 1,0b10011100000000000000000000000000,-1,None,0,0.45,1.00
2,MA005.std,5,Gilder,3,Set Turn Speed,1,8,2,Approach,0b10000000000000000000000000000000,-1,None,0,5.00,1.00
3,MA005.std,5,Gilder,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,35,???,2,5.00,0.30
4,MA005.std,5,Gilder,30,Silver Nightmare,1,8,0,Idle 1,0b10010000100000000000000000000000,36,???,3,5.00,0.30
5,MA005.std,5,Gilder,30,Silver Nightmare,1,8,1,Idle 2 (Injured),0b10010000100000000000000000000000,37,???,3,5.00,0.30
0,ma010.std,10,Cupil,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma010.std,10,Cupil,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma010.std,10,Cupil,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma011.std,11,Cupil Lance,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma011.std,11,Cupil Lance,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma011.std,11,Cupil Lance,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma012.std,12,Cupil Star,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma012.std,12,Cupil Star,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma012.std,12,Cupil Star,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma013.std,13,Cupicone,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma013.std,13,Cupicone,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma013.std,13,Cupicone,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma014.std,14,Cupil Spear,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma014.std,14,Cupil Spear,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma014.std,14,Cupil Spear,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
0,ma015.std,15,Cupil Blade,0,Set Approach Speed,0,7,0,Idle 1,0b01001000000000000000000000000000,0,???,0,1.00,5.00
1,ma015.std,15,Cupil Blade,1,Set Withdraw Speed,1,9,0,Idle 1,0b01011100000000000000000000000000,-1,None,0,0.00,1.00
2,ma015.std,15,Cupil Blade,3,Set Turn Speed,1,8,4,Critical Attack,0b01000000000000000000000000000000,0,???,0,5.00,1.00
