Entry ID,EU SOT Pos,[Entry GB Name],Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad 1,Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 2,Pad 3
0,0x8034bfc8,Increm,1,Magic,21,Incr Attack & Defense,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
1,0x802b0d80,Incremus,1,Magic,21,Incr Attack & Defense,4,All ECs,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
2,0x8034bfd0,Sylenis,1,Magic,12,Silence,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,5,Silence,40,0,0
3,0x8034bfd8,Panika,1,Magic,11,Confusion,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,4,Confusion,40,0,0
4,0x8034bfe0,Driln,1,Magic,26,Decr All Attr,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,8,Weak,40,0,0
5,0x8034bfe8,Drilnos,1,Magic,26,Decr All Attr,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,8,Weak,60,0,0
6,0x8034bff0,Sacri,1,Magic,31,Recover HP,3,Single EC,0,500,HP,17408,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
7,0x8034bff8,Sacres,1,Magic,31,Recover HP,3,Single EC,0,1000,HP,17408,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
8,0x8034c000,Sacrum,1,Magic,31,Recover HP,4,All ECs,0,1000,HP,17408,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
9,0x802b0d8c,Sacrulen,1,Magic,32,Recover HP of 100%,3,Single EC,0,10000,HP,17408,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
10,0x8034c008,Noxi,1,Magic,4,Poison + Damage,1,Single PC,0,1,Will,60,0,Green,1,Magical,1,Will,1,Will,0,Poison,40,0,0
11,0x8034c010,Noxus,1,Magic,4,Poison + Damage,2,All PCs,0,1,Will,100,0,Green,1,Magical,1,Will,1,Will,0,Poison,60,0,0
12,0x8034c018,Slipara,1,Magic,9,Sleep,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,3,Sleep,60,0,0
13,0x8034c020,Quika,1,Magic,20,Incr Quick,4,All ECs,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
14,0x8034c028,Curia,1,Magic,30,Rem Neg States B,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
15,0x8034c030,Risan,1,Magic,27,Revive With HP of 50%,3,Single EC,0,0,Power,0,0,Green,0,Physical,55,Revival,55,Revival,7,Revival,50,0,0
