Entry ID,EU SOT Pos,[Entry GB Name],Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad 1,Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 2,Pad 3
0,0x802b0dec,Volcanic Blast,0,S-Move,0,Damage,2,All PCs,0,16,Attack,20,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
1,0x802b0dfc,Cinder Storm,0,S-Move,8,Stone + Damage,1,Single PC,0,16,Attack,5,1,Red,0,Physical,16,Attack,17,Defense,2,Stone,50,0,0
2,0x802b0e0c,Feather Slash,0,S-Move,0,Damage,102,PC Ray S5,0,16,Attack,30,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
3,0x8034c0a0,KETSUBAN,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
4,0x8034c0a8,Laser,0,S-Move,0,Damage,1,Single PC,0,16,Attack,20,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
5,0x802b0e1c,Thunder of Fury,0,S-Move,0,Damage,101,PC Ray S3,0,16,Attack,30,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
6,0x8034c0a0,KETSUBAN,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
7,0x802b0e2c,Circle of Panic,0,S-Move,11,Confusion,1,Single PC,0,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,4,Confusion,0,0,0
8,0x802b0e3c,Ring of Sleep,0,S-Move,9,Sleep,1,Single PC,0,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,3,Sleep,0,0,0
9,0x802b0e4c,Target Search,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
10,0x8034c0a0,KETSUBAN,0,S-Move,-1,None,0,None,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
11,0x8034c0b0,Tackle,0,S-Move,0,Damage,102,PC Ray S5,0,16,Attack,40,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
