[Event Name],Task ID
MI0140000,"\h(«Brabham»)Welcome home. 
Well, how do you like what we've done with the
place?\e"
MI0140001,"\h(«Vyse»)I have to say that I'm really impressed with
your work!\e"
MI0140002,"\h(«Izmael»)Ba ba bam!
What did you expect from the greatest 
builder that ever lived?\e"
MI0140003,"\h(«Izmael»)If you keep the gold coming in,
I'll keep adding on!\e"
MI0140004,"\h(«Brabham»)I've been busy, too! I made new 
armor plating for the Delphinus' hull. 
It's super-sturdy!\e"
MI0140005,"\h(«Brabham»)After I add it on to your ship, you'll be able
to fly through those pesky stone reefs without
a hitch!\e"
MI0140006,"\h(«Vyse»)Thank you both for everything you've done 
for us. I would like you both to join my crew 
on board the Delphinus.\e"
MI0140007,"\h(«Vyse»)That reminds me… I got this while we were in 
Yafutoma. Can you do anything with it?\e"
MI0140008,"\h( )You gave the “Book on Polarity” to Brabham.
I don't think he's ever been this excited.\e"
MI0140009,"\h(«Brabham»)Well, shiver me timbers! I've never seen this
type of technology before in my life!\e"
MI0140010,"\h(«Brabham»)With this type of engine, you'll be able to fly
higher than the clouds, and lower than you've
ever imagined.\e"
MI0140011,\h(«Brabham»)I'll get started on this baby in a jiffy!\e
MI0140012,"\h(«Enrique»)Vyse, we should figure out what we're going to
do next.\e"
MI0140013,"\h(«Izmael»)I knew someone would say that! That's why I
built a meeting room into the wall of the cliff.
You can do all of your planning from there.\e"
MI0140014,"\h(«Vyse»)You built us a meeting room? Wow… you're great,
Izmael. Let's go check it out!\e"
MI0140015,\h( )Brabham has joined your crew as an “Engineer.”\e
MI0140016,\h( )Izmael has joined your crew as a “Builder.”\e
MFI0140000,"\h(«Brabham»)Bon retour parmi nous.
Eh bien, êtes-vous contents de notre travail ?\e"
MFI0140001,\h(«Vyse»)Je dois dire que je suis très impressionné !\e
MFI0140002,"\h(«Izmael»)Ba ba bam !
Qu'est-ce vous croyez, je suis le meilleur
maçon qui n'ait jamais existé ?\e"
MFI0140003,"\h(«Izmael»)Si vous continuez de me payer en or,
j'apporterai d'autres améliorations !\e"
MFI0140004,"\h(«Brabham»)Moi aussi j'ai eu beaucoup de travail !
J'ai fait un nouveau blindage pour la coque du
Delphinus. C'est super-solide !\e"
MFI0140005,"\h(«Brabham»)Une fois que je l'aurais ajoutée au navire, il
traversera ces récifs sans une égratignure !\e"
MFI0140006,"\h(«Vyse»)Merci à tous les deux de ce que vous avez fait
pour nous. Je voudrais que vous nous rejoigniez
à bord du Delphinus.\e"
MFI0140007,"\h(«Vyse»)Cela me fait penser que…… On m'a donné ça lors
de mon séjour à Yafutoma. Pouvez-vous en faire
quelque chose ?\e"
MFI0140008,"\h( )Vous avez donné le “Livre des Polarités” à
Brabham. Il semblerait que ce soit la première
fois qu'il est aussi content.\e"
MFI0140009,"\h(«Brabham»)Sapristi ! C'est la première fois de ma vie que
je vois ce type de technologie !\e"
MFI0140010,"\h(«Brabham»)Avec ce type de moteur, vous pourrez voyager au
dessus des nuages, et plus bas que jamais.\e"
MFI0140011,\h(«Brabham»)Je vais m'y mettre tout de suite !\e
MFI0140012,"\h(«Enrique»)Vyse, nous devrions réfléchir à ce que nous
allons faire ensuite.\e"
MFI0140013,"\h(«Izmael»)Je savais que quelqu'un dirait ça ! C'est pour
cette raison que j'ai construit une salle de
réunion dans la falaise.
Vous pourrez élaborer vos projets là-bas.\e"
MFI0140014,"\h(«Vyse»)Vous nous avez construit une salle de réunion ?
Oaouh…… vous êtes formidable, Izmael. Allons la
voir !\e"
MFI0140015,"\h( )Brabham a rejoint votre équipage comme
“Ingénieur.”\e"
MFI0140016,\h( )Izmael a rejoint votre équipage comme “Maçon.”\e
MGI0140000,"\h(«Brabham»)Willkommen im trauten Heim.
Also, wie gefällt euch, was wir mit eurem
Zuhause gemacht haben?\e"
MGI0140001,"\h(«Vyse»)Ich muss sagen, ich bin von eurer Arbeit
wirklich beeindruckt!\e"
MGI0140002,"\h(«Izmael»)Ba ba bam!
Was habt ihr sonst vom größten Konstrukteur,
der je lebte, erwartet?\e"
MGI0140003,"\h(«Izmael»)Wenn ihr weiterhin Gold mitbringt, dann
baue ich gern noch an!\e"
MGI0140004,"\h(«Brabham»)Ich habe meine Zeit auch nicht müßig verbracht!
Ich habe die neue Panzerung für den Rumpf der
Delphinus angefertigt. Sie ist super
widerstandsfähig!\e"
MGI0140005,"\h(«Brabham»)Nachdem ich sie an deinem Schiff angebracht
habe, kommst du mühelos an diesen verteufelten
Felsklippen vorbei!\e"
MGI0140006,"\h(«Vyse»)Euch beiden vielen Dank für das, was ihr für
uns getan habt. Ich möchte, dass ihr meiner
Mannschaft an Bord der Delphinus beitretet.\e"
MGI0140007,"\h(«Vyse»)Apropos…… das habe ich bekommen, als wir
in Yafutoma waren. Kannst du was damit
anfangen?\e"
MGI0140008,"\h( )Du hast Brabham das “Book of Polarity” gegeben.
Ich glaube, er war noch nie so aufgeregt.\e"
MGI0140009,"\h(«Brabham»)Also, bei allem, was recht ist! Diese Art von
Technologie habe ich noch nie zuvor gesehen!\e"
MGI0140010,"\h(«Brabham»)Mit dieser Art von Antrieb kannst du über
den Wolken fliegen und niedriger, als du es dir
je vorgestellt hast.\e"
MGI0140011,"\h(«Brabham»)Dieses kleine Wunder nehme ich gleich in
Angriff!\e"
MGI0140012,"\h(«Enrique»)Vyse, wir sollten uns überlegen, was wir als
Nächstes tun sollen.\e"
MGI0140013,"\h(«Izmael»)Ich wusste, dass dieser Kommentar kommen würde!
Deshalb habe ich einen Konferenzraum in die
Felswand eingebaut. Dort könnt ihr in Ruhe
alle eure Pläne schmieden.\e"
MGI0140014,"\h(«Vyse»)Du hast uns einen Konferenzraum gebaut? Man……
du bist toll, Izmael. Sehen wir ihn uns mal an!\e"
MGI0140015,"\h( )Brabham ist als “Ingenieur” zu deiner Crew
gestoßen.\e"
MGI0140016,"\h( )Izmael ist als “Bauherr” zu deiner Crew
gestoßen.\e"
MSI0140000,"\h(«Brabham»)Bienvenidos a casa.
¿Os gusta lo que hemos hecho con este sitio?\e"
MSI0140001,"\h(«Vyse»)¡Tengo que decir que estoy muy impresionado con
vuestro trabajo!\e"
MSI0140002,"\h(«Izmael»)¡Ba ba bam!
¿Pero qué esperábais del mejor constructor que
jamás ha habido?\e"
MSI0140003,"\h(«Izmael»)¡Si sigues trayendo dinero,
yo seguiré arreglándolo!\e"
MSI0140004,"\h(«Brabham»)¡Yo también he estado muy ocupado! He reforzado
más el blindaje del casco del Delphinus.
¡Está súper firme!\e"
MSI0140005,"\h(«Brabham»)¡Cuando lo ponga en tu navío, podréis atravesar
esos arrecifes tan engorrosos sin un arañazo!\e"
MSI0140006,"\h(«Vyse»)Gracias a los dos por todo lo que habéis hecho.
Me gustaría que los dos os uniérais a mi
tripulación a bordo del Delphinus.\e"
MSI0140007,"\h(«Vyse»)Eso me recuerda algo…… Me dieron esto en nuestra
visita a Yafutoma. ¿Puedes hacer algo con ello?\e"
MSI0140008,"\h( )Has dado el “Libro del Polo” a Brabham.
No creo que jamás haya estado tan emocionado.\e"
MSI0140009,"\h(«Brabham»)¡Bueno, que se me lleven los demonios! ¡Jamás en
mi vida había visto esta avanzada tecnología!\e"
MSI0140010,"\h(«Brabham»)Con este tipo de motor, podrás volar más alto
que las nubes y más bajo de lo que hayas
imaginado nunca.\e"
MSI0140011,\h(«Brabham»)¡Voy a ponerme manos a la obra ahora mismo!\e
MSI0140012,"\h(«Enrique»)Vyse, tenemos que pensar qué vamos a hacer
ahora.\e"
MSI0140013,"\h(«Izmael»)¡Sabía que alguien lo diría! Por eso construí
una sala de reuniones dentro del muro del
acantilado. Allí podéis hacer vuestros planes.\e"
MSI0140014,"\h(«Vyse»)¿Nos has construido una sala de reuniones?
Ooh, Izmael, eres el mejor. ¡Vamos a echarle un
vistazo!\e"
MSI0140015,"\h( )Brabham se ha unido a tu tripulación como
“Técnico”.\e"
MSI0140016,"\h( )Izmael se ha unido a tu tripulación como
“Maestro”.\e"
MI0150000,"\h(«Izmael»)Ba ba bam!
They're back!!! And the hull seems to be in one
piece.\e"
MI0150001,"\h(«Brabham»)Of course it's in once piece! A little ice isn't
gonna hurt it one bit! \e"
MI0150002,"\h(«Brabham»)Captain Vyse…
About that book from Yafutoma…\e"
