[Event Name],Task ID
M01220000,"\h(«Vyse»)Hm? What's this black stone?
It's giving off some sort of light, though…\c"
M01220001,"\h(«Vyse»)Is this a Moon Stone? A Black Moon Stone? Huh?
Does that mean there's a Black Moon, too? I
don't know what's going on here…\c"
M01220002,"\h(«Vyse»)Whoa…
There's a whole mountain of old sails and
sailing equipment…\c"
M01220003,"\h(«Vyse»)There's some dried fish hanging here. Well, they
look like they're still a little moist. It's
probably best not to eat them…\c"
M01220004,"\h(«Vyse»)Is this supposed to be a bed? It doesn't look
very comfortable. But, it's probably more
comfortable than the hammock on the Little Jack.\c"
M01220005,"\h(«Vyse»)There's a diary
on the desk…\e"
M01220011,"\h(«Vyse»)This must be the source of the light that
we saw through the window.\c"
M01220012,"\h(«Vyse»)Robinson lived here for so many years… with
nothing to light his way but a flickering lamp…\c"
M01220013,\h(«Ragged Old Man»)…………\c
M01220014,"\h(«Vyse»)Um… sir? Are you alright?
Did you get shipwrecked in here?\e"
M01220015,\h(«Ragged Old Man»)… Who are you?\e
M01220016,"\h(«Vyse»)Uh, I'm Vyse, a Blue Air Pirate.
What's your name?\e"
M01220017,\h(«Ragged Old Man»)… I don't know.\e
M01220018,\h(«Vyse»)… Huh?\e
M01220019,"\h(«Ragged Old Man»)I can't remember anything from before the
shipwreck. I can't even remember my crewmates'
names… I… I…\e"
M01220020,"\h(«Fina»)It appears that he has amnesia. Poor man…
The shock of being shipwrecked must have
been devastating…\e"
M01220021,"\h(«Aika»)You know what? You can just come with us!
We'll give you a ride out of here!\e"
M01220022,"\h(«Ragged Old Man»)No… I know the way out… The Giant Beast leads
to the outer world… But… But I cannot leave
without my memories.\e"
M01220023,"\h(«Aika»)But, we're here to help you!\e"
M01220024,"\h(«Ragged Old Man»)I cannot leave. Not without knowing who I am.
Not without knowing where to go once I am on
the outside. No, I will stay here.\c"
M01220025,"\h(«Vyse»)… Alright. We can't force you to leave.
Hmm… I wonder if there's anything we can do to
help him get his memory back…\c"
M01220026,\h(«Ragged Old Man»)………………\c
M01220027,"\h(«Vyse»)Hey, have you remembered anything
about yourself yet?\e"
M01220028,"\h(«Ragged Old Man»)…Who are you?
I've never seen you before…\e"
M01220029,"\h(«Aika»)…Oh, no. He's forgotten all about us
already!\c"
M01220030,\h(«Ragged Old Man»)…………\c
M01220031,"\h(«Vyse»)Um… sir? Are you alright?
Did you get shipwrecked in here?\e"
M01220032,\h(«Ragged Old Man»)… Who are you?\e
M01220033,"\h(«Vyse»)Uh, I'm Vyse, a Blue Air Pirate.
What's your name?\e"
M01220034,\h(«Ragged Old Man»)… I don't know.\e
M01220035,\h(«Vyse»)… Huh?\e
M01220036,"\h(«Ragged Old Man»)I can't remember anything from before the
shipwreck. I can't even remember my crewmates'
names… I… I…\e"
M01220037,"\h(«Fina»)It appears that he has amnesia. Poor man…
The shock of being shipwrecked must have
been devastating…\e"
M01220038,"\h(«Aika»)I wonder where
he's from…\e"
M01220039,"\h(«Polly»)It… it's you!
Oh, thank the Moons I've found you!!\e"
M01220040,"\h(«Polly»)Your hair's a little longer than before and
you've got a beard now, but I know it's you! I'd
never forget you! You're my husband, Robinson!\e"
M01220041,"\h(«Ragged Old Man»)Robinson…
That's my name…?\e"
M01220042,"\h(«Polly»)Yes, that's right!
It's me! Polly! Don't you remember me?
Anne and I have been waiting for you for years!\e"
M01220043,"\h(«Ragged Old Man»)Polly?
Anne?\e"
M01220044,\h(«Ragged Old Man»)……………\e
M01220045,"\h(«Ragged Old Man»)Wait… Rob… in… son… Polly… Anne… Anne…
Yes!! Yes!!!\e"
M01220046,"\h(«Ragged Old Man»)Yes! My name is Robinson! And I remember! I
remember my wife, Polly! And my daughter, Anne!\e"
M01220047,"\h(«Polly»)Yes, yes!
That's right!!\c"
M01220048,"\h(«Robinson»)…Yes, I remember now. Oh, Polly… I'm so sorry.
You must've been so worried… I'm so sorry that
I left you alone for so long…\e"
M01220049,\h(«Polly»)I'll never let you go again!\e
M01220050,"\h(«Robinson»)…Nor will I.
But… it seems like you're… a lot more
woman than when I last saw you…\e"
M01220051,"\h(«Polly»)You haven't seen me in years and that's
all you have to say to me?!\c"
M01220052,"\h(«Robinson»)Your name was Vyse, right?
I thank you from the bottom of my heart. Because
of you, I have been reunited with Polly.\e"
M01220053,"\h(«Robinson»)Polly tells me that she is a member of your
crew now…\e"
M01220054,"\h(«Robinson»)I would like to go with Polly.
Could I come aboard your ship
as a member of your crew?\e"
M01220055,"\h(«Vyse»)Of course!
We could always use more help!\e"
M01220056,"\h(«Robinson»)I'm not in the best of shape, but I still 
remember how to sail. I can at least do
that much for you.\e"
M01220057,\h( )Robinson has joined your crew as a “Sailor.”\c
M01220058,\h(«Ragged Old Man»)………………\c
M01220059,"\h(«Vyse»)Hey, have you remembered anything
about yourself yet?\e"
M01220060,"\h(«Ragged Old Man»)…Who are you?
I've never seen you before…\e"
M01220061,"\h(«Aika»)…Oh, no. He's forgotten all about us
already!\c"
M01220062,"\h(«Polly»)It… it's you!
Oh, thank the Moons I've found you!!\e"
M01220063,"\h(«What will you do?»)“Return to the Delphinus.”
“Stay here a little while longer.”\c"
MF01220000,"\h(«Vyse»)Hum ? Quelle est cette pierre noire ?
Pourtant elle reflète de la lumière……\c"
MF01220001,"\h(«Vyse»)Est-ce une Pierre de Lune ? Une Pierre de Lune
Noire ? Hein ? Cela veut-il dire qu'il y a aussi
une Lune Noire ? Je ne sais pas ce qu'il se
passe ici……\c"
MF01220002,"\h(«Vyse»)Oh là là……
Il y a toute une montagne de vieilles voiles et
d'équipement de navigation……\c"
MF01220003,"\h(«Vyse»)Il y a des poissons séchés qui pendent. Bon, ils
ne sont pas complètement secs. Il vaut mieux ne
pas les manger……\c"
MF01220004,"\h(«Vyse»)C'est censé être un lit ? Il n'a pas l'air très
confortable. Mais, c'est sûrement plus
confortable que le hamac du Little Jack.\c"
MF01220005,"\h(«Vyse»)Il y a un journal
sur le bureau……\e"
MF01220006,"\h( )“J'ai perdu le fil des jours…… non, des années……
depuis notre naufrage dans le Récif Noir. Je ne
me souviens même pas de notre destination……”\e"
MF01220007,"\h( )“Tous mes compagnons de bord ont péri. Il ne
reste que moi…… Parfois je me demande pourquoi
je ne vais pas les rejoindre…… Mais, il y a
quelque chose……”\e"
MF01220008,"\h( )“Quelque chose qui me retient…… me donne la
force de continuer. Je…… je ne me souviens pas.
Je me souviens de rien. Je ne sais même pas
comment je m'appelle……”\e"
MF01220010,"\h( )“Mais cela n'a pas d'importance. Je suis
condamné à mourir ici dans ces nuages
tourbillonnants de la mort. J'ai décidé de mon
destin pour une raison stupide quelconque……”\c"
MF01220011,"\h(«Vyse»)Ce doit être la source de la lumière que nous
avons vue par la fenêtre.\c"
MF01220012,"\h(«Vyse»)Robinson a vécu ici pendant des années…… avec
seulement une lampe vacillante pour éclairer son
chemin……\c"
MF01220013,\h(«Vieil Homme en Haillons»)…………\c
MF01220014,"\h(«Vyse»)Um…… Monsieur ? Ça va ?
Vous avez fait naufrage ici ?\e"
MF01220015,\h(«Vieil Homme en Haillons»)…… Qui êtes-vous ?\e
MF01220016,"\h(«Vyse»)Uh, je m'appelle Vyse, un Pirate de l'Air Bleu.
Comment vous appelez-vous ?\e"
MF01220017,\h(«Vieil Homme en Haillons»)…… Je ne sais pas.\e
MF01220018,\h(«Vyse»)…… Hein ?\e
MF01220019,"\h(«Vieil Homme en Haillons»)J'ai oublié tout ce qu'il s'est passé avant le
naufrage. Je ne me souviens même pas des noms de
mes compagnons…… Je…… Je……\e"
MF01220020,"\h(«Fina»)On dirait qu'il souffre d'amnésie. Le pauvre……
Le naufrage a dû être un choc terrible……\e"
MF01220021,"\h(«Aika»)Vous savez quoi ? Vous n'avez qu'à venir avec
moi ! Nous vous sortirons d'ici !\e"
MF01220022,"\h(«Vieil Homme en Haillons»)Non…… Je connais la sortie…… La Bête Géante mène
au monde extérieur…… Mais…… Mais je ne peux pas
vivre sans mes souvenirs.\e"
MF01220023,"\h(«Aika»)Mais, nous sommes ici pour vous aider !\e"
MF01220024,"\h(«Vieil Homme en Haillons»)Je ne peux pas partir. Pas sans savoir qui je
suis. Pas sans savoir où aller une fois dehors.
Non, je vais rester ici.\c"
MF01220025,"\h(«Vyse»)…… Entendu. Nous ne pouvons pas vous obliger à
partir. Humm…… Je me demande si nous pouvons
l'aider à retrouver la mémoire……\c"
