[Event Name],Task ID
ML0130000,"\h(«Fina»)That looks like the bridge… 
Galcian must be in there.\e"
ML0130001,"\h(«Vyse»)Well, I guess we'll just have to break that door
down, won't we?\e"
ML0130002,\h( )That will not be necessary.\e
ML0130003,\h(«Aika»)Galcian!\e
ML0130004,"\h(«Galcian»)I did not realize that there were still this
many people foolish enough to resist me.\e"
ML0130005,"\h(«Galcian»)And you, Vyse, have caused me 
more trouble than anyone.\e"
ML0130006,"\h(«Vyse»)Thanks. It's an Air Pirate's duty 
to cause trouble… I feel so accomplished.\e"
ML0130007,"\h(«Vyse»)But there's one more thing I'd like to 
accomplish… \e"
ML0130008,\h(«Vyse»)I want to rid the world of you.\e
ML0130009,"\h(«Galcian»)Heh heh… 
Very amusing… but this world shall be mine! 
It's a pity you won't be around to see it.\e"
ML0130010,"\h(«Galcian»)Now, you shall feel my wrath!\e"
MFL0130000,"\h(«Fina»)Ce doit être la passerelle……
Galcian doit s'y trouver.\e"
MFL0130001,"\h(«Vyse»)Bon, il va falloir défoncer la porte alors,
n'est-ce pas ?\e"
MFL0130002,\h( )Ce ne sera pas nécessaire.\e
MFL0130003,\h(«Aika»)Galcian !\e
MFL0130004,"\h(«Galcian»)Je ne pensais pas qu'il restait autant
d'imbéciles prêts à me résister.\e"
MFL0130005,"\h(«Galcian»)Et vous, Vyse, personne ne m'a jamais causé
autant de problèmes.\e"
MFL0130006,"\h(«Vyse»)Merci. C'est le devoir d'un Pirate de l'Air de
créer des problèmes…… Je me sens comblé.\e"
MFL0130007,\h(«Vyse»)Mais il me reste une chose à accomplir……\e
MFL0130008,\h(«Vyse»)Je veux débarrasser le monde de votre présence.\e
MFL0130009,"\h(«Galcian»)Hé hé……
Très amusant…… mais ce monde va m'appartenir !
Dommage, vous ne serez plus là pour voir ça.\e"
MFL0130010,\h(«Galcian»)Vous allez subir ma colère !\e
MGL0130000,"\h(«Fina»)Das sieht wie die Kommandobrücke aus……
Galcian muss da drin sein.\e"
MGL0130001,"\h(«Vyse»)Also, ich schätze, wir müssen einfach diese Tür
aufbrechen, was meint ihr?\e"
MGL0130002,\h( )Das wird nicht nötig sein.\e
MGL0130003,\h(«Aika»)Galcian!\e
MGL0130004,"\h(«Galcian»)Ich hatte keine Ahnung, dass es noch so viele
Leute gibt, die dumm genug sind, sich mir zu
widersetzen.\e"
MGL0130005,"\h(«Galcian»)Und du, Vyse, hast mir am meisten Ärger
bereitet.\e"
MGL0130006,"\h(«Vyse»)Danke. Es ist die Pflicht eines Luftpiraten,
Ärger zu machen…… Ich bin sehr zufrieden
mit meiner Leistung.\e"
MGL0130007,"\h(«Vyse»)Aber es gibt noch eine Sache, die ich erreichen
will……\e"
MGL0130008,\h(«Vyse»)Ich möchte dich aus der Welt schaffen.\e
MGL0130009,"\h(«Galcian»)Hachaha……
Sehr amüsant…… aber diese Welt wird mir
gehören! Schade, dass du nicht mehr da sein
wirst, um es zu erleben.\e"
MGL0130010,"\h(«Galcian»)Jetzt kannst du meinen Zorn am eigenen Leib
spüren!\e"
MSL0130000,"\h(«Fina»)Eso parece el puente……
Galcian debe estar ahí.\e"
MSL0130001,"\h(«Vyse»)Bueno, supongo que tendremos que tirar la
puerta, ¿no?\e"
MSL0130002,\h( )Eso no va a ser necesario.\e
MSL0130003,\h(«Aika»)¡Galcian!\e
MSL0130004,"\h(«Galcian»)No me había dado cuenta de que todavía quedaban
tantos necios oponiendo resistencia a mi poder.\e"
MSL0130005,"\h(«Galcian»)Y tú, Vyse, me has causado más problemas que
nadie.\e"
MSL0130006,"\h(«Vyse»)Gracias. El deber de todo Pirata Aéreo es dar
problemas…… Es todo un halago.\e"
MSL0130007,\h(«Vyse»)Pero aún me queda algo por hacer……\e
MSL0130008,\h(«Vyse»)Quiero librar al mundo de tu molesta presencia.\e
MSL0130009,"\h(«Galcian»)Je, je, je……
Muy gracioso…… ¡pero este mundo va a ser mío!
Por desgracia, tú no estarás aquí para verlo.\e"
MSL0130010,"\h(«Galcian»)¡Y ahora, prepárate a sentir mi ira!\e"
ML0140000,"\h(«Galcian»)How… could… this be?!
I… I will not… be… defeated… \e"
ML0140001,\h(«Vyse»)Your reign of terror is over!\e
ML0140002,\h(«Galcian»)I don't think so… \e
ML0140003,"\h(«Galcian»)You may have won the battle, but I shall have my
revenge!\e"
ML0140004,"\h(«Aika»)What?!
The bridge!\e"
ML0140005,"\h(«Galcian»)Fools, when will you realize that you cannot 
stop me!\e"
ML0140006,\h(«Galcian»)Now I shall destroy every last one of you.\e
ML0140007,"\h(«Vyse»)I thought he was too arrogant to have an escape 
pod!\e"
ML0140008,"\h(«Aika»)Vyse, he's getting away! We have to do 
something!\e"
ML0140009,"\h(«Fina»)If he gets away, he'll retreat back to Soltis 
and we'll never get a chance to stop him!\e"
ML0140010,"\h(«Vyse»)The other pirates are tied up fighting with the
Armada!\e"
ML0140011,\h(«Gilder»)…Huh?\e
ML0140012,"\h(«Gilder»)Hey…
What's that?!\e"
ML0140013,\h(«Aika»)It's Belleza's ship!\e
ML0140014,"\h(«Gilder»)Hey… something's not right…
No… you don't think…?!\e"
ML0140015,\h(«Ramirez»)Lord Galcian!\e
ML0140016,"\h(«Galcian»)Belleza!
You… survived the attack on Valua?\e"
ML0140017,"\h(«Belleza»)Lord Galcian, so many innocent people died by 
your hand. Women and children… bled to death in
the streets… \e"
ML0140018,"\h(«Belleza»)As an Admiral in the Armada, I feel that I am
responsible for their deaths… as much as you 
are.\e"
ML0140019,"\h(«Galcian»)What… what are you doing?!
I command you to stop!!!\e"
ML0140020,"\h(«Belleza»)Good-bye, my love.\e"
ML0140021,"\h(«Vyse»)She… she sacrificed her own life to stop 
Galcian… \e"
ML0140022,"\h(«Fina»)Oh, Belleza… \e"
MFL0140000,"\h(«Galcian»)Comment…… est-ce…… possible ?!
Je…… je ne serai…… pas…… vaincu……\e"
MFL0140001,\h(«Vyse»)Votre règne de la terreur est terminé !\e
MFL0140002,\h(«Galcian»)Je ne pense pas……\e
MFL0140003,"\h(«Galcian»)Vous avez peut-être gagné la bataille, mais
j'aurai ma revanche !\e"
MFL0140004,"\h(«Aika»)Hein ?!
La passerelle !\e"
MFL0140005,"\h(«Galcian»)Bande d'idiots, quand comprendrez-vous que je
suis invincible !\e"
MFL0140006,\h(«Galcian»)Je vais tous vous exterminer jusqu'au dernier.\e
MFL0140007,"\h(«Vyse»)Je pensais qu'il était trop arrogant pour avoir
une nacelle de secours !\e"
MFL0140008,"\h(«Aika»)Vyse, il s'enfuit ! Il faut faire quelque
chose !\e"
MFL0140009,"\h(«Fina»)S'il s'échappe, il repartira à Soltis
et nous ne pourrons jamais l'arrêter !\e"
MFL0140010,"\h(«Vyse»)Les autres pirates sont occupés à combattre
l'Armada !\e"
MFL0140011,\h(«Gilder»)……Hein ?\e
MFL0140012,"\h(«Gilder»)Hé……
Qu'est-ce que c'est ?!\e"
MFL0140013,\h(«Aika»)C'est le navire de Belleza !\e
MFL0140014,"\h(«Gilder»)Hé…… quelque chose ne tourne pas rond……
Non…… tu ne crois pas……?!\e"
MFL0140015,\h(«Ramirez»)Seigneur Galcian !\e
MFL0140016,"\h(«Galcian»)Belleza !
Vous…… avez survécu à l'attaque de Valua ?\e"
MFL0140017,"\h(«Belleza»)Seigneur Galcian, tant d'innocents sont morts
par votre faute. Des femmes et des enfants……
sont morts dans les rues après avoir perdu tout
leur sang……\e"
MFL0140018,"\h(«Belleza»)En tant qu'Amiral de l'Armada, je me sens aussi
responsable de leur mort…… que vous.\e"
MFL0140019,"\h(«Galcian»)Que…… que faites-vous ?!
Je vous ordonne d'arrêter !!!\e"
MFL0140020,"\h(«Belleza»)Au revoir, mon amour.\e"
MFL0140021,"\h(«Vyse»)Elle…… elle a sacrifié sa propre vie pour
arrêter Galcian……\e"
MFL0140022,"\h(«Fina»)Oh, Belleza……\e"
MGL0140000,"\h(«Galcian»)Wie…… konnte das passieren?!
Ich…… gebe mich nicht…… ge…… geschlagen……\e"
MGL0140001,\h(«Vyse»)Deine Terrorherrschaft ist vorüber!\e
MGL0140002,\h(«Galcian»)Das glaube ich nicht……\e
MGL0140003,"\h(«Galcian»)Du magst zwar die Schlacht gewonnen haben,
aber du wirst meine Rache zu spüren bekommen!\e"
MGL0140004,"\h(«Aika»)Was?!
Die Brücke!\e"
MGL0140005,"\h(«Galcian»)Ihr Narren, wann werdet ihr endlich merken, dass
ihr mich nicht aufhalten könnt!\e"
MGL0140006,\h(«Galcian»)Jetzt werde ich keinen von euch verschonen.\e
MGL0140007,"\h(«Vyse»)Ich dachte, er wäre zu arrogant dazu, eine
Fluchttür zu haben!\e"
MGL0140008,"\h(«Aika»)Vyse, er entkommt! Wir müssen etwas
unternehmen!\e"
MGL0140009,"\h(«Fina»)Wenn er entkommt, wird er sich nach Soltis
zurückziehen, und dann haben wir nie wieder
eine Chance, ihn aufzuhalten!\e"
MGL0140010,"\h(«Vyse»)Die anderen Piraten sind alle im Kampf gegen
die Armada eingespannt!\e"
MGL0140011,\h(«Gilder»)……Was?\e
MGL0140012,"\h(«Gilder»)He……
Was ist denn das?!\e"
MGL0140013,\h(«Aika»)Es ist Bellezas Schiff!\e
MGL0140014,"\h(«Gilder»)He…… irgendwas stimmt nicht……
Nein…… sie wird doch nicht……?!\e"
MGL0140015,\h(«Ramirez»)Lord Galcian!\e
MGL0140016,"\h(«Galcian»)Belleza!
Du…… hast den Angriff auf Valua überlebt?\e"
MGL0140017,"\h(«Belleza»)Lord Galcian, so viele unschuldige Menschen
sind von Eurer Hand niedergemetzelt worden.
Frauen und Kinder…… verbluteten in den
Straßen……\e"
MGL0140018,"\h(«Belleza»)Als Admiral der Armada fühle ich mich für
ihren Tod verantwortlich…… im gleichen Maße
wie Ihr es seid.\e"
MGL0140019,"\h(«Galcian»)Was…… was machst du?!
Ich befehle dir, aufzuhören!!!\e"
MGL0140020,"\h(«Belleza»)Wiedersehen, Liebster.\e"
MGL0140021,"\h(«Vyse»)Sie…… hat ihr Leben geopfert, um Galcian
aufzuhalten……\e"
MGL0140022,"\h(«Fina»)Oh, Belleza……\e"
MSL0140000,"\h(«Galcian»)¡¿Cómo…… cómo es posible…… esto?!
No van a…… derrotarme……\e"
MSL0140001,\h(«Vyse»)¡Ha terminado tu reinado de terror!\e
MSL0140002,\h(«Galcian»)No creo……\e
MSL0140003,"\h(«Galcian»)¡Puede que hayáis ganado la batalla, pero me
vengaré!\e"
MSL0140004,"\h(«Aika»)¡¿Cómo?!
¡El puente!\e"
MSL0140005,"\h(«Galcian»)¡Cuándo os vais a dar cuenta de que no podéis
detenerme, cretinos!\e"
MSL0140006,"\h(«Galcian»)Y ahora voy a acabar con todos y cada uno de
vosotros.\e"
MSL0140007,"\h(«Vyse»)¡Le creía demasiado arrogante para tener un
conducto de huida!\e"
MSL0140008,"\h(«Aika»)¡Vyse, se escapa! ¡Hay que hacer algo!\e"
MSL0140009,"\h(«Fina»)¡Si consigue huir, se refugiará en Soltis
y ya no podremos hacer nada para detenerle!\e"
MSL0140010,"\h(«Vyse»)¡Los otros piratas están ocupados luchando
contra la Armada!\e"
MSL0140011,\h(«Gilder»)…… ¿Eh?\e
MSL0140012,"\h(«Gilder»)Eh……
¡¿Y eso qué es?!\e"
MSL0140013,\h(«Aika»)¡El navío de Belleza!\e
MSL0140014,"\h(«Gilder»)Eh…… aquí pasa algo raro……
¡¿No os parece……?!\e"
MSL0140015,\h(«Ramírez»)¡Lord Galcian!\e
MSL0140016,"\h(«Galcian»)¡Belleza!
¿Sobreviviste al ataque de Valua?\e"
MSL0140017,"\h(«Belleza»)Lord Galcian, ha muerto tanta gente inocente a
tus manos. Mujeres y niños…… han muerto
desangrados en las calles……\e"
MSL0140018,"\h(«Belleza»)Como Almirante de la Armada, me siento
responsable por todas esas muertes…… tan
responsable como tú.\e"
MSL0140019,"\h(«Galcian»)Pero qué…… ¡¿qué haces?!
¡¡¡Te ordeno que te detengas!!!\e"
MSL0140020,"\h(«Belleza»)Adiós, mi amor.\e"
MSL0140021,"\h(«Vyse»)Ella…… ha sacrificado su propia vida para
detener a Galcian……\e"
MSL0140022,"\h(«Fina»)Oh, Belleza……\e"
"",me131i.sct
"",k8300000
"",e6l013
"",M0313
"",a130dl13.mld
"",a130dl13.mld
"",e6l014
"",M0313
"",a130dl14a.mld
"",a130dl14a.mld
"",a130dl14b.mld
"",a130dl14b.mld
"",a130dl14c.mld
"",a130dl14c.mld
"",a130dl14e.mld
"",a130dl14e.mld
"",a130dl14f.mld
"",a130dl14f.mld
"",a130dl14e.mld
"",a130dl14c.mld
"",M0318
"",M0318
"",a130dl14f.mld
"",a130dl14d.mld
"",a130dl14d.mld
"",a130dl14d.mld
"",a130dl14d.mld
"",a130dl14d.mld
"",a130dl14b.mld
"",a130dl14c.mld
"",a130dl14c.mld
"",a130dl14c.mld
"",a130dl14c.mld
"",a130dl14c.mld
"",a130dl14d.mld
"",a130dl14f.mld
"",a130dl14f.mld
"",a130dl14b.mld
"",a130dl14b.mld
"",a130dl14a.mld
"",a130dl14b.mld
"",a130dl14c.mld
"",a130dl14f.mld
