[Event Name],Task ID
MK0180000,\h(«Vyse»)This is amazing!\e
MK0180001,"\h(«Galcian»)Heh heh…
So, you made it this far…\e"
MK0180002,"\h(«Vyse»)Galcian!
Ramirez!!\e"
MK0180003,\h(«Vyse»)What is that?!\e
MK0180004,"\h(«Fina»)Vyse… that sphere is the Silver Gigas, Zelos!!\e"
MK0180005,"\h(«Vyse»)What?!
That's the Gigas?\e"
MK0180006,"\h(«Aika»)Vyse!
Look!!\e"
MK0180007,\h(«Vyse»)The Moon Crystals!!\e
MK0180008,\h(«Fina»)They're using the Crystals to break the seal!\e
MK0180009,"\h(«Galcian»)Heh heh heh…
Once Zelos is freed, I shall control the 
greatest weapon of all time! \e"
MK0180010,"\h(«Galcian»)I will be able to call down the Rains of 
Destruction at will!\e"
MK0180011,"\h(«Galcian»)And then, my reign shall begin!
The six Moons shall obey my commands!\e"
MK0180012,"\h(«Ramirez»)You may live long enough to see it… 
Then again, you may not!\e"
MFK0180000,\h(«Vyse»)C'est incroyable !\e
MFK0180001,"\h(«Galcian»)Hé hé……
Alors vous êtes arrivés jusqu'ici……\e"
MFK0180002,"\h(«Vyse»)Galcian !
Ramirez !!\e"
MFK0180003,\h(«Vyse»)Qu'est-ce que c'est ?!\e
MFK0180004,"\h(«Fina»)Vyse…… cette sphère est le Giga d'Argent,
Zelos !!\e"
MFK0180005,"\h(«Vyse»)Comment ?!
C'est le Giga ?\e"
MFK0180006,"\h(«Aika»)Vyse !
Regarde !!\e"
MFK0180007,\h(«Vyse»)Les Cristaux de Lune !!\e
MFK0180008,"\h(«Fina»)Ils se servent des Cristaux pour briser la
prison !\e"
MFK0180009,"\h(«Galcian»)Hé hé hé……
Une fois que Zelos sera libéré, je contrôlerai
l'arme la plus puissante de tous les temps !\e"
MFK0180010,"\h(«Galcian»)Je pourrai invoquer les Pluies de la
Destruction à volonté !\e"
MFK0180011,"\h(«Galcian»)Ensuite mon règne pourra commencer !
Les six Lunes obéiront à mes ordres !\e"
MFK0180012,"\h(«Ramirez»)Vous vivrez peut-être assez longtemps pour y
assister…… Ou pas !\e"
MGK0180000,\h(«Vyse»)Schaut euch das an!\e
MGK0180001,"\h(«Galcian»)So, so……
Ihr habt es also bis hier geschafft……\e"
MGK0180002,"\h(«Vyse»)Galcian!
Ramirez!!\e"
MGK0180003,\h(«Vyse»)Was ist das?!\e
