[Event Name],Task ID
MA5560000,"\h(«Valuan Phantom Cruiser»)This area is property of the Valuan Empire!
We will not allow you Air Pirates to
invade these lands as well!!\c"
MA5560001,"\h(«Valuan Phantom Cruiser»)Hahaha!! Do you really think that an old ship
like that will stand a chance against our Magic
Cannon?! You will learn to fear Valua!!\c"
MA5560002,"\h(«Valuan Phantom Cruiser»)All who dare oppose us shall face the
full wrath of the Valuan Empire!\c"
MFA5560000,"\h(«Croiseur Fantôme Valuan»)Ceci est le territoire de l'Empire Valuan !
Nous ne laisserons pas les Pirates de l'Air
envahir aussi ces terres !!\c"
MFA5560001,"\h(«Croiseur Fantôme Valuan»)Hahaha !! Vous croyez vraiment qu'un navire
aussi vieux a la moindre chance face à notre
Canon Magique ?!
Vous apprendrez à craindre Valua !!\c"
MFA5560002,"\h(«Croiseur Fantôme Valuan»)Tous ceux qui osent s'opposer à nous
feront face aux courroux de l'Empire Valuan !\c"
MGA5560000,"\h(«Valuanisches Phantom-Kreuzschiff»)Dieses Gebiet ist Eigentum des Valuan Empire!
Wir werden euch Luftpiraten nicht auch noch
gestatten, in diese Länder einzudringen!!\c"
MGA5560001,"\h(«Valuanisches Phantom-Kreuzschiff»)Hahaha!! Seid ihr wirklich der Ansicht,
dass so ein altes Schiff gegen unsere Magic
Cannon bestehen kann?! Wir werden euch
lehren, vor Valua zu erzittern!!\c"
MGA5560002,"\h(«Valuanisches Phantom-Kreuzschiff»)Alle, die es wagen, sich uns entgegenzustellen,
kosten den Zorn des Valuan Empire!\c"
MSA5560000,"\h(«Crucero Fantasma Valuan »)¡Esta zona es propiedad del Imperio Valuan!
¡¡No permitiremos que los Piratas Aéreos invadan
también estas tierras!!\c"
MSA5560001,"\h(«Crucero Fantasma Valuan»)¡Ja, ja! ¡¿De verdad creéis que ese barcucho
tiene la más mínima posibilidad frente
a nuestro Cañón Mágico? ¡Os vais a enterar!\c"
MSA5560002,"\h(«Crucero Fantasma Valuan»)¡Todos los que osan desafiarnos se enfrentarán a
la ira del Imperio Valuan!\c"
"",M0430
"",me090a.sct
"",f7100100S.p04
"",f7100100S.p04
"",k0000.mld
"",k0000.mld
"",f7100050S.p04
"",k0000.mld
