Entry ID,EU SOT Pos,[Entry GB Name],PS Flags,[L1],[L2],[D1],[D2],[D3],Pad 1,Trait 1 ID,[Trait 1 Name],Pad 2,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 3,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 4,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 5,Trait 4 Value,Buy,Sell%,EU Order 1,EU Order 2,Pad 6,[GB Descr Str]
440,0x802d57c4,Rogue Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,800,50,0,25,0,"A menacing skull with crossed swords, the symbol
of the Air Pirates. Increases Magic Defense."
441,0x802d57d4,Pryn Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2400,50,1,22,0,"Crafted after a mystical red bird, and decorated
with red feathers. Increases Magic Defense."
442,0x802d57e0,Pyrynn Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,4400,50,2,23,0,"A sculpture based on the mythical guardian of
Pyrynn. Increases Magic Defense."
443,0x802d57f0,Arcwhale Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,4640,50,3,4,0,"A sculpture of an arcwhale, the guardian of the
skies. Increases Magic Defense."
444,0x802d5800,Quetya Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,4880,50,4,24,0,"A sculpture of a Quetya, an Ixa'takan Deity.
Its divine power increases Magic Defense."
445,0x802d5810,Giant Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,5120,50,5,16,0,"A sculpture in the form of a giant.
Increases Magic Defense."
446,0x802d5820,Bluheim Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,5360,50,6,6,0,"A sculpture of Bluheim, the Yafutoman Gigas.
Increases Magic Defense."
447,0x802d5830,Goddess Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,6800,50,7,17,0,"A sculpture of the goddess of love, courage,
and victory. Increases Magic Defense."
448,0x802d5840,Vyse Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,8800,50,8,37,0,"A shameless sculpture of Vyse. 
Increases Magic Defense."
449,0x802d584c,Spherical Figure,0b00111110,X,X,X,X,X,0,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,13500,50,9,30,0,"A glowing sphere.
Increases Magic Defense."
