Entry ID,EU SOT Pos,[Entry GB Name],PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Pad 1,Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 2,Trait Value,Buy,Sell%,EU Order 1,EU Order 2,Pad 3,[GB Descr Str]
400,0x802d5570,Main Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,35,80,0,4,-1,None,0,0,450,50,0,26,0,"The Little Jack's main cannon. It's rather old,
but Drachma has kept it in great shape."
401,0x802d557c,Standard Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,40,83,0,4,-1,None,0,0,1000,50,1,35,0,"The main cannon used on Valuan Warships,
sometimes available on the Black Market."
402,0x802d558c,Heavy Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,45,85,0,5,-1,None,0,0,1900,50,2,21,0,"An upgraded version of the Standard Valuan
Cannon, used on light warships in Mid Ocean."
403,0x802d559c,G-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,50,85,0,5,-1,None,0,0,3000,70,3,18,0,"Cannons used on Armada ships, when they defeated
Ixa'taka. Slightly outdated, but powerful."
404,0x802d55ac,B-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,0,75,90,0,6,-1,None,0,0,4000,50,4,13,0,"An upgraded version of the G-Type Cannon, with
the same basic design, but greater firepower."
405,0x802d55bc,Prototype Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,100,85,0,6,-1,None,0,0,5000,50,5,31,0,"A rotating cannon that can track enemy targets,
but doesn't do much damage."
406,0x802d55d0,Advanced Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,150,90,0,7,-1,None,0,0,5500,50,6,10,0,"A new rotating main cannon developed for Valuan
Destroyers. Available on the Black Market."
407,0x802d55e0,Yamato Spirit,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,250,90,0,8,-1,None,0,0,6700,70,7,39,0,"A large and powerful cannon based on traditional
Yafutoman craftsmanship."
408,0x802d55f0,Ancient Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,300,95,0,9,-1,None,0,0,8500,50,8,11,0,"A durable cannon made from ancient metals from
the Old World."
409,0x802d5600,X Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,0,400,97,0,10,-1,None,0,0,11000,50,9,38,0,"A very large cannon that enables large ships to 
blast small ships out of the sky."
410,0x802d560c,"3"" Cannon",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,70,80,1,2,-1,None,0,0,700,50,10,6,0,"A small caliber secondary cannon for smaller 
ships."
411,0x802d5618,"3"" Blaster",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,80,83,1,2,-1,None,0,0,1015,50,11,5,0,"A secondary cannon for the Little Jack. An
upgraded version of the 3 Inch Cannon."
412,0x802d5624,"5"" Cannon",0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,0,90,80,1,3,-1,None,0,0,1330,50,12,8,0,"A secondary cannon for the Little Jack. More
powerful than the 3 Inch Cannon."
