Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect SP,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect SP,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.,[DE Ship Descr. Pos.],[DE Ship Descr. Size],DE Ship Descr. Str.,[ES Ship Descr. Pos.],[ES Ship Descr. Size],ES Ship Descr. Str.,[FR Ship Descr. Pos.],[FR Ship Descr. Size],FR Ship Descr. Str.,[GB Ship Descr. Pos.],[GB Ship Descr. Size],GB Ship Descr. Str.
0,0x8c346538,0x19c2a,7,Increm,0x19854,7,Increm,0x19bde,7,Increm,0x194f2,7,Increm,1,Red,0,120,0x3,"",X,X,21,Strengthen,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Strengthen,4,2,0,-1,0,0,0,0xe17f,97,Erhöht Angriffskraft und Verteidigung des Ziels\\nZiels um 25%.                              SP 4,0xdf7f,93,Aumenta la potencia de ataque y la defensa\\ndel objetivo en un 25%.                     SEP4,0xe016,90,Augmente les puissances d'attaque et de\\ndéfense de la cible de 25%.                 ES 4,0xdd50,92,Increases both Attack Power and Defense of\\ntarget by 25%.                             SP 4,0x185e8,86,Verbessert Angriff und Verteidigung\\nfür 2 Durchgänge um 25%.                    4 SP,0x18246,91,Aumenta el poder de ataque de tu barco y\\nel poder de defensa en un 25% por 2 turnos.  4SP,0x184ca,98,Augmente les puissances d'attaque et de défense\\nde votre navire de 25% pour 2 tours.        4 ES,0x17f49,85,Increases your ship's Attack power\\nand Defense power by 25% for 2 turns.       4 SP
1,0x8c346540,0x19c31,9,Incremus,0x1985b,9,Incremus,0x19be5,9,Incremus,0x194f9,9,Incremus,1,Red,0,121,0x3,"",X,X,21,Strengthen,2,All PCs,6,Magic,0,16,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Strengthen,16,4,0,-1,0,0,0,0xe1e0,92,Erhöht Angriffskraft und Verteidigung der\\ngesamten Gruppe um 25%.                    SP 16,0xdfdc,93,Aumenta la potencia de ataque y la defensa\\nde un grupo entero en un 25%.              SEP16,0xe070,98,Augmente les puissances d'attaque et de défense\\npour tout le groupe de 25%.                ES 16,0xddac,97,Increases both Attack Power and Defense of the\\nentire party by 25%.                       SP 16,0x1863e,86,Verbessert Angriff und Verteidigung\\nfür 4 Durchgänge um 25%.                   16 SP,0x182a1,94,Aumenta el poder de ataque de tu barco y el\\npoder de defensa en un 25% por 4 turnos.    16SP,0x1852c,98,Augmente les puissances d'attaque et de défense\\nde votre navire de 25% pour 4 tours.       16 ES,0x17f9e,85,Increases your ship's Attack power\\nand Defense power by 25% for 4 turns.      16 SP
2,0x8c34654c,0x19c3a,8,Sylenis,0x19864,8,Sylenis,0x19bee,8,Sylenis,0x19502,8,Sylenis,2,Purple,0,20,0x3,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Silence,2,2,0,-1,0,0,0,0xe23c,91,"Hält Ziel davon ab, Zauber zu aktivieren,\\nindem es zum Schweigen gebracht wird.      SP 2",0xe039,90,"Evita que el objetivo conjure hechizos,\\nsilenciando estos hechizos.                 SEP2",0xe0d2,95,Empêche les cibles de jeter des sorts en les\\nréduisant au Silence.                       ES 2,0xde0d,92,Prevents target from casting any spells by\\nSilencing them.                            SP 2,0x18694,94,Verhindert Zaubersprüche von Feindschiffen.\\nErfordert Spezialausrüstung.                2 SP,0x182ff,92,Impide que navíos enemigos usen hechizos.\\nLanzar hechizos requiere un equipo especial. 2SP,0x1858e,98,Empêche les navires ennemis de jeter des sorts.\\nÉquipement spécial requis.                  2 ES,0x17ff3,92,Prevents enemy ships from casting spells.\\nSpecial equipment is needed to cast.        2 SP
3,0x8c346554,0x19c42,7,Panika,0x1986c,7,Panika,0x19bf6,7,Panika,0x1950a,7,Panika,2,Purple,0,130,0x2,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe297,93,"Bringt ein Ziel dazu, das nahegelegene Ziel\\nanzugreifen.                               SP 3",0xe093,90,"Crea confusión en uno de los objetivos,\\nllevándole a atacar al más próximo.         SEP3",0xe131,85,Désoriente la cible qui s'en prend\\nau plus proche.                             ES 3,0xde69,92,Confuses one target into attacking nearest\\ntarget.                                    SP 3,0x186f2,30,Kann nicht benutzt werden.\\n ,0x1835b,20,No puede usarse.\\n ,0x185f0,25,Ne peut être utilisé.\\n ,0x1804f,24,Cannot be used.\\n------
4,0x8c34655c,0x19c49,6,Driln,0x19873,6,Driln,0x19bfd,6,Driln,0x19511,6,Driln,4,Yellow,0,140,0x3,"",X,X,26,Weak,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Weak,3,2,0,-1,0,0,0,0xe2f4,94,Schwächt ein Feindziel. Senkt alle Attribute\\num 25%.                                    SP 3,0xe0ed,95,"Debilita a un objetivo enemigo, disminuyendo\\nsus poderes en un 25%.                      SEP3",0xe186,96,Affaiblit une cible ennemie. Diminue tous les\\nattributs de 25%.                           ES 3,0xdec5,97,Weakens one enemy target. Lowers all attributes\\nby 25%.                                    SP 3,0x18710,95,Verringert Attribute des Feindschiffes für 2\\nDurchgänge. Erfordert Spezialausrüstung.    3 SP,0x1836f,99,Reduce los atributos del navío enemigo 2 turnos.\\nLanzar hechizos requiere un equipo especial. 3SP,0x18609,97,Réduit les attributs de l'ennemi pour 2 tours.\\nÉquipement requis pour lancer le sort.      3 ES,0x18067,94,Lowers enemy ship's attributes for 2 turns.\\nSpecial equipment is needed to cast.        3 SP
5,0x8c346564,0x19c4f,8,Drilnos,0x19879,8,Drilnos,0x19c03,8,Drilnos,0x19517,8,Drilnos,4,Yellow,0,141,0x3,"",X,X,26,Weak,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak,6,4,0,-1,0,0,0,0xe352,90,Schwächt alle Feinde auf dem Bildschirm.\\nSenkt alle Attribute um 25%.               SP 6,0xe14c,91,Debilita a todos los enemigos que hay en\\npantalla y disminuye sus atributos un 25%.  SEP6,0xe1e6,96,Affaiblit tous les ennemis à l'écran. Diminue\\ntous les attributs de 25%.                  ES 6,0xdf26,91,Weakens all enemies on screen. Lowers all\\nattributes by 25%.                         SP 6,0x1876f,95,Verringert Attribute des Feindschiffes für 4\\nDurchgänge. Erfordert Spezialausrüstung.    6 SP,0x183d2,99,Reduce los atributos del navío enemigo 4 turnos.\\nLanzar hechizos requiere un equipo especial. 6SP,0x1866a,97,Réduit les attributs de l'ennemi pour 4 tours.\\nÉquipement spécial requis pour ensorceller. 6 ES,0x180c5,94,Lowers enemy ship's attributes for 4 turns.\\nSpecial equipment is needed to cast.        6 SP
6,0x8c34656c,0x19c57,6,Sacri,0x19881,6,Sacri,0x19c0b,6,Sacri,0x1951f,6,Sacri,0,Green,0,40,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,2,-1,400,-1,0,0,0,0xe3ac,91,Bringt 500 HP für einen Verbündeten. Kann\\nauch außerhalb des Kampfes benutzt werden. SP 2,0xe1a7,91,Repone 500 puntos de Salud a los aliados\\ny puede usarse fuera de la batalla.         SEP2,0xe246,95,Redonne 500 PV à l'un des alliés. Peut aussi\\nêtre utilisé hors combat.                   ES 2,0xdf81,94,Restores 500 HP to any one ally. Can also be\\nused outside of battle.                    SP 2,0x187ce,94,Repariert Schaden bis zu 4000 HP. Kann auch\\naußerhalb des Kampfes angewendet werden.    2 SP,0x18435,92,Repara 4000 puntos de Salud de deterioro.\\nPuede usarse fuera de la batalla también.    2SP,0x186cb,96,Répare les dégâts pour une valeur de 4000 PV.\\nCe sort peut aussi être lancé hors combat.  2 ES,0x18123,96,"Repairs 4,000 HP worth of damage. Can be cast\\noutside of battle as well.                  2 SP"
7,0x8c346574,0x19c5d,7,Sacres,0x19887,7,Sacres,0x19c11,7,Sacres,0x19525,7,Sacres,0,Green,0,41,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,4,-1,800,-1,0,0,0,0xe407,92,Bringt 1000 HP für einen Verbündeten. Kann\\nauch außerhalb des Kampfes benutzt werden. SP 4,0xe202,92,Repone 1000 puntos de Salud a los aliados\\ny puede usarse fuera de la batalla.         SEP4,0xe2a5,96,Redonne 1000 PV à l'un des alliés. Peut aussi\\nêtre utilisé hors bataille.                 ES 4,0xdfdf,96,"Restores 1,000 HP to any one ally. Can also be\\nused outside of battle.                    SP 4",0x1882c,94,Repariert Schaden bis zu 8000 HP. Kann auch\\naußerhalb des Kampfes angewendet werden.    4 SP,0x18491,93,Repara 8000 puntos de Salud de deterioro. \\nPuede usarse fuera de la batalla también.    4SP,0x1872b,96,Répare les dégâts pour une valeur de 8000 PV.\\nCe sort peut aussi être lancé hors combat.  4 ES,0x18183,96,"Repairs 8,000 HP worth of damage. Can be cast\\noutside of battle as well.                  4 SP"
8,0x8c34657c,0x19c64,7,Sacrum,0x1988e,7,Sacrum,0x19c18,7,Sacrum,0x1952c,7,Sacrum,0,Green,0,42,0x6,X,X,"",31,Recover HP,2,All PCs,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,0xe463,93,Bringt 1000 HP für die gesamte Gruppe. Kann\\nauch außerhalb des Kampfes benutzt werden. SP 8,0xe25e,87,Repone 1000 puntos de Salud al grupo\\ny puede usarse fuera de la batalla.         SEP8,0xe305,95,Redonne 1000 PV à tout le groupe. Peut aussi\\nêtre utilisé hors bataille.                 ES 8,0xe03f,96,"Restores 1,000 HP to entire party. Can also be\\nused outside of battle.                    SP 8",0x1888a,30,Kann nicht benutzt werden.\\n ,0x184ee,20,No puede usarse.\\n ,0x1878b,25,Ne peut être utilisé.\\n ,0x181e3,24,Cannot be used.\\n------
9,0x8c346584,0x19c6b,9,Sacrulen,0x19895,9,Sacrulen,0x19c1f,9,Sacrulen,0x19533,9,Sacrulen,0,Green,0,43,0x7,X,X,X,32,Recover HP 100%,1,Single PC,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP 100%,6,-1,0,-1,0,0,0,0xe4c0,88,Erneuert gesamte HP eines Verbündeten.\\nAuch außerhalb des Kampfes anwendbar.      SP 6,0xe2b5,92,Repone totalmente la Salud de cada aliado\\ny puede usarse fuera de la batalla.         SEP6,0xe364,94,Redonne tous les PV à l'un des alliés. Peut\\naussi être utilisé hors bataille.           ES 6,0xe09f,98,Completely restores HP of any one ally. Can also\\nbe used outside of battle.                 SP 6,0x188a8,97,Repariert allen Schaden an deinem Schiff. Kann\\nauch außerhalb des Kampfes angewendet werden.6SP,0x18502,88,Repara todo el deterioro de tu barco.\\nPuede usarse fuera de la batalla también.    6SP,0x187a4,91,Répare tous les dégâts sur votre navire.\\nCe sort peut aussi être lancé hors combat.  6 ES,0x181fb,95,Repairs all damage on your ship. Can be cast\\noutside of battle as well.                  6 SP
