Entry ID,EU Message ID,[ DE Entry Name Pos.],[ DE Entry Name Size],DE Entry Name,[ ES Entry Name Pos.],[ ES Entry Name Size],ES Entry Name,[ FR Entry Name Pos.],[ FR Entry Name Size],FR Entry Name,[ GB Entry Name Pos.],[ GB Entry Name Size],GB Entry Name,PC Flags,[ V],[ A],[ F],[ D],[ E],[ G],Retail Price in %,Order by Prio.,EU Order by ABC,Purchase Price,Feat. 1 ID,[Feat. 1 Name],Pad. 1,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 2,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 3,Feat. 3 Value,Feat. 4 ID,[Feat. 4 Name],Pad. 4,Feat. 4 Value,Pad. 5,Pad. 6,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.
160,0x8c373080,0x19f98,14,Gemstone Ring,0x1a441,15,Anillo de Gema,0x1a86b,13,Gemme Sertie,0x19f68,14,Gemstone Ring,0x3a,X,X,X,"",X,"",50,1,23,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12061,83,"A finely crafted ring engraved with runes,\\nthat protect the wearer against magic.",0x12134,87,"Anillo finamente tallado, con jeroglíficos\\nque protegen contra el efecto de la Magia.",0x122e9,95,Une bague finement travaillée avec des runes\\ngravées qui protègent l'utilisateur de la Magie.,0x12031,83,"A finely crafted ring engraved with runes,\\nthat protect the wearer against magic."
161,0x8c373090,0x19fa6,15,Prophet's Sand,0x1a450,16,Arena Profética,0x1a878,15,Bague de Sable,0x19f76,15,Prophet's Sand,0x3a,X,X,X,"",X,"",50,3,39,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x120b4,97,A ring created from enchanted sand found around\\nMoon Stones. Protects the wearer against Magic.,0x1218b,79,Anillo de arena mágica procedente de\\nPiedras Lunares.Protege contra la Magia.,0x12348,94,Une bague créée avec du sable enchanté trouvé\\nprès des Pierres de Lune. Protège de la Magie.,0x12084,97,A ring created from enchanted sand found around\\nMoon Stones. Protects the wearer against Magic.
162,0x8c3730a0,0x19fb5,16,Meditation Ring,0x1a460,14,Anillo Mágico,0x1a887,17,Bague Méditation,0x19f85,16,Meditation Ring,0x3a,X,X,X,"",X,"",50,0,33,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12115,85,A ring crafted from weaving the sprigs of magic\\ntrees. Increases the wearer's Will.,0x121da,72,Anillo entretejido con ramitas de arboles\\nmágicos.Aumenta la Voluntad.,0x123a6,91,Une bague fabriquée à partir d'un arbre magique\\nAccroît la Volonté de celui qui la porte.,0x120e5,85,A ring crafted from weaving the sprigs of magic\\ntrees. Increases the wearer's Will.
163,0x8c3730b0,0x19fc5,14,Moondust Ring,0x1a46e,15,Anillo de Luna,0x1a898,17,Bague Poudrelune,0x19f95,14,Moondust Ring,0x3a,X,X,X,"",X,"",50,4,35,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x1216a,67,A ring decorated with tiny shards of Moon\\nStones. Increases Will.,0x12222,74,Anillo decorado con fragmentos de Piedras\\nLunares. Potencia la Voluntad.,0x12401,85,Une bague décorée avec des petits morceaux de\\nPierres de Lune. Augmente la Volonté.,0x1213a,67,A ring decorated with tiny shards of Moon\\nStones. Increases Will.
164,0x8c3730c0,0x19fd3,13,Lover's Ring,0x1a47d,17,Anillo del Amado,0x1a8a9,17,Bague des amants,0x19fa3,13,Lover's Ring,0x3a,X,X,X,"",X,"",50,2,30,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0,0,0x121ad,92,A finely crafted ring that depicts two lovers\\nembracing. Increases Magic Defense and Will.,0x1226c,84,Anillo con la imagen de dos novios. Protege\\ncontra la Magia y aumenta la Voluntad.,0x12456,97,Bague finement travaillée représentant 2 amants\\nenlacés. Accroît Résistance Magique et Volonté.,0x1217d,92,A finely crafted ring that depicts two lovers\\nembracing. Increases Magic Defense and Will.
165,0x8c3730d0,0x19fe0,16,Jade Swirl Ring,0x1a48e,15,Anillo de Jade,0x1a8ba,14,Bague de Jade,0x19fb0,16,Jade Swirl Ring,0x3a,X,X,X,"",X,"",50,5,29,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,0x12209,83,A ring decorated with two drops of liquid jade.\\nIncreases Magic Defense and Will.,0x122c0,81,Anillo con dos gotas de jade que protege\\ncontra la Magia y aumenta la Voluntad.,0x124b7,92,Bague décorée avec 2 gouttes de jade liquide.\\nAccroît la Résistance Magique et la Volonté.,0x121d9,83,A ring decorated with two drops of liquid jade.\\nIncreases Magic Defense and Will.
166,0x8c3730e0,0x19ff0,11,Cupil Ring,0x1a49d,13,Anillo Cupil,0x1a8c8,15,Bague du Cupil,0x19fc0,11,Cupil Ring,0x8,"","",X,"","","",100,6,14,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0,0,0x1225c,97,"A ring that looks like Cupil. Boosts Spirit and\\nResistance to Silver Attacks, and Eterni Magic.",0x12311,86,Se parece a Cupil. Potencia el Espíritu.\\nResistente Ataques de Plata y Magia Eterni.,0x12513,98,"Bague à l'image du Cupil. Augmente l'Esprit, la\\nRésistance aux Attaques d'Argent & Magie Eterni.",0x1222c,97,"A ring that looks like Cupil. Boosts Spirit and\\nResistance to Silver Attacks, and Eterni Magic."
167,0x8c3730ec,0x19ffb,16,Warrior's Heart,0x1a4aa,15,Corazón Bélico,0x1a8d7,15,Coeur Guerrier,0x19fcb,16,Warrior's Heart,0x3a,X,X,X,"",X,"",100,7,59,10,77,Recover SP,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x122bd,82,"A ring with a glowing gem, that allows the user\\nto recover Spirit during battle.",0x12367,83,Anillo con una gema brillante. Ayuda a\\nrecuperar el Espiritu durante la batalla. ,0x12575,97,"Une bague avec une pierre brillante, qui permet\\nde récupérer de l'Esprit pendant les batailles.",0x1228d,82,"A ring with a glowing gem, that allows the user\\nto recover Spirit during battle."
168,0x8c3730fc,0x1a00b,17,Throkryn's Scale,0x1a4b9,14,Arma Throkryn,0x1a8e6,17,Écaille Throkryn,0x19fdb,17,Throkryn's Scale,0x35,X,X,"",X,"",X,50,8,55,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x1230f,66,A weapon modification made from a Throkryn.\\nRaises Attack Power.,0x123ba,59,Arma modificada con Throkryn.\\nAumenta el poder de Ataque.,0x125d6,87,"Une arme modifiée, fabriquée à l'aide d'un\\nThrokryn. Augmente la Puissance d'Attaque.",0x122df,66,A weapon modification made from a Throkryn.\\nRaises Attack Power.
169,0x8c373110,0x1a01c,17,Thryllak's Scale,0x1a4c7,14,Arma Thryllak,0x1a8f7,17,Écaille Thryllak,0x19fec,17,Thryllak's Scale,0x35,X,X,"",X,"",X,50,9,56,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12351,88,"A scale of a Thryllak, an animal even deadlier\\nthan the Throkryn. Raises Attack Power.",0x123f5,87,"Escamas de Thryllak, animal más mortífero\\nque el Throkryn. Mejora el poder de Ataque.",0x1262d,98,"Écaille de Thryllak, animal bien plus dangereux\\nque le Throkryn. Accroît la Puissance d'Attaque.",0x12321,88,"A scale of a Thryllak, an animal even deadlier\\nthan the Throkryn. Raises Attack Power."
170,0x8c373124,0x1a02d,16,Marocca's Shell,0x1a4d5,15,Concha Marocca,0x1a908,17,Bouclier Marocca,0x19ffd,16,Marocca's Shell,0x35,X,X,"",X,"",X,50,10,32,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x123a9,62,The shell of a large primitive crustacean.\\nImproves Defense.,0x1244c,70,Concha de un crustáceo primitivo de gran\\ntamano. Aumenta la Defensa.,0x1268f,64,La coquille d'un grand crustacé primitif.\\nAméliore la Défense.,0x12379,62,The shell of a large primitive crustacean.\\nImproves Defense.
171,0x8c373134,0x1a03d,16,Burocca's Shell,0x1a4e4,15,Concha Burocca,0x1a919,17,Bouclier Burocca,0x1a00d,16,Burocca's Shell,0x35,X,X,"",X,"",X,50,11,6,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x123e7,81,"The shell of a Burocca, even harder than that\\nof the Marocca. Improves Defense.",0x12492,78,"Concha de Burocca, aún más resistente\\nque la de Marocca. Aumenta la Defensa.",0x126cf,89,"La coquille d'un Burocca, encore plus dure que\\ncelle d'un Marocca. Améliore la Défense.",0x123b7,81,"The shell of a Burocca, even harder than that\\nof the Marocca. Improves Defense."
172,0x8c373144,0x1a04d,17,Crylhound's Claw,0x1a4f3,16,Garra Crylhound,0x1a92a,17,Griffe Crylhound,0x1a01d,17,Crylhound's Claw,0x35,X,X,"",X,"",X,50,12,13,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,0,0,0x12438,81,"A weapon modification used by Valuan Soldiers.\\nImproves Hit%, and Attack Power.",0x124e0,87,Un arma modificada que usan los soldados\\nValuan. Aumenta Aciertos% y poder de Ataque.,0x12728,94,Arme modifiée des Soldats Valuan. Augmente les\\nchances de toucher et la Puissance d'Attaque.,0x12408,81,"A weapon modification used by Valuan Soldiers.\\nImproves Hit%, and Attack Power."
173,0x8c373158,0x1a05e,14,Hunter's Hand,0x1a503,17,Mano del Cazador,0x1a93b,17,Gant de Chasseur,0x1a02e,14,Hunter's Hand,0x35,X,X,"",X,"",X,50,13,25,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,0,0,0x12489,82,A gauntlet worn by Ixa'takan men while hunting. \\nImproves Hit% and Attack Power.,0x12537,82,Guante de caza de los hombres de Ixa'takan.\\nAumenta Aciertos% y poder de Ataque.,0x12786,98,Gant porté par les hommes Ixa'takan à la chasse.\\nAugmente chances de toucher et Force d'Attaque.,0x12459,82,A gauntlet worn by Ixa'takan men while hunting. \\nImproves Hit% and Attack Power.
174,0x8c373168,0x1a06c,13,Thief's Aura,0x1a514,16,Aura del Ladrón,0x1a94c,15,Aura du Voleur,0x1a03c,13,Thief's Aura,0x3d,X,X,X,X,"",X,50,14,54,330,20,Dodge%,0,10,17,Defense,0,2,-1,None,0,0,-1,None,0,0,0,0,0x124db,74,A ring with a black stone that improves the\\nwearer's Dodge% and Defense.,0x12589,77,Anillo con una piedra negra que aumenta el\\npoder de Esquivar% y la Defensa.,0x127e8,71,Une bague avec une pierre noire qui améliore\\nl'Esquive et la Défense.,0x124ab,74,A ring with a black stone that improves the\\nwearer's Dodge% and Defense.
175,0x8c373178,0x1a079,15,Quetya Feather,0x1a524,13,Pluma Quetya,0x1a95b,16,Plume de Quetya,0x1a049,15,Quetya Feather,0x3d,X,X,X,X,"",X,50,15,40,810,20,Dodge%,0,20,17,Defense,0,4,-1,None,0,0,-1,None,0,0,0,0,0x12525,86,A feather ornament imbued with the power of the\\nQuetya. Improves Dodge% and Defense.,0x125d6,88,"Pluma decorativa con el poder de la Quetya,\\nmejora el poder de Esquivar% y la Defensa.",0x1282f,84,Une plume décorative dotée du pouvoir de Quetya.\\nAméliore l'Esquive et la Défense.,0x124f5,86,A feather ornament imbued with the power of the\\nQuetya. Improves Dodge% and Defense.
176,0x8c373188,0x1a088,15,Vigoro's Chain,0x1a531,17,Cadena de Vigoro,0x1a96b,17,Chaîne de Vigoro,0x1a058,15,Vigoro's Chain,0x25,X,"","",X,"",X,50,17,58,2890,16,Attack,0,20,19,Hit%,0,30,-1,None,0,0,-1,None,0,0,0,0,0x1257b,71,Vigoro's idea of a fashion statement. Improves\\nHit% and Attack Power.,0x1262e,86,La idea de Vigoro de lo que es elegante. Aumenta\\nlos Aciertos% y el poder de Ataque.,0x12883,97,Vigoro présente sa vision de la mode. Améliore\\nles chances de toucher & la Puissance d'Attaque.,0x1254b,71,Vigoro's idea of a fashion statement. Improves\\nHit% and Attack Power.
177,0x8c373198,0x1a097,17,Sailor's Buckler,0x1a542,14,Escudo Marino,0x1a97c,15,Bouclier Marin,0x1a067,17,Sailor's Buckler,0x37,X,X,"",X,X,X,50,18,43,1930,17,Defense,0,20,20,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0,0,0x125c2,73,"A light, but small shield worn by sailors.\\nImproves Dodge% and Defense.",0x12684,85,Escudo pequeño y ligero de los marinos.\\nAumenta el poder de Esquivar% y la Defensa.,0x128e4,81,Un petit bouclier léger porté par les marins.\\nAméliore l'Esquive et la Défense.,0x12592,73,"A light, but small shield worn by sailors.\\nImproves Dodge% and Defense."
178,0x8c3731ac,0x1a0a8,15,Warrior's Rune,0x1a550,15,Engarce Bélico,0x1a98b,17,Rune du Guerrier,0x1a078,15,Warrior's Rune,0x39,X,X,X,"","",X,100,19,60,10,16,Attack,0,10,17,Defense,0,10,19,Hit%,0,20,20,Dodge%,0,10,0,0,0x1260b,82,"A ring with mystic engravings. Increases Attack\\nPower, Defense, Hit% and Dodge%.",0x126d9,87,"Anillo con engarces misticos. Mejora poder\\nde Ataque, Defensa, Aciertos% y Esquivar%.",0x12935,73,Une bague aux gravures mystiques. Accroît tous\\nles attributs de combat.,0x125db,82,"A ring with mystic engravings. Increases Attack\\nPower, Defense, Hit% and Dodge%."
179,0x8c3731bc,0x1a0b7,15,Ancient Bracer,0x1a55f,17,Tónico Ancestral,0x1a99c,16,Potion Ancienne,0x1a087,15,Ancient Bracer,0x35,X,X,"",X,"",X,100,20,0,10,16,Attack,0,20,17,Defense,0,20,19,Hit%,0,40,20,Dodge%,0,20,0,0,0x1265d,87,"A bracer used by ancient gladiators. Improves\\nAttack Power, Defense, Hit% and Dodge%.",0x12730,87,"Tónico usado por gladiadores. Mejora poder\\nde Ataque, Defensa, Aciertos% y Esquivar%.",0x1297e,86,Remontant utilisé par les anciens gladiateurs.\\nAccroît tous les attributs de combat.,0x1262d,87,"A bracer used by ancient gladiators. Improves\\nAttack Power, Defense, Hit% and Dodge%."
180,0x8c3731cc,0x1a0c6,15,Counter Bracer,0x1a570,16,Tónico Ofensivo,0x1a9ac,17,Potion de combat,0x1a096,15,Counter Bracer,0x35,X,X,"",X,"",X,100,21,10,10,73,Counter%,0,20,16,Attack,0,20,19,Hit%,0,20,-1,None,0,0,0,0,0x126b4,92,"Improves physical attributes slightly, as well\\nas Counterattacking, Attack Power and Hit%.",0x12787,86,"Mejora los atributos físicos y aumenta el\\nContraataque, poder de Ataque y Aciertos%.",0x129d4,92,"Améliore les attributs physiques, la Contre-\\nattaque, la Puissance d'Attaque et la Frappe.",0x12684,92,"Improves physical attributes slightly, as well\\nas Counterattacking, Attack Power and Hit%."
