Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad. 1,Effect Value 1,Effect Value 2,Element ID,[Element Name],Type ID,[Type Name],Unk. 1,Unk. 2,State ID,[State Name],State Miss%,Pad. 2,Pad. 3
0,0x8c385974,0x1276,7,Increm,0x1279,7,Increm,0x127c,7,Increm,0x1276,7,Increm,1,Magic,21,Strengthen,3,Single EC,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
1,0x8c38597c,0x127d,9,Incremus,0x1280,9,Incremus,0x1283,9,Incremus,0x127d,9,Incremus,1,Magic,21,Strengthen,4,All ECs,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
2,0x8c385988,0x1286,8,Sylenis,0x1289,8,Sylenis,0x128c,8,Sylenis,0x1286,8,Sylenis,1,Magic,12,Silence,1,Single PC,0,0,0,0,Green,0,Physical,1,1,5,Silence,40,0,0
3,0x8c385990,0x128e,7,Panika,0x1291,7,Panika,0x1294,7,Panika,0x128e,7,Panika,1,Magic,11,Confusion,1,Single PC,0,0,0,0,Green,0,Physical,1,1,4,Confusion,40,0,0
4,0x8c385998,0x1295,6,Driln,0x1298,6,Driln,0x129b,6,Driln,0x1295,6,Driln,1,Magic,26,Weak,1,Single PC,0,0,0,0,Green,0,Physical,1,1,8,Weak,40,0,0
5,0x8c3859a0,0x129b,8,Drilnos,0x129e,8,Drilnos,0x12a1,8,Drilnos,0x129b,8,Drilnos,1,Magic,26,Weak,2,All PCs,0,0,0,0,Green,0,Physical,1,1,8,Weak,60,0,0
6,0x8c3859a8,0x12a3,6,Sacri,0x12a6,6,Sacri,0x12a9,6,Sacri,0x12a3,6,Sacri,1,Magic,31,Recover HP,3,Single EC,0,500,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,0x8c3859b0,0x12a9,7,Sacres,0x12ac,7,Sacres,0x12af,7,Sacres,0x12a9,7,Sacres,1,Magic,31,Recover HP,3,Single EC,0,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
8,0x8c3859b8,0x12b0,7,Sacrum,0x12b3,7,Sacrum,0x12b6,7,Sacrum,0x12b0,7,Sacrum,1,Magic,31,Recover HP,4,All ECs,0,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
9,0x8c3859c0,0x12b7,9,Sacrulen,0x12ba,9,Sacrulen,0x12bd,9,Sacrulen,0x12b7,9,Sacrulen,1,Magic,32,Recover HP 100%,3,Single EC,0,10000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,0x8c3859cc,0x12c0,5,Noxi,0x12c3,5,Noxi,0x12c6,5,Noxi,0x12c0,5,Noxi,1,Magic,4,"Damage, Poison",1,Single PC,0,1,60,0,Green,1,Magical,1,1,0,Poison,40,0,0
11,0x8c3859d4,0x12c5,6,Noxus,0x12c8,6,Noxus,0x12cb,6,Noxus,0x12c5,6,Noxus,1,Magic,4,"Damage, Poison",2,All PCs,0,1,100,0,Green,1,Magical,1,1,0,Poison,60,0,0
12,0x8c3859dc,0x12cb,8,Slipara,0x12ce,8,Slipara,0x12d1,8,Slipara,0x12cb,8,Slipara,1,Magic,9,Sleep,2,All PCs,0,0,0,0,Green,0,Physical,1,1,3,Sleep,60,0,0
13,0x8c3859e4,0x12d3,6,Quika,0x12d6,6,Quika,0x12d9,6,Quika,0x12d3,6,Quika,1,Magic,20,Quickened,4,All ECs,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,0x8c3859ec,0x12d9,6,Curia,0x12dc,6,Curia,0x12df,6,Curia,0x12d9,6,Curia,1,Magic,30,Rem. Neg. States,3,Single EC,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
15,0x8c3859f4,0x12df,6,Risan,0x12e2,6,Risan,0x12e5,6,Risan,0x12df,6,Risan,1,Magic,27,"Revive, Recover HP 50%",3,Single EC,0,0,0,0,Green,0,Physical,55,55,7,Revival,50,0,0
16,0x8c3859fc,0x12e5,8,Riselem,0x12e8,8,Riselem,0x12eb,8,Riselem,0x12e5,8,Riselem,1,Magic,28,"Revive, Recover HP 100%",3,Single EC,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,0x8c385a04,0x12ed,7,Eterni,0x12f0,7,Eterni,0x12f3,7,Eterni,0x12ed,7,Eterni,1,Magic,5,Unconscious,1,Single PC,0,0,0,0,Green,0,Physical,1,1,1,Unconscious,60,0,0
18,0x8c385a0c,0x12f4,8,Eternes,0x12f7,8,Eternes,0x12fa,8,Eternes,0x12f4,8,Eternes,1,Magic,5,Unconscious,2,All PCs,0,0,0,0,Green,0,Physical,1,1,1,Unconscious,80,0,0
