Entry ID,[Filter],[EC ID],[JP EC Name],[EU EC Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
1,*,0,軍艦兵,Ferratus,0,Branch,21,Rating 10%,3,Go to 3
2,*,0,軍艦兵,Ferratus,1,Action,550,Attack,2,Random PC
3,*,0,軍艦兵,Ferratus,1,Action,551,Guard,-1,None
1,*,1,航行士,Praeses,0,Branch,42,Used Sacri Crystals ≥ 1,3,Go to 3
2,*,1,航行士,Praeses,0,Branch,39,Any EC HP < 25%,5,Go to 5
3,*,1,航行士,Praeses,0,Branch,29,Rating 90%,6,Go to 6
4,*,1,航行士,Praeses,0,Branch,30,Always,8,Go to 8
5,*,1,航行士,Praeses,0,Branch,25,Rating 50%,7,Go to 7
6,*,1,航行士,Praeses,1,Action,550,Attack,2,Random PC
7,*,1,航行士,Praeses,1,Action,79,Sacri Crystal,7,EC w/ Least HP
8,*,1,航行士,Praeses,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,Latro,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,2,ミクラステル,Latro,0,Branch,30,Always,4,Go to 4
3,*,2,ミクラステル,Latro,0,Branch,28,Rating 80%,11,Go to 11
4,*,2,ミクラステル,Latro,0,Branch,44,1st PC ΔLevel > 3,6,Go to 6
5,*,2,ミクラステル,Latro,0,Branch,30,Always,7,Go to 7
6,*,2,ミクラステル,Latro,0,Branch,24,Rating 40%,11,Go to 11
7,*,2,ミクラステル,Latro,0,Branch,50,Used S-Move Last Turn?,9,Go to 9
8,*,2,ミクラステル,Latro,0,Branch,24,Rating 40%,10,Go to 10
9,*,2,ミクラステル,Latro,1,Action,550,Attack,2,Random PC
10,*,2,ミクラステル,Latro,1,Action,4,Laser,2,Random PC
11,*,2,ミクラステル,Latro,1,Action,552,Run,-1,None
1,*,3,マロッカ,Marocca,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,3,マロッカ,Marocca,0,Branch,30,Always,4,Go to 4
3,*,3,マロッカ,Marocca,0,Branch,26,Rating 60%,8,Go to 8
4,*,3,マロッカ,Marocca,0,Branch,1,HP < 50%,7,Go to 7
5,*,3,マロッカ,Marocca,0,Branch,28,Rating 80%,7,Go to 7
6,*,3,マロッカ,Marocca,1,Action,551,Guard,-1,None
7,*,3,マロッカ,Marocca,1,Action,550,Attack,1,Same PC
