Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Pad. 1,Feat. 1 ID,[Feat. 1 Name],Pad. 2,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 3,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 4,Feat. 3 Value,Feat. 4 ID,[Feat. 4 Name],Pad. 5,Feat. 4 Value,Pad. 6,Pad. 7,Purchase Price,Pad. 8,Pad. 9,Retail Price in %,Order by Prio.,EU Order by ABC,Pad. 10,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
440,0x8c37414c,0x1b24b,13,Rogue Figure,0x1b757,13,Rogue Figure,0x1bbc0,17,Fanion du Voleur,0x1b24b,13,Rogue Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,0,25,0,0x168f4,95,"A menacing skull with crossed swords, the symbol\\nof the Air Pirates. Increases Magic Defense.",0x16baa,88,Esta calavera es el simbolo de los Piratas\\nAereos y aumenta la Resistencia a la Magia.,0x16eff,90,"Crâne et épées croisées, symbole des pirates\\nde l'Air. Accroît la résistance à la Magie.",0x168f4,95,"A menacing skull with crossed swords, the symbol\\nof the Air Pirates. Increases Magic Defense."
441,0x8c37415c,0x1b258,12,Pryn Figure,0x1b764,12,Pryn Figure,0x1bbd1,13,Symbole Pryn,0x1b258,12,Pryn Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,1,22,0,0x16953,94,"Crafted after a mystical red bird, and decorated\\nwith red feathers. Increases Magic Defense.",0x16c02,91,Representa un pajaro mistico de bello plumaje\\nrojo que aumenta la Resistencia a la Magia.,0x16f59,91,"Représente un oiseau mystique, décoré de plumes\\nrouges. Accroît la résistance à la Magie.",0x16953,94,"Crafted after a mystical red bird, and decorated\\nwith red feathers. Increases Magic Defense."
442,0x8c374168,0x1b264,14,Pyrynn Figure,0x1b770,14,Pyrynn Figure,0x1bbde,15,Symbole Pyrynn,0x1b264,14,Pyrynn Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4400,0,0,50,2,23,0,0x169b1,80,A sculpture based on the mythical guardian of\\nPyrynn. Increases Magic Defense.,0x16c5d,76,Basada en el mitico guardian de Pyrynn.\\nAumenta la Resistencia a la Magia.,0x16fb4,91,Une sculpture fondée sur le gardien mythique de\\nPyrynn. Accroît la résistance à la Magie.,0x169b1,80,A sculpture based on the mythical guardian of\\nPyrynn. Increases Magic Defense.
443,0x8c374178,0x1b272,16,Arcwhale Figure,0x1b77e,16,Arcwhale Figure,0x1bbed,16,Symbole Rhaknam,0x1b272,16,Arcwhale Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4640,0,0,50,3,4,0,0x16a01,81,"A sculpture of an arcwhale, the guardian of the\\nskies. Increases Magic Defense.",0x16ca9,81,Representa a una ballena guardiana del\\ncielo. Mejora la Resistencia a la Magia.,0x1700f,94,"Une sculpture de la baleine légendaire, gardien\\ndes cieux. Accroît la Résistance à la Magie.",0x16a01,81,"A sculpture of an arcwhale, the guardian of the\\nskies. Increases Magic Defense."
444,0x8c374188,0x1b282,14,Quetya Figure,0x1b78e,14,Quetya Figure,0x1bbfd,15,Symbole Quetya,0x1b282,14,Quetya Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4880,0,0,50,4,24,0,0x16a52,88,"A sculpture of a Quetya, an Ixa'takan Deity.\\nIts divine power increases Magic Defense.",0x16cfa,89,"Figura de un Quetya, deidad de Ixa'taka, sus\\npoderes mejoran la Resistencia a la Magia.",0x1706d,97,"Sculpture d'un Quetya, une Déité Ixa'takan. Son\\npouvoir divin accroît la résistance à la Magie.",0x16a52,88,"A sculpture of a Quetya, an Ixa'takan Deity.\\nIts divine power increases Magic Defense."
445,0x8c374198,0x1b290,13,Giant Figure,0x1b79c,13,Giant Figure,0x1bc0c,17,Symbole du Géant,0x1b290,13,Giant Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5120,0,0,50,5,16,0,0x16aaa,62,A sculpture in the form of a giant.\\nIncreases Magic Defense.,0x16d53,70,Una escultura en forma de gigante.\\nMejora la Resistencia a la Magia.,0x170ce,64,Sculpture en forme de géant.\\nAccroît la Résistance à la Magie.,0x16aaa,62,A sculpture in the form of a giant.\\nIncreases Magic Defense.
446,0x8c3741a8,0x1b29d,15,Bluheim Figure,0x1b7a9,15,Bluheim Figure,0x1bc1d,16,Symbole Bluheim,0x1b29d,15,Bluheim Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5360,0,0,50,6,6,0,0x16ae8,71,"A sculpture of Bluheim, the Yafutoman Gigas.\\nIncreases Magic Defense.",0x16d99,74,"Figura de Bluheim, el Gigas Yafutoman.\\nMejora la Resistencia a la Magia.",0x1710e,77,"Sculpture de Bluheim, le Gigas Yafutoman.\\nAccroît la Résistance à la Magie.",0x16ae8,71,"A sculpture of Bluheim, the Yafutoman Gigas.\\nIncreases Magic Defense."
447,0x8c3741b8,0x1b2ac,15,Goddess Figure,0x1b7b8,15,Goddess Figure,0x1bc2d,15,Symbole Déesse,0x1b2ac,15,Goddess Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,7,17,0,0x16b2f,84,"A sculpture of the goddess of love, courage,\\nand victory. Increases Magic Defense.",0x16de3,89,"Figura de la diosa del amor, el coraje y la\\nvictoria. Mejora la Resistencia a la Magia.",0x1715b,97,"Statue de la déesse de l'amour, du courage, et\\nde la victoire. Accroît la Résistance à la Magie",0x16b2f,84,"A sculpture of the goddess of love, courage,\\nand victory. Increases Magic Defense."
448,0x8c3741c8,0x1b2bb,12,Vyse Figure,0x1b7c7,12,Vyse Figure,0x1bc3c,16,Symbole de Vyse,0x1b2bb,12,Vyse Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,8,37,0,0x16b83,58,A shameless sculpture of Vyse. \\nIncreases Magic Defense.,0x16e3c,73,Descarada copia de la imagen de Vyse.\\nMejora la Resistencia a la Magia.,0x171bc,64,Sculpture indécente de Vyse.\\nAccroît la Résistance à la Magie.,0x16b83,58,A shameless sculpture of Vyse. \\nIncreases Magic Defense.
449,0x8c3741d4,0x1b2c7,17,Spherical Figure,0x1b7d3,17,Spherical Figure,0x1bc4c,15,Symbole Sphère,0x1b2c7,17,Spherical Figure,0x3e,X,X,X,X,X,0,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,13500,0,0,50,9,30,0,0x16bbd,44,A glowing sphere.\\nIncreases Magic Defense.,0x16e85,56,Esfera brillante que mejora\\nla Resistencia a la Magia.,0x171fc,57,Une sphère brillante.\\nAccroît la Résistance à la Magie.,0x16bbd,44,A glowing sphere.\\nIncreases Magic Defense.
