Entry ID,EU Message ID,[ DE Entry Name Pos.],[ DE Entry Name Size],DE Entry Name,[ ES Entry Name Pos.],[ ES Entry Name Size],ES Entry Name,[ FR Entry Name Pos.],[ FR Entry Name Size],FR Entry Name,[ GB Entry Name Pos.],[ GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect SP,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect SP,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.
36,0x8c344610,0x19b29,14,Schwertwirbel,0x19933,14,Ira del Sable,0x19c5c,15,Furie du Sabre,0x195f1,13,Cutlass Fury,6,Neutral,0,200,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xed40,93,Vyse lässt seine Wut an einem Feind aus und\\nfügt ihm großen Schaden zu.                SP 7,0xec71,92,"Vyse desata su ira sobre un solo enemigo,\\nproduciendo grandes daños.                  SEP7",0xece4,93,"Vyse déchaîne sa furie sur un seul ennemi,\\ncausant d'importants dégâts.                ES 7",0xeaa4,92,"Vyse unleashes his fury on a single enemy,\\ncausing major damage.                      SP 7"
37,0x8c344620,0x19b37,15,Schwerterregen,0x19941,17,Lluvia de Sables,0x19c6b,14,Pluie d'Épées,0x195fe,15,Rain of Swords,6,Neutral,0,202,0x2,"",X,"",0,Damage,4,All ECs,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xed9d,95,Vyse schädigt alle Feinde auf dem Bildschirm\\nmit mächtigen Blitzschlägen.               SP 14,0xeccd,96,Vyse convoca el poder del rayo para que caiga\\nsobre todos los enemigos en pantalla.      SEP14,0xed41,99,Vyse invoque le pouvoir des éclairs et une pluie\\nd'épées sur tous les ennemis à l'écran.    ES 14,0xeb00,99,Vyse summons the power of lightning to rain down\\nupon all the enemies on the screen.        SP 14
38,0x8c344630,0x19b46,12,Piratenzorn,0x19952,17,Furia del Pirata,0x19c79,17,Colère du Pirate,0x1960d,15,Pirates' Wrath,6,Neutral,0,204,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xedfc,95,Vyse lässt einen Feind den verheerenden Zorn\\nder Luftpiraten spüren.                    SP 21,0xed2d,96,Vyse desencadena la ira de los Piratas Aéreos\\nsobre un enemigo y produce un daño enorme. SEP21,0xeda4,98,Vyse déchaîne la colère des Pirates sur un seul\\nennemi pour causer d'importants dégâts.    ES 21,0xeb63,97,Vyse unleashes the wrath of the Air Pirates on\\na single enemy for devastating damage.     SP 21
39,0x8c344640,0x19b52,15,Omega-Psyclone,0x19963,13,Ciclón Omega,0x19c8a,15,Psyclone Oméga,0x1961c,15,Omega Psyclone,1,Red,0,214,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xee5b,95,Aika zerstört alle Feinde auf dem Bildschirm\\nmit der Macht des Red Moon.                SP 12,0xed8d,96,Aika convoca los poderes de la Luna Roja para\\ndestruir a todos los enemigos en pantalla. SEP12,0xee06,98,Aika invoque les pouvoirs de la Lune Rouge pour\\ndétruire tous les ennemis à l'écran.       ES 12,0xebc4,93,Aika summons the powers of the Red Moon to\\ndestroy all of the enemies on screen.      SP 12
40,0x8c344650,0x19b61,11,Alphasturm,0x19970,14,Tormenta Alfa,0x19c99,12,Orage Alpha,0x1962b,12,Alpha Storm,1,Red,0,210,0x2,"",X,"",0,Damage,39,EC Ray S3,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xeeba,96,"Aika entfacht mit ihrem Bumerang einen Feuer-\\nwirbel, schädigt alle Feinde auf einer Linie.SP4",0xeded,93,Aika hace girar su bumerán y un huracán de\\nllamas hiere a todos los enemigos en línea. SEP4,0xee68,99,"Aika lance son boomerang, invoquant un vortex de\\nflammes sur tous les ennemis alignés.       ES 4",0xec21,97,"Aika spins her boomerang, summoning a vortex of\\nflames to strike all enemies in a line.    SP 4"
41,0x8c34465c,0x19b6c,13,Lambda Burst,0x1997e,17,Explosión Lambda,0x19ca5,17,Explosion Lambda,0x19637,13,Lambda Burst,1,Red,0,212,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xef1a,94,"Aika lässt den Boden unter sich explodieren,\\nschädigt alle Feinde auf dem Bildschirm.   SP 8",0xee4a,99,Aika explosiona la tierra que le rodea y produce\\ndaño a todos los enemigos en pantalla.      SEP8,0xeecb,91,"Aika fait exploser le sol autour d'elle,\\nblessant tous les ennemis à l'écran.        ES 8",0xec82,91,"Aika causes the very ground around her to\\nexplode, damaging all enemies on screen.   SP 8"
42,0x8c34466c,0x19b79,12,Lunar Glyph,0x1998f,12,Glifo Lunar,0x19cb6,15,Glyphe Lunaire,0x19644,12,Lunar Glyph,5,Silver,0,221,0x2,"",X,"",8,"Damage, Stone",3,Single EC,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xef78,96,"Fina nutzt die Macht des Silver Moon, um einen\\nFeind zu schädigen und evtl.zu versteinern.SP 3",0xeead,97,"Con el poder de la Luna de Plata, Fina produce\\ndaño y quizá petrifica a un único enemigo.  SEP3",0xef26,97,Fina utilise le pouvoir de la Lune Argent pour\\nblesser et voire pétrifier un ennemi.       ES 3,0xecdd,96,Fina uses the power of the Silver Moon to damage\\nand possibly Stone a single enemy.       SP 3
43,0x8c344678,0x19b85,10,Mondwinde,0x1999b,16,Ráfagas Lunares,0x19cc5,15,Vents Lunaires,0x19650,12,Lunar Winds,5,Silver,0,223,0x2,"",X,"",17,"Damage, Rem. Pos. States",4,All ECs,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xefd8,95,"Cupil entfacht einen Sturm, der allen Feinden\\nschadet und alle positiven Effekte aufhebt.SP 6",0xef0e,98,Cupil desata una tormenta que hiere y anula los\\nefectos beneficiosos de todos los enemigos. SEP6,0xef87,99,Cupil invoque un orage pour ôter tous les effets\\nbénéfiques aux ennemis et les blesser.      ES 6,0xed3d,96,Cupil summons a storm to damage and remove any\\nbeneficial effects from all enemies.       SP 6
44,0x8c344684,0x19b8f,8,Attacke,0x199ab,7,Ataque,0x19cd4,14,Ruée Mortelle,0x1965c,7,Tackle,6,Neutral,0,230,0x2,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xf037,100,Drachma konzentriert all seine Energie auf seinen\\nseinen Metallarm und greift einen Feind an.SP 10,0xef70,98,Drachma concentra todas sus fuerzas en su brazo\\nmetálico y carga contra un enemigo.        SEP10,0xefea,95,Drachma concentre toute son énergie dans son\\nbras métallique et se rue sur un ennemi.   ES 10,0xed9d,98,Drachma concentrates all of his energy into his\\nmetal arm and charges one enemy.           SP 10
45,0x8c34468c,0x19b97,15,Schicksalshand,0x199b2,17,Mano del Destino,0x19ce2,15,Main du Destin,0x19663,13,Hand of Fate,6,Neutral,0,232,0x2,"",X,"",6,"Damage, Unconscious 1",3,Single EC,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xf09b,97,"Drachma versetzt einem Feind einen furchtbaren\\nHieb mit seinem Metallarm, meistens tödlich.SP25",0xefd2,97,Drachma carga contra un enemigo con su potente\\nbrazo y mata al instante a la mayoria.     SEP25,0xf049,99,"Drachma écrase un ennemi avec son bras puissant,\\ncausant la plupart du temps sa mort.       ES 25",0xedff,97,"Drachma crushes one enemy with his mighty arm,\\ncausing instant death to most.             SP 25"
