Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,PC Flags,[V],[A],[F],[D],[E],[G],Sell%,Ord by 123,EU Ord by ABC,Buy,Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
160,0x8c344efc,0x1a466,11,Juwel Ring,0x1a32f,15,Anillo de Gema,0x1a61d,13,Gemme Sertie,0x19f03,14,Gemstone Ring,0x3a,X,X,X,"",X,"",50,1,23,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12352,83,"Fein gearbeiter Ring, mit eingravierten Runen,\\ndie den Träger vor Magie schützen.",0x121c3,87,"Anillo finamente tallado, con jeroglíficos\\nque protegen contra el efecto de la Magia.",0x121f0,95,Une bague finement travaillée avec des runes\\ngravées qui protègent l'utilisateur de la Magie.,0x11fff,83,"A finely crafted ring engraved with runes,\\nthat protect the wearer against magic."
161,0x8c344f0c,0x1a471,15,Prophet's Sand,0x1a33e,16,Arena Profética,0x1a62a,15,Bague de Sable,0x19f11,15,Prophet's Sand,0x3a,X,X,X,"",X,"",50,3,39,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x123a5,91,"Ring aus verzaubertem Sand, den man bei Moon\\nStones findet. Schützt den Träger vor Magie.",0x1221a,79,Anillo de arena mágica procedente de\\nPiedras Lunares.Protege contra la Magia.,0x1224f,94,Une bague créée avec du sable enchanté trouvé\\nprès des Pierres de Lune. Protège de la Magie.,0x12052,97,A ring created from enchanted sand found around\\nMoon Stones. Protects the wearer against Magic.
162,0x8c344f1c,0x1a480,17,Meditations Ring,0x1a34e,14,Anillo Mágico,0x1a639,17,Bague Méditation,0x19f20,16,Meditation Ring,0x3a,X,X,X,"",X,"",50,0,33,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12400,82,Ring aus geflochtenen Zweigen verzauberter\\nBäume. Erhöht den Willen des Trägers.,0x12269,72,Anillo entretejido con ramitas de arboles\\nmágicos.Aumenta la Voluntad.,0x122ad,91,Une bague fabriquée à partir d'un arbre magique\\nAccroît la Volonté de celui qui la porte.,0x120b3,85,A ring crafted from weaving the sprigs of magic\\ntrees. Increases the wearer's Will.
163,0x8c344f2c,0x1a491,15,Mondstaub Ring,0x1a35c,15,Anillo de Luna,0x1a64a,17,Bague Poudrelune,0x19f30,14,Moondust Ring,0x3a,X,X,X,"",X,"",50,4,35,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12452,84,"Ring, der mit kleinen  Moon-Stone-Splittern\\nverziert ist. Erhöht die Willenskraft.",0x122b1,74,Anillo decorado con fragmentos de Piedras\\nLunares. Potencia la Voluntad.,0x12308,85,Une bague décorée avec des petits morceaux de\\nPierres de Lune. Augmente la Volonté.,0x12108,67,A ring decorated with tiny shards of Moon\\nStones. Increases Will.
164,0x8c344f3c,0x1a4a0,15,Liebenden-Ring,0x1a36b,17,Anillo del Amado,0x1a65b,17,Bague des amants,0x19f3e,13,Lover's Ring,0x3a,X,X,X,"",X,"",50,2,30,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0,0,0x124a6,85,"Fein gearbeiteter Ring, der zwei Liebende\\nzeigt. Erhöht Magie-Resistenz und Willen.",0x122fb,84,Anillo con la imagen de dos novios. Protege\\ncontra la Magia y aumenta la Voluntad.,0x1235d,97,Bague finement travaillée représentant 2 amants\\nenlacés. Accroît Résistance Magique et Volonté.,0x1214b,92,A finely crafted ring that depicts two lovers\\nembracing. Increases Magic Defense and Will.
165,0x8c344f4c,0x1a4af,16,Jade Swirl Ring,0x1a37c,15,Anillo de Jade,0x1a66c,14,Bague de Jade,0x19f4b,16,Jade Swirl Ring,0x3a,X,X,X,"",X,"",50,5,29,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,0x124fb,92,"Ring, der mit zwei Tropfen flüssiger Jade\\nverziert ist. Erhöht Magie-Resistenz und Willen.",0x1234f,81,Anillo con dos gotas de jade que protege\\ncontra la Magia y aumenta la Voluntad.,0x123be,92,Bague décorée avec 2 gouttes de jade liquide.\\nAccroît la Résistance Magique et la Volonté.,0x121a7,83,A ring decorated with two drops of liquid jade.\\nIncreases Magic Defense and Will.
166,0x8c344f5c,0x1a4bf,11,Cupil Ring,0x1a38b,13,Anillo Cupil,0x1a67a,15,Bague du Cupil,0x19f5b,11,Cupil Ring,0x8,"","",X,"","","",100,6,14,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0,0,0x12557,95,"Ring, der Cupil ähnelt. Erhöht Spirit sowie\\nResistenz gegen Silber-Angriffe und Eterni-Magie.",0x123a0,86,Se parece a Cupil. Potencia el Espíritu.\\nResistente Ataques de Plata y Magia Eterni.,0x1241a,98,"Bague à l'image du Cupil. Augmente l'Esprit, la\\nRésistance aux Attaques d'Argent & Magie Eterni.",0x121fa,97,"A ring that looks like Cupil. Boosts Spirit and\\nResistance to Silver Attacks, and Eterni Magic."
167,0x8c344f68,0x1a4ca,12,Kriegerherz,0x1a398,15,Corazón Bélico,0x1a689,15,Coeur Guerrier,0x19f66,16,Warrior's Heart,0x3a,X,X,X,"",X,"",100,7,59,10,77,Recover SP,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x125b6,94,"Ein Ring mit leuchtendem Stein; erlaubt dem\\nBenutzer, während des Kampfes Spirit aufzuladen.",0x123f6,83,Anillo con una gema brillante. Ayuda a\\nrecuperar el Espiritu durante la batalla. ,0x1247c,97,"Une bague avec une pierre brillante, qui permet\\nde récupérer de l'Esprit pendant les batailles.",0x1225b,82,"A ring with a glowing gem, that allows the user\\nto recover Spirit during battle."
168,0x8c344f78,0x1a4d6,17,Throkryn's Scale,0x1a3a7,14,Arma Throkryn,0x1a698,17,Écaille Throkryn,0x19f76,17,Throkryn's Scale,0x35,X,X,"",X,"",X,50,8,55,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12614,75,Ein aus einem Throkryn hergestellter Waffentyp.\\nErhöht die Angriffskraft.,0x12449,59,Arma modificada con Throkryn.\\nAumenta el poder de Ataque.,0x124dd,87,"Une arme modifiée, fabriquée à l'aide d'un\\nThrokryn. Augmente la Puissance d'Attaque.",0x122ad,66,A weapon modification made from a Throkryn.\\nRaises Attack Power.
169,0x8c344f8c,0x1a4e7,17,Thryllak's Scale,0x1a3b5,14,Arma Thryllak,0x1a6a9,17,Écaille Thryllak,0x19f87,17,Thryllak's Scale,0x35,X,X,"",X,"",X,50,9,56,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x1265f,94,"Schuppe eines Thryllak, ein Tier, noch tödlicher\\nals ein Throkryn. Erhöht die Angriffskraft.",0x12484,87,"Escamas de Thryllak, animal más mortífero\\nque el Throkryn. Mejora el poder de Ataque.",0x12534,98,"Écaille de Thryllak, animal bien plus dangereux\\nque le Throkryn. Accroît la Puissance d'Attaque.",0x122ef,88,"A scale of a Thryllak, an animal even deadlier\\nthan the Throkryn. Raises Attack Power."
170,0x8c344fa0,0x1a4f8,16,Maroccas Schale,0x1a3c3,15,Concha Marocca,0x1a6ba,17,Bouclier Marocca,0x19f98,16,Marocca's Shell,0x35,X,X,"",X,"",X,50,10,32,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x126bd,75,Panzer eines großen primitiven Krustentiers.\\nVerbessert die Verteidigung.,0x124db,70,Concha de un crustáceo primitivo de gran\\ntamano. Aumenta la Defensa.,0x12596,64,La coquille d'un grand crustacé primitif.\\nAméliore la Défense.,0x12347,62,The shell of a large primitive crustacean.\\nImproves Defense.
171,0x8c344fb0,0x1a508,16,Buroccas Schale,0x1a3d2,15,Concha Burocca,0x1a6cb,17,Bouclier Burocca,0x19fa8,16,Burocca's Shell,0x35,X,X,"",X,"",X,50,11,6,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0x12708,85,"Schale eines Burocca, noch härter als das der\\nMorocca. Verbessert die Verteidigung.",0x12521,78,"Concha de Burocca, aún más resistente\\nque la de Marocca. Aumenta la Defensa.",0x125d6,89,"La coquille d'un Burocca, encore plus dure que\\ncelle d'un Marocca. Améliore la Défense.",0x12385,81,"The shell of a Burocca, even harder than that\\nof the Marocca. Improves Defense."
172,0x8c344fc0,0x1a518,14,Crylhundklaue,0x1a3e1,16,Garra Crylhound,0x1a6dc,17,Griffe Crylhound,0x19fb8,17,Crylhound's Claw,0x35,X,X,"",X,"",X,50,12,13,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,0,0,0x1275d,91,"Eine Waffenart, wie sie von Valua-Soldaten\\nbenutzt wird. Verbessert Treffer% und Angriff.",0x1256f,87,Un arma modificada que usan los soldados\\nValuan. Aumenta Aciertos% y poder de Ataque.,0x1262f,94,Arme modifiée des Soldats Valuan. Augmente les\\nchances de toucher et la Puissance d'Attaque.,0x123d6,81,"A weapon modification used by Valuan Soldiers.\\nImproves Hit%, and Attack Power."
173,0x8c344fd4,0x1a526,10,Jägerhand,0x1a3f1,17,Mano del Cazador,0x1a6ed,17,Gant de Chasseur,0x19fc9,14,Hunter's Hand,0x35,X,X,"",X,"",X,50,13,25,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,0,0,0x127b8,87,Ein Panzerhandschuh der Ixa'taka für die Jagd.\\nVerbessert Treffer% und Angriffskraft.,0x125c6,82,Guante de caza de los hombres de Ixa'takan.\\nAumenta Aciertos% y poder de Ataque.,0x1268d,98,Gant porté par les hommes Ixa'takan à la chasse.\\nAugmente chances de toucher et Force d'Attaque.,0x12427,82,A gauntlet worn by Ixa'takan men while hunting. \\nImproves Hit% and Attack Power.
