Entry ID,JP Entry Name,Element ID,[Element Name],Ord by 123,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str,[JP Ship Descr Pos],[JP Ship Descr Size],JP Ship Descr Str
0,アパ,1,Red,120,0x3,"",X,X,21,Incr Attack + Defense,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,4,2,0,-1,0,0,0,0x332934,88,仲間ひとりを「強壮」の状態にするЖ術。\n攻撃力と防御力が25％ずつ上がる。　　　消費Ｇ＝４,0x33d1a0,88,船の攻撃力と防御力を25％上昇させる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝４
1,アポス,1,Red,121,0x3,"",X,X,21,Incr Attack + Defense,2,All PCs,6,Magic,0,16,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,16,4,0,-1,0,0,0,0x33298c,96,仲間全員を「強壮」の状態にするЖ術。長期戦では\n絶大な効果が期待できるはずだ。　　　　消費Ｇ＝16,0x33d1f8,88,船の攻撃力と防御力を25％上昇させる。\n効果は４ターン持続する。　　　　　　　消費Ｇ＝16
2,サイレシャ,2,Purple,20,0x3,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Silence by 100%,2,2,0,-1,0,0,0,0x3329ec,96,一定の確率で敵単体を「沈黙」の状態にするЖ術。\n回復Ж術を多用する敵には、まずこれだ。消費Ｇ＝２,0x33d250,100,Ж術発射装置によって使用可能。敵のЖ術を封じる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝２
3,パニカ,2,Purple,130,0x2,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x332a4c,96,一定の確率で敵単体を「混乱」の状態にするЖ術。\n混乱した敵は至近距離の誰かを攻撃する。消費Ｇ＝３,0x33d2b4,20,使用できません。\n
4,ダウナ,4,Yellow,140,0x3,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Weak by 100%,3,2,0,-1,0,0,0,0x332aac,96,一定の確率で敵単体を「衰弱」の状態にするЖ術。\n敵の全基本能力を25％ずつ下げる。　　　消費Ｇ＝３,0x33d2c8,100,Ж術発射装置によって使用可能。敵の能力を下げる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝３
5,ダウノス,4,Yellow,141,0x3,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,6,4,0,-1,0,0,0,0x332b0c,96,一定の確率で敵全体を「衰弱」の状態にするЖ術。\nなかなか使いどころの難しいЖ術だ。　　消費Ｇ＝６,0x33d32c,100,Ж術発射装置によって使用可能。敵の能力を下げる。\n効果は４ターン持続する。　　　　　　　消費Ｇ＝６
6,サプラ,0,Green,40,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,2,-1,400,-1,0,0,0,0x332b6c,96,仲間ひとりのＨＰを500ポイント回復するЖ術。\n移動中も使用することができる。　　　　消費Ｇ＝２,0x33d390,84,船のＨＰを4000ポイント修復する。\n移動中も使用することができる。　　　　消費Ｇ＝２
7,サプリィ,0,Green,41,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,4,-1,800,-1,0,0,0,0x332bcc,96,仲間ひとりのＨＰを1000ポイント回復するЖ術。\nサプラでは回復しきれないダメージに。　消費Ｇ＝４,0x33d3e4,84,船のＨＰを8000ポイント修復する。\n移動中も使用することができる。　　　　消費Ｇ＝４
8,サプレス,0,Green,42,0x6,X,X,"",31,Recover HP,2,All PCs,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,0x332c2c,92,仲間全員のＨＰを1000ポイント回復するЖ術。\n全体回復のЖ術はこれだけだ。　　　　　消費Ｇ＝８,0x33d438,16,使用できません\n
9,サプローネ,0,Green,43,0x7,X,X,X,32,Recover HP of 100%,1,Single PC,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP by 100%,6,-1,0,-1,0,0,0,0x332c88,92,仲間ひとりのＨＰを最大まで回復するЖ術。\n戦闘時より、移動時に使いたいЖ術だ。　消費Ｇ＝６,0x33d448,76,船のＨＰを完全に修復する。\n移動中も使用することができる。　　　　消費Ｇ＝６
