Entry ID,JP Entry Name,Occ. Flags,[M],[B],[S],Ship Effect ID,[Ship Effect Name],Ship Effect Turns,Consume%,Pad. 1,Pad. 2,Pad. 3,Purchase Price,Pad. 4,Pad. 5,Retail Price in %,Order by Prio.,JP Order by ABC,Pad. 6,Ship Effect Amount,Element ID,[Element Name],Unk. 1,Unk. 2,Hit%,[JP Descr. Pos.],[JP Descr. Size],JP Descr. Str.
480,爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,100,0,0,50,0,23,0,80,6,Neutral,0,0,0,0x33c86c,72,一般に使用されている、取り扱いの容易な爆弾。\n相手にダメージを与える。
481,大爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,150,0,0,50,1,18,0,120,6,Neutral,0,0,0,0x33c8b4,80,サイズを大きくし、火薬量を増やして\n威力を高めた爆弾。相手にダメージを与える。
482,特大爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,200,0,0,50,2,19,0,150,6,Neutral,0,0,0,0x33c904,80,特別な製法で、火薬量を通常の２倍にまで\n増やした爆弾。相手にダメージを与える。
483,巨大爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,480,0,0,50,3,10,0,250,6,Neutral,0,0,0,0x33c954,72,限界ギリギリまでサイズを大きくした爆弾。\n相手に大きなダメージを与える。
484,炎の爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,450,0,0,50,4,28,0,240,1,Red,1,0,0,0x33c99c,72,火薬に赤の月Ж石の粉を混ぜた特殊な爆弾。\nバーナに近い効果が得られる。
485,氷の爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,600,0,0,50,5,14,0,240,2,Purple,1,0,0,0x33c9e4,72,火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。\nグラシャに近い効果が得られる。
486,封じの爆弾,0x1,"","",X,116,Silence,-1,100,0,0,0,600,0,0,50,6,25,0,0,0,Green,0,165,80,0x33ca2c,76,火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。\nサイレシャに近い効果が得られる。
487,雷の爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,450,0,0,50,7,4,0,240,4,Yellow,1,0,0,0x33ca78,72,火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。\nボルタに近い効果が得られる。
488,バラスト爆弾,0x1,"","",X,106,Weak,-1,100,0,0,0,600,0,0,50,8,24,0,0,0,Green,0,1,80,0x33cac0,72,火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。\nダウナに近い効果が得られる。
489,波の爆弾,0x1,"","",X,107,Damage,-1,100,0,0,0,600,0,0,50,9,20,0,240,3,Blue,1,0,0,0x33cb08,72,火薬に青の月Ж石の粉を混ぜた特殊な爆弾。\nウェイバに近い効果が得られる。
