Entry ID,US Entry Name,Element ID,[Element Name],Ord by 123,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str
36,Cutlass Fury,6,Neutral,200,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,8,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332ab8,88,Vyse's super move that damages one enemy. \nUnsheath your swords and unleash your fury! 
37,Rain of Swords,6,Neutral,202,0x2,"",X,"",0,Damage,4,All ECs,0,Vyse,1,15,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332b10,88,Vyse's super move that damages all enemies on\nthe screen with blade-like gusts of wind!
38,ジョリーロジャー,6,Neutral,204,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,30,0,0,120,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332b68,56,ヴァイス攻撃技の第３弾です。\n内容は見てのお楽しみです。
39,オメガサイクロン,6,Neutral,214,0x2,"",X,"",0,Damage,35,???,1,Aika,1,25,0,0,320,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332ba0,44,アイカ攻撃技の第３弾です。\n内容は未定です。
40,Alpha Storm,6,Neutral,210,0x2,"",X,"",0,Damage,39,EC Ray S3,1,Aika,1,6,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332bcc,92,Aika's super move that does damage to an enemy\nwith a column of fire from her boomerang!
41,Lambda Burst,6,Neutral,212,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332c28,88,Aika's super move that hits all enemies with a\nfiery boomerang thrown through the air!
42,Lunar Glyph,6,Neutral,220,0x2,"",X,"",8,Stone + Damage,3,Single EC,2,Fina,1,8,0,0,50,0,Physical,2,Stone,20,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332c80,68,Fina's super move that damages one enemy and\nturns him into stone.
43,月の波動,6,Neutral,223,0x2,"",X,"",17,Rem Pos States + Damage,4,All ECs,2,Fina,1,30,0,0,300,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332cc4,60,ファイナ攻撃技の第２弾です。\nＥＣ全体に対する攻撃技です。
44,噴！,6,Neutral,230,0x2,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332d00,60,ドラクマ攻撃技の第１弾です。\nＥＣ単体に対する攻撃技です。
45,滅！,6,Neutral,232,0x2,"",X,"",6,Unconscious + Damage A,3,Single EC,3,Drachma,1,25,0,0,100,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332d3c,76,全身のパワーを義手に集中して敵単体に叩き付ける。\nドラクマ船長の超大技だ。
46,ミル・エスパーダ,6,Neutral,240,0x2,"",X,"",0,Damage,37,EC Ray S3,4,Enrique,1,10,0,0,50,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332d88,60,エンリック攻撃技の第１弾です。\nＥＣ単体に対する攻撃技です。
47,ラ・コロナシオン,6,Neutral,242,0x2,"",X,"",0,Damage,4,All ECs,4,Enrique,1,30,0,0,150,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332dc4,60,エンリック攻撃技の第２弾です。\nＥＣ全体に対する攻撃技です。
48,ハデにやろうぜ,6,Neutral,250,0x2,"",X,"",0,Damage,43,EC Triangle 60°,5,Gilder,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332e00,60,ギルダー攻撃技の第１弾です。\nＥＣ範囲に対する攻撃技です。
49,俺がギルダーだ！,6,Neutral,252,0x2,"",X,"",0,Damage,4,All ECs,5,Gilder,1,30,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x0,0,""
50,リヴェンジ,6,Neutral,301,0x2,"",X,"",38,Counter% to 100% + Guard,5,Self,0,Vyse,2,10,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332e3c,64,ヴァイス防御技の第１弾です。\n防御効果に加え、確実に反撃します。
51,スカルシールド,6,Neutral,303,0x2,"",X,"",46,Counter% to 100% + Block Attack,2,All PCs,0,Vyse,2,15,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332e7c,60,ヴァイス防御技の第２弾です。\nＥＣの直接攻撃を無効化します。
52,デルタシールド,6,Neutral,311,0x2,"",X,"",39,Block Magic,2,All PCs,1,Aika,2,12,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332eb8,60,アイカ防御技の第１弾です。\nＥＣのЖ術攻撃を無効化します。
53,ユプシロンミラー,6,Neutral,313,0x2,"",X,"",40,Invulnerable (Undef),2,All PCs,1,Aika,2,24,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332ef4,56,アイカ防御技の第２弾です。\nＥＣのЖ術攻撃を反射します。
54,月の恵み,6,Neutral,321,0x2,"",X,"",33,Regenerate,2,All PCs,2,Fina,2,8,0,0,4,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332f2c,56,ファイナ防御技の第１弾です。\n毎ターンＨＰが回復します。
55,月の浄化,6,Neutral,322,0x2,"",X,"",30,Rem Neg States B,2,All PCs,2,Fina,2,12,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332f64,68,ファイナ防御技の第２弾です。\nＰＣ全員のステータス異常を解除します。
56,月の大いなるЖき,6,Neutral,324,0x2,"",X,"",47,Recover HP & MP + Rem Neg States,2,All PCs,2,Fina,2,30,0,0,9999,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332fa8,64,ファイナ防御技の第３弾です。\nＰＣ全員を復活、完全回復します。
57,怒！,6,Neutral,331,0x2,"",X,"",41,Recover SP by 200% + Guard,5,Self,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x332fe8,64,ドラクマの防御技です。\n防御効果に加え、ガッツを２倍回復します。
58,エスクード,6,Neutral,341,0x2,"",X,"",1,Guard,2,All PCs,4,Enrique,2,8,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x333028,56,エンリックの防御技です。\nＰＣ全員に防御効果があります。
59,効かねえなあ,6,Neutral,351,0x2,"",X,"",42,Block Neg States,2,All PCs,5,Gilder,2,8,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x333060,68,ギルダーの防御技です。\nＰＣ全員にステータス異常バリアを張ります。
