Entry ID,US Entry Name,Pos ID,[Pos Name],Trait ID,[Trait Name],Pad 1,Trait Value,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Pad 2,Pad 3,Pad 4,Ship Eff Base,Unk,Pad 5,Pad 6,Pad 7,Pad 8,[US Descr Pos],[US Descr Size],US Descr Str
0,Lawrence,0,Helmsman,4,Quick,0,30,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33ba34,96,"A mercenary-for-hire, he sails the skies for a\nsteep price. He will increase your ship's Quick."
1,Don,0,Helmsman,6,Dodge%,0,15,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33ba94,68,Having Don in your active crew will increase\nyour ship's Dodge%.
2,Brabham,1,Engineer,2,Defense,0,20,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bad8,72,Having Brabham in your active crew will increase\nyour ship's Defense.
3,Hans,1,Engineer,3,MagDef,0,20,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bb20,76,Having Hans in your active crew will increase\nyour ship's Magic Defense.
4,Belle,2,Gunner,64,Sec Cannon Atk,0,50,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bb6c,92,Having Belle in your active crew will increase\nthe damage done by your Secondary Cannons.
5,Khazim,2,Gunner,48,Main Cannon Atk,0,35,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bbc8,88,Having Khazim in your active crew will increase\nthe damage done by your Main Cannons.
6,Tikatika,3,Lookout,81,Torpedo Hit%,0,80,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bc20,68,Having Tikatika in your active crew increases\nyour torpedoes' Hit%.
7,Domingo,3,Lookout,-1,None,0,0,112,Incr Critical%,6,0,0,0,0,0,0,0,0,0,0,0x33bc64,88,Having Domingo in your active crew increases\nyour chances of delivering critical hits.
8,Osman,4,Merchant,-1,None,0,0,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bcbc,88,Having Osman in your active crew will increase\nyour chance of finding expensive items.
9,Kalifa,4,Merchant,-1,None,0,0,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bd14,88,Having Kalifa in your active crew will increase\nyour chance of finding special items.
10,Izmael,5,Builder,96,Special Attack,0,100,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33bd6c,100,Having Izmael in your active crew will increase\nthe destructive power of your Moon Stone Cannon.
11,Kirala,5,Builder,-1,None,0,0,101,Recover HP by 100%,7,0,0,0,0,0,1,0,0,0,0,0x33bdd0,68,"Using the Crew Command, she will replenish your\nship's HP to full."
12,Polly,6,Cook,-1,None,0,0,117,Recover MP,6,-1,0,0,0,10,130,0,0,0,0,0x33be14,64,"Using the Crew Command, she will replenish one\ncharacter's MP."
13,Urala,6,Cook,-1,None,0,0,103,Recover SP by 100%,15,-1,0,0,0,0,9,0,0,0,0,0x33be54,64,"Using the Crew Command, she will max out\nyour Spirit Points."
14,Ryu-kan,7,Artisan,-1,None,0,0,105,Incr Attack + Defense,15,4,0,0,0,0,0,0,0,0,0,0x33be94,88,"Using the Crew Command, he will raise your \nship's Attack and Defense for a short time."
15,Ilchymis,7,Artisan,-1,None,0,0,108,Incr All Attr,8,8,0,0,0,50,0,0,0,0,0,0x33beec,92,"Using the Crew Command, he will raise your\nship's attributes for a short period of time."
16,Marco,8,Sailor,-1,None,0,0,114,Recover SP by 200%,8,-1,0,0,0,0,0,0,0,0,0,0x33bf48,80,"Using the Crew Command, he will double all of\nyour Spirit Points for one turn."
17,Robinson,8,Sailor,-1,None,0,0,113,Consume SP by 50%,8,0,0,0,0,0,0,0,0,0,0,0x33bf98,88,"Using the Crew Command, he will reduce the\nSpirit Points cost for actions for a turn."
18,Pow,9,Jester,-1,None,0,0,111,Incr First Strike%,4,0,0,0,0,0,0,0,0,0,0,0x33bff0,88,"Using the Crew Command, he will raise your\nchances of attacking first for a full turn."
19,Merida,9,Jester,7,Value,0,10000,255,None,-1,-1,0,0,0,0,0,0,0,0,0,0x33c048,68,Having Merida in your active crew will increase\nyour ship's value.
20,Moegi,10,Delegate,-1,None,0,0,110,Block Magic,10,0,0,0,0,0,0,0,0,0,0,0x33c08c,88,"Using the Crew Command, she will protect your\nship from enemy magic for a full turn."
21,Pinta,10,Delegate,-1,None,0,0,109,Block Attack,10,0,0,0,0,0,0,0,0,0,0,0x33c0e4,92,"Using the Crew Command, he will protect your\nship from enemy cannon fire for a full turn."
