Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Buy,Sell%,Ord by 123,EU Ord by ABC,Pad 1,Pad 2,Pad 3,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
480,0x8034ff14,0x1ec15,5,Bomb,0x1e9cd,6,Bomba,0x1ec03,6,Bombe,0x1e27d,5,Bomb,0x1,"","",X,107,Damage,-1,100,100,50,0,3,0,0,0,80,6,Neutral,0,0,0,0x1abb8,71,"Allgemein gebräuchliche Bombe, dazu bestimmt,\\nden Feind zu schädigen.",0x1a7f2,46,Bomba común para producir daño al enemigo.\\n ,0x1a998,49,Bombe classique conçue pour endommager l'ennemi.,0x1a38c,45,"A common bomb, designed to damage the enemy."
481,0x802d5a20,0x1ec1a,9,Big Bomb,0x1e9d3,13,Bomba Grande,0x1ec09,13,Grosse Bombe,0x1e282,9,Big Bomb,0x1,"","",X,107,Damage,-1,100,150,50,1,2,0,0,0,120,6,Neutral,0,0,0,0x1abff,89,Größere Bombe mit mehr Sprengkraft durch\\neine größere Pulverladung. Schädigt den Feind.,0x1a820,94,Contiene más cantidad de pólvora para crear una\\nmayor explosión. Provoca daño en el enemigo.,0x1a9c9,89,Grosse bombe contenant plus de poudre pour une\\nexplosion puissante. Endommage l'ennemi.,0x1a3b9,82,"A larger bomb, packed with more gunpowder for a\\nbigger blast. Damages the enemy."
482,0x802d5a2c,0x1ec23,16,Concussion Bomb,0x1e9e0,17,Bomba de Impacto,0x1ec16,16,Bombe explosive,0x1e28b,16,Concussion Bomb,0x1,"","",X,107,Damage,-1,100,200,50,2,6,0,0,0,150,6,Neutral,0,0,0,0x1ac58,84,Bombe mit doppelt so viel Sprengkraft wie\\neine Standard-Bombe. Schädigt den Feind.,0x1a87e,88,Con el doble de potencia de fogueo que una\\nbomba estándar. Provoca daño en el enemigo.,0x1aa22,87,Bombe qui a 2 fois plus de puissance de feu\\nqu'une bombe normale. Endommage l'ennemi.,0x1a40b,79,A bomb that packs double the firepower of a\\nstandard bomb. Damages the enemy.
483,0x802d5a3c,0x1ec33,14,Shredder Bomb,0x1e9f1,16,Bomba Explosiva,0x1ec26,15,Bombe mortelle,0x1e29b,14,Shredder Bomb,0x1,"","",X,107,Damage,-1,100,480,50,3,24,0,0,0,250,6,Neutral,0,0,0,0x1acac,92,"Bombe, die für maximale Explosionskraft und\\nGröße entwickelt wurde. Schädigt Feind massiv.",0x1a8d6,90,Bomba diseñada para lograr una gran potencia\\nde explosión. Produce gran daño al enemigo.,0x1aa79,93,Bombe purement conçue pour son pouvoir explosif\\net sa taille. Endommage gravement l'ennemi.,0x1a45a,86,A bomb designed for pure explosive power and\\nsize. Does massive damage to the enemy.
484,0x802d5a4c,0x1ec41,10,Pyro Bomb,0x1ea01,15,Bomba de Fuego,0x1ec35,11,Bombe Pyro,0x1e2a9,10,Pyro Bomb,0x1,"","",X,107,Damage,-1,100,450,50,4,21,0,0,0,240,1,Red,1,0,0,0x1ad08,98,"Bombe, bei der Red Moon-Staub unter das Schieß-\\npulver gemischt wurde. Entwickelt extreme Hitze.",0x1a930,87,"Bomba especial, mezcla de Polvo de Luna\\nRoja y pólvora. La explosión es muy abrasiva.",0x1aad6,91,Bombe spéciale avec de la Poussière de Lune\\nRouge mélangée à la poudre. Explosion de feu.,0x1a4b0,89,A special bomb with Red Moon Dust mixed\\ninto the gunpowder. Has an extremely hot blast.
485,0x802d5a58,0x1ec4b,11,Frost Bomb,0x1ea10,15,Bomba de Hielo,0x1ec40,10,Bombe Gel,0x1e2b3,11,Frost Bomb,0x1,"","",X,107,Damage,-1,100,600,50,5,10,0,0,0,240,2,Purple,1,0,0,0x1ad6a,89,Spezielle Bombe mit Purple Moon-Staub im Schieß-\\npulver. Ergibt extrem kalte Explosion.,0x1a987,86,"Bomba especial, mezcla de Polvo de Luna\\nPúrpura y pólvora. La explosión es heladora.",0x1ab31,93,Bombe spéciale avec de la Poussière de Lune\\nMauve mélangée à la poudre. Explosion de glace.,0x1a509,93,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has an extremely cold blast.
486,0x802d5a64,0x1ec56,14,Silencer Bomb,0x1ea1f,15,Bomba Silencio,0x1ec4a,14,Bombe Furtive,0x1e2be,14,Silencer Bomb,0x1,"","",X,116,Silence by 100%,-1,100,600,50,6,25,0,0,0,0,0,Green,0,165,80,0x1adc3,90,Spezielle Bombe mit Purple Moon-Staub im\\nSchießpulver. Hat einen Sylenis-artigen Effekt.,0x1a9dd,97,"Bomba especial, mezcla de Polvo de Luna Púrpura\\ny pólvora. Su efecto es parecido al de Sylenis.",0x1ab8e,88,Bombe spéciale avec de la Poussière de Lune\\nMauve mélangée à la poudre. Effet Sylenis.,0x1a566,91,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has a Sylenis-like effect.
487,0x802d5a74,0x1ec64,13,Thunder Bomb,0x1ea2e,13,Bomba Trueno,0x1ec58,15,Bombe Tonnerre,0x1e2cc,13,Thunder Bomb,0x1,"","",X,107,Damage,-1,100,450,50,7,28,0,0,0,240,4,Yellow,1,0,0,0x1ae1d,83,Spezielle Bombe mit Yellow Moon-Staub im\\nSchießpulver. Hat Eletri-artigen Effekt.,0x1aa3e,98,"Bomba especial, mezcla de Polvo de Luna Amarilla\\ny pólvora. Su efecto es parecido al de Electri.",0x1abe6,88,Bombe spéciale avec de la Poussière de Lune\\nJaune mélangée à la poudre. Effet Electri.,0x1a5c1,92,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has an Electri-like effect.
488,0x802d5a84,0x1ec71,13,Electro Bomb,0x1ea3b,14,Bomba Electro,0x1ec67,15,Bombe Électro ,0x1e2d9,13,Electro Bomb,0x1,"","",X,106,Weak by 100%,-1,100,600,50,8,9,0,0,0,0,0,Green,0,1,80,0x1ae70,84,Spezielle Bombe mit Yellow Moon-Staub im Schieß-\\npulver. Hat Driln-artigen Effekt.,0x1aaa0,97,"Bomba especial, mezcla de Polvo de Luna Amarilla \\ny pólvora. Su efecto es parecido al de Driln.",0x1ac3e,86,Bombe spéciale avec de la Poussière de Lune\\nJaune mélangée à la poudre. Effet Driln.,0x1a61d,89,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has a Driln-like effect.
489,0x802d5a94,0x1ec7e,10,Wave Bomb,0x1ea49,11,Bomba Ola ,0x1ec76,12,Bombe Vague,0x1e2e6,10,Wave Bomb,0x1,"","",X,107,Damage,-1,100,600,50,9,29,0,0,0,240,3,Blue,1,0,0,0x1aec4,86,Spezielle Bombe mit Blue Moon Stone-Staub im\\nSchießpulver. Hat Wevli-artigen Effekt.,0x1ab01,92,"Bomba especial, mezcla de Polvo de Luna Azul\\ny pólvora. Su efecto es parecido al de Wevli.",0x1ac94,86,Bombe spéciale avec de la Poussière de Lune\\nBleue mélangée à la poudre. Effet Wevli.,0x1a676,92,A special bomb with Blue Moonstone dust mixed\\ninto the gunpowder. Has a Wevli-like effect.
