Entry ID,JP Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Feat. 1 ID,[Feat. 1 Name],Pad. 1,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 2,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 3,Feat. 3 Value,Feat. 4 ID,[Feat. 4 Name],Pad. 4,Feat. 4 Value,Purchase Price,Retail Price in %,Order by Prio.,JP Order by ABC,Pad. 5,[JP Descr. Pos.],[JP Descr. Size],JP Descr. Str.
440,ドクロの船首像,0x3e,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,800,50,0,0,0,0x2cef30,76,空賊の象徴、ドクロがデザインされた船首像。\n空賊魂が上昇し、Ж防力が上がる。
441,鳥の船首像,0x3e,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2400,50,1,1,0,0x2cef7c,84,伝説の赤い鳥がデザインされた船首像。\n飾りつけられた赤い羽根が特徴。Ж防力が上がる。
442,赤き船首像,0x3e,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,4400,50,2,2,0,0x2cefd0,96,ピュラミス神殿のスフィンクスがデザインされた\n船首像。その神秘的なパワーによりЖ防力が上がる。
443,クジラの船首像,0x3e,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,4640,50,3,3,0,0x2cf030,84,空の守り神ともいわれるクジラがデザインされた\n船首像。その加護によりЖ防力が上がる。
444,ケチャの船首像,0x3e,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,4880,50,4,4,0,0x2cf084,92,モンテスマの神ケチャがデザインされた船首像。\n荘厳な雰囲気がかもし出され、Ж防力が上がる。
445,ライオンの船首像,0x3e,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,5120,50,5,5,0,0x2cf0e0,92,百獣の王ライオンがデザインされた船首像。\n厳然たるその威容が相手を圧倒し、Ж防力が上がる。
446,青き神鳥の船首像,0x3e,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,5360,50,6,6,0,0x2cf13c,92,ヤフトマーに古くから伝わる神鳥がデザインされた\n船首像。神聖なる力がみなぎりЖ防力が上がる。
447,女神の船首像,0x3e,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,6800,50,7,7,0,0x2cf198,92,愛、勇気、勝利を呼ぶ３人の女神がデザインされた\n船首像。その友愛の力によりЖ防力が上がる。
448,ヴァイスの船首像,0x3e,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,8800,50,8,8,0,0x2cf1f4,84,青の空賊ヴァイスの船首像。自らモデルになる\n図々しさで相手を圧倒、Ж防力が上がる。
449,きらめく船首像,0x3e,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,13500,50,9,9,0,0x2cf248,84,朝日をあらわす光球がデザインされた船首像。\n未知なる力が船を守り、Ж防力が上がる。
