Entry ID,[Str. Pos.],[Str. Size],[Str. Encoding],Str. Value,[Str. Data]
0,0x3fc,46,Shift_JIS,Metrowerks Target Resident Kernel for PowerPC,"""Metrowerks Target Resident Kernel for PowerPC"""
1,0x2a9820,18,Shift_JIS,\nOSDumpHeap(%d):\n,"""\nOSDumpHeap(%d):\n"""
2,0x2a9834,18,Shift_JIS,--------Inactive\n,"""--------Inactive\n"""
3,0x2a9848,26,Shift_JIS,addr\tsize\t\tend\tprev\tnext\n,"""addr\tsize\t\tend\tprev\tnext\n"""
4,0x2a9864,19,Shift_JIS,--------Allocated\n,"""--------Allocated\n"""
5,0x2a9878,22,Shift_JIS,%4d:\t%x\t%5d\t%x\t%x\t%x\n,"""%4d:\t%x\t%5d\t%x\t%x\t%x\n"""
6,0x2a9890,14,Shift_JIS,--------Free\n,"""--------Free\n"""
7,0x2a98a0,36,Shift_JIS,OSCheckHeap: Failed HeapArray in %d,"""OSCheckHeap: Failed HeapArray in %d"""
8,0x2a98c4,55,Shift_JIS,OSCheckHeap: Failed 0 <= heap && heap < NumHeaps in %d,"""OSCheckHeap: Failed 0 <= heap && heap < NumHeaps in %d"""
9,0x2a98fc,40,Shift_JIS,OSCheckHeap: Failed 0 <= hd->size in %d,"""OSCheckHeap: Failed 0 <= hd->size in %d"""
10,0x2a9924,79,Shift_JIS,OSCheckHeap: Failed hd->allocated == NULL || hd->allocated->prev == NULL in %d,"""OSCheckHeap: Failed hd->allocated == NULL || hd->allocated->prev == NULL in %d"""
11,0x2a9974,62,Shift_JIS,"OSCheckHeap: Failed InRange(cell, ArenaStart, ArenaEnd) in %d","""OSCheckHeap: Failed InRange(cell, ArenaStart, ArenaEnd) in %d"""
12,0x2a99b4,55,Shift_JIS,"OSCheckHeap: Failed OFFSET(cell, ALIGNMENT) == 0 in %d","""OSCheckHeap: Failed OFFSET(cell, ALIGNMENT) == 0 in %d"""
13,0x2a99ec,73,Shift_JIS,OSCheckHeap: Failed cell->next == NULL || cell->next->prev == cell in %d,"""OSCheckHeap: Failed cell->next == NULL || cell->next->prev == cell in %d"""
14,0x2a9a38,51,Shift_JIS,OSCheckHeap: Failed MINOBJSIZE <= cell->size in %d,"""OSCheckHeap: Failed MINOBJSIZE <= cell->size in %d"""
15,0x2a9a6c,61,Shift_JIS,"OSCheckHeap: Failed OFFSET(cell->size, ALIGNMENT) == 0 in %d","""OSCheckHeap: Failed OFFSET(cell->size, ALIGNMENT) == 0 in %d"""
16,0x2a9aac,57,Shift_JIS,OSCheckHeap: Failed 0 < total && total <= hd->size in %d,"""OSCheckHeap: Failed 0 < total && total <= hd->size in %d"""
17,0x2a9ae8,69,Shift_JIS,OSCheckHeap: Failed hd->free == NULL || hd->free->prev == NULL in %d,"""OSCheckHeap: Failed hd->free == NULL || hd->free->prev == NULL in %d"""
18,0x2a9b30,95,Shift_JIS,OSCheckHeap: Failed cell->next == NULL || (char*) cell + cell->size < (char*) cell->next in %d,"""OSCheckHeap: Failed cell->next == NULL || (char*) cell + cell->size < (char*) cell->next in %d"""
19,0x2a9b90,44,Shift_JIS,OSCheckHeap: Failed total == hd->size in %d,"""OSCheckHeap: Failed total == hd->size in %d"""
20,0x2a9c40,9,Shift_JIS,%s%s.STD,"""%s%s.STD"""
21,0x2a9c50,17,Shift_JIS,/sound/m0367.mlt,"""/sound/m0367.mlt"""
22,0x2a9c64,29,Shift_JIS,Would you like to try again?,"""Would you like to try again?"""
23,0x2a9c84,17,Shift_JIS,I never give up!,"""I never give up!"""
24,0x2a9c98,11,Shift_JIS,ME090A.sct,"""ME090A.sct"""
25,0x2a9ca4,20,Shift_JIS,/sound/m04%02d.samp,"""/sound/m04%02d.samp"""
26,0x2a9cc4,10,Shift_JIS,s%03d.sml,"""s%03d.sml"""
27,0x2a9cd0,10,Shift_JIS,s%03d.sst,"""s%03d.sst"""
28,0x2a9cdc,12,Shift_JIS,stsicon.mld,"""stsicon.mld"""
29,0x2a9ce8,14,Shift_JIS,s%02d%02d.mld,"""s%02d%02d.mld"""
30,0x2a9cf8,14,Shift_JIS,s%03d%02d.mld,"""s%03d%02d.mld"""
31,0x2a9d08,9,Shift_JIS,/battle/,"""/battle/"""
32,0x2a9da8,14,Shift_JIS,E99%02d%02d%d,"""E99%02d%02d%d"""
33,0x2a9db8,12,Shift_JIS,E99%02d00%d,"""E99%02d00%d"""
34,0x2a9dc4,13,Shift_JIS,E99%02d%02d0,"""E99%02d%02d0"""
35,0x2a9dd4,13,Shift_JIS,E99%02d%02d1,"""E99%02d%02d1"""
36,0x2a9de4,11,Shift_JIS,E99%02d001,"""E99%02d001"""
37,0x2a9fa0,16,Shift_JIS,D%02d%03d00.MLK,"""D%02d%03d00.MLK"""
38,0x2a9fb0,10,Shift_JIS,PCWIN.MLK,"""PCWIN.MLK"""
39,0x2a9fbc,19,Shift_JIS,%c%02d%03d%02X.MLK,"""%c%02d%03d%02X.MLK"""
40,0x2a9fd0,10,Shift_JIS,MA000.MLD,"""MA000.MLD"""
41,0x2a9fdc,10,Shift_JIS,ma000.mld,"""ma000.mld"""
42,0x2a9fe8,10,Shift_JIS,MA001.MLD,"""MA001.MLD"""
