Entry ID,US Entry Name,Pad 1,Pad 2,Pad 3,Pad 4,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 5,Pad 6
0,Volcanic Blast,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,20,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
1,Cinder Storm,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,Attack,5,1,Red,0,Physical,16,Attack,17,Defense,2,Stone,50,0,0
2,Feather Slash,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,Attack,30,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
3,欠番,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
4,Laser,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,20,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
5,Thunder of Fury,0,0,0,0,0,S-Move,0,Damage,101,PC Ray S3,16,Attack,30,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
6,欠番,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
7,Circle of Panic,0,0,0,0,0,S-Move,11,Confusion,1,Single PC,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,4,Confusion,0,0,0
8,Ring of Sleep,0,0,0,0,0,S-Move,9,Sleep,1,Single PC,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,3,Sleep,0,0,0
9,Target Search,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
10,欠番,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
11,Tackle,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,Attack,40,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
12,Death Strike,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,Attack,5,5,Silver,0,Physical,16,Attack,17,Defense,1,Unconscious,70,0,0
13,Charge,0,0,0,0,0,S-Move,-1,None,5,Self,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
