Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. flags,[V],[A],[F],[D],[E],[G],Retail price in %,Order by prio.,EU order by ABC,Purchase price,Feat. #0 ID,[Feat. #0 name],Pad. #0,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #1,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #2,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #3,Feat. #3 value,Pad. #4,Pad. #5,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
80,2352245740,107129,15,Vyse's Uniform,106247,17,Uniforme de Vyse,107109,17,Uniforme de Vyse,105248,15,Vyse's Uniform,49,X,X,"","","",X,50,0,58,60,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,0,0,70105,67,"Uniform der Blue Rogues, die er von seinem\nVater geschenkt bekam.",69546,58,Uniforme de los Bandidos Azules.\nSu padre se lo entregó.,69640,50,Uniforme des Voleurs Bleus.\nOffert par son père.,69041,57,Uniform of the Blue Rogues.\nGiven to him by his father.
81,2352245756,107144,14,Aika's Shorts,106264,16,Pantalones Aika,107126,13,Short d'Aika,105263,14,Aika's Shorts,24,"",X,X,"","","",50,1,1,50,17,Defense,0,19,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,0,0,70172,63,"Aikas Lieblingspaar Shorts, die sie von Vyses\nMutter erhielt.",69604,76,La madre de Vyse regaló a Aika estos\npantalones cortos. Son sus favoritos.,69690,51,"Short préféré d'Aika, offert par la mère\nde Vyse.",69098,64,"Aika's favorite pair of shorts, given to her\nby Vyse's mother."
82,2352245772,107158,12,Fina's Robe,106280,15,Túnica de Fina,107139,13,Robe de Fina,105277,12,Fina's Robe,26,"",X,X,"",X,"",50,11,19,510,17,Defense,0,55,18,MagDef,0,64,-1,None,0,0,-1,None,0,0,0,0,70235,77,"Traditionelle Silviter-Tracht, von Frauen der\nSilver Civilization getragen.",69680,84,Un vestido Silvite tradicional. Lo llevan\nlas mujeres de la Civilizacion de Plata.,69741,79,"Robe Silvite traditionnelle, portée par les\nfemmes de la Civilisation Argent.",69162,72,"A traditional Silvite Dress, worn by women of\nthe Silver Civilization."
83,2352245784,107170,16,Drachma's Shirt,106295,15,Camisa Drachma,107152,16,Chemise Drachma,105289,16,Drachma's Shirt,4,"","","",X,"","",50,4,13,340,17,Defense,0,45,18,MagDef,0,42,-1,None,0,0,-1,None,0,0,0,0,70312,80,"Ein extra großes, schweres Hemd, das nach Jahren\nharter Arbeit abgetragen ist.",69764,60,Una enorme camisa muy desgastada por años\nde duro trabajo.,69820,63,"Chemise lourde et très grande, usée\npar des années de labeur.",69234,74,"An extra large, heavy shirt that's been well\nworn by years of hard work."
84,2352245800,107186,15,Enrique's Coat,106310,17,Manto de Enrique,107168,17,Manteau Impérial,105305,15,Enrique's Coat,2,"","","","",X,"",50,33,15,3390,17,Defense,0,119,18,MagDef,0,119,19,Hit%,0,10,20,Dodge%,0,5,0,0,70392,97,Eine leichte Rüstung des kaiserlichen Hofs von\nValua. Sie erhöht die Beweglichkeit des Trägers.,69824,79,Armadura ligera de la Corte Imperial\nValuan. Aumenta la agilidad del usuario.,69883,93,L'armure légère de la Cour Impériale Valuan.\nElle améliore l'agilité de celui qui la porte.,69308,81,The light armor of the Valuan Imperial Court.\nIt improves the wearer's agility.
85,2352245816,107201,14,Gilder's Mail,106327,13,Malla Gilder,107185,17,Maille de Gilder,105320,14,Gilder's Mail,37,X,"","",X,"",X,50,27,24,2840,17,Defense,0,116,18,MagDef,0,99,-1,None,0,0,-1,None,0,0,0,0,70489,96,"Leichte Rüstung, die Gilder unter seinem Mantel\nträgt. Er hat gerne Spaß, ist aber nicht dumm.",69903,82,Armadura ligera de la Corte Imperial\nValuan. El travieso de Gilder no es tonto.,69976,94,Armure légère portée par Gilder sous le manteau.\nGilder aime s'amuser mais il n'est pas fou.,69389,90,"Light armor, worn by Gilder under his coat.\nGilder likes to have fun, but he's no dummy."
86,2352245832,107215,11,Light Robe,106340,14,Túnica Ligera,107202,12,Robe Légère,105334,11,Light Robe,26,"",X,X,"",X,"",50,3,32,130,17,Defense,0,29,18,MagDef,0,34,-1,None,0,0,-1,None,0,0,0,0,70585,52,Eine leichte Robe aus magieresistentem Material.\n,69985,70,Una túnica ligera hecha de un material\nresistente a prueba de magia.,70070,58,Une robe légère fabriquée en tissu résistant à\nla magie.,69479,62,A lightweight robe crafted from magically\nresistant fabric.
87,2352245844,107226,15,Valuan Uniform,106354,16,Uniforme Valuan,107214,16,Uniforme Valuan,105345,15,Valuan Uniform,53,X,X,"",X,"",X,50,2,55,170,17,Defense,0,32,18,MagDef,0,32,-1,None,0,0,-1,None,0,0,0,0,70637,89,"Uniform, die von einem valuanischen Seefahrer\nmit niedrigem Dienstgrad gestohlen wurde.",70055,58,Un uniforme robado de un navegante Valuan\nde bajo rango.,70128,62,Un uniforme volé à un navigateur Valuan d'un\nrang inférieur.,69541,55,A uniform stolen from a low-ranking Valuan\nnavigator.
88,2352245860,107241,15,Sailor Uniform,106370,16,Uniforme Marino,107230,15,Uniforme Marin,105360,15,Sailor Uniform,53,X,X,"",X,"",X,50,5,49,330,17,Defense,0,44,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0,0,70726,66,"Billig, leicht und robust - \ndie bevorzugte Tracht der Matrosen.",70113,69,"Barato, ligero y resistente. Es el traje\npreferido por los marinos.",70190,68,"Bon marché, léger et de qualité, c'est l'habit\npréféré des marins.",69596,81,"Inexpensive, light weight, and durable, this\nis the preferred dress of sailors."
89,2352245876,107256,13,Mystic Dress,106386,15,Túnica Mística,107245,14,Robe Mystique,105375,13,Mystic Dress,24,"",X,X,"","","",75,6,40,310,17,Defense,0,42,18,MagDef,0,46,-1,None,0,0,-1,None,0,0,0,0,70792,90,"Ein Kleid aus magieresistentem Material, das\nseine Trägerin vor Magie-Angriffen schützt.",70182,83,Traje con tela a prueba de magia. Inmuniza\nal usuario contra los ataques magicos.,70258,49,Robe fabriquée en tissu résistant à la magie.\n,69677,93,A dress made of magically resistant fabric that\nenables the wearer to resist magic attacks.
90,2352245892,107269,13,Valuan Armor,106401,16,Armadura Valuan,107259,14,Armure Valuan,105388,13,Valuan Armor,37,X,"","",X,"",X,50,7,54,480,17,Defense,0,51,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0,0,70882,91,"Eine alte Rüstung, wie sie von den Wächtern des\nKaiserlichen Valua-Palasts getragen wird.",70265,68,Una vieja armadura usada por guardias\ndel Palacio Imperial Valuan.,70307,67,Une vieille armure portée par la Garde du\nPalais Impérial Valuan.,69770,68,On old suit of armor worn by guards in the\nValuan Imperial Palace.
