Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Padding #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #1,Padding #2,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #3,Padding #4,Padding #5,Ship occ. ID,[Ship occ. name],Padding #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #7,Padding #8,Padding #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
36,2352244348,105784,14,Schwertwirbel,104803,14,Ira del Sable,105708,15,Furie du Sabre,103936,13,Cutlass Fury,6,0,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61105,93,Vyse lässt seine Wut an einem Feind aus und\nfügt ihm großen Schaden zu.                SP 7,60568,92,"Vyse desata su ira sobre un solo enemigo,\nproduciendo grandes daños.                  SEP7",60788,93,"Vyse déchaîne sa furie sur un seul ennemi,\ncausant d'importants dégâts.                ES 7",60081,92,"Vyse unleashes his fury on a single enemy,\ncausing major damage.                      SP 7"
37,2352244364,105798,15,Schwerterregen,104817,17,Lluvia de Sables,105723,14,Pluie d'Épées,103949,15,Rain of Swords,6,0,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61198,95,Vyse schädigt alle Feinde auf dem Bildschirm\nmit mächtigen Blitzschlägen.               SP 14,60660,96,Vyse convoca el poder del rayo para que caiga\nsobre todos los enemigos en pantalla.      SEP14,60881,99,Vyse invoque le pouvoir des éclairs et une pluie\nd'épées sur tous les ennemis à l'écran.    ES 14,60173,99,Vyse summons the power of lightning to rain down\nupon all the enemies on the screen.        SP 14
38,2352244380,105813,12,Piratenzorn,104834,17,Furia del Pirata,105737,17,Colère du Pirate,103964,15,Pirates' Wrath,6,0,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61293,95,Vyse lässt einen Feind den verheerenden Zorn\nder Luftpiraten spüren.                    SP 21,60756,96,Vyse desencadena la ira de los Piratas Aéreos\nsobre un enemigo y produce un daño enorme. SEP21,60980,98,Vyse déchaîne la colère des Pirates sur un seul\nennemi pour causer d'importants dégâts.    ES 21,60272,97,Vyse unleashes the wrath of the Air Pirates on\na single enemy for devastating damage.     SP 21
39,2352244396,105825,15,Omega-Psyclone,104851,13,Ciclón Omega,105754,15,Psyclone Oméga,103979,15,Omega Psyclone,1,0,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61388,95,Aika zerstört alle Feinde auf dem Bildschirm\nmit der Macht des Red Moon.                SP 12,60852,96,Aika convoca los poderes de la Luna Roja para\ndestruir a todos los enemigos en pantalla. SEP12,61078,98,Aika invoque les pouvoirs de la Lune Rouge pour\ndétruire tous les ennemis à l'écran.       ES 12,60369,93,Aika summons the powers of the Red Moon to\ndestroy all of the enemies on screen.      SP 12
40,2352244412,105840,11,Alphasturm,104864,14,Tormenta Alfa,105769,12,Orage Alpha,103994,12,Alpha Storm,1,0,Red,210,2,"",X,"",0,Damage,39,Enemy line #4,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61483,96,"Aika entfacht mit ihrem Bumerang einen Feuer-\nwirbel, schädigt alle Feinde auf einer Linie.SP4",60948,93,Aika hace girar su bumerán y un huracán de\nllamas hiere a todos los enemigos en línea. SEP4,61176,99,"Aika lance son boomerang, invoquant un vortex de\nflammes sur tous les ennemis alignés.       ES 4",60462,97,"Aika spins her boomerang, summoning a vortex of\nflames to strike all enemies in a line.    SP 4"
41,2352244424,105851,13,Lambda Burst,104878,17,Explosión Lambda,105781,17,Explosion Lambda,104006,13,Lambda Burst,1,0,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61579,94,"Aika lässt den Boden unter sich explodieren,\nschädigt alle Feinde auf dem Bildschirm.   SP 8",61041,99,Aika explosiona la tierra que le rodea y produce\ndaño a todos los enemigos en pantalla.      SEP8,61275,91,"Aika fait exploser le sol autour d'elle,\nblessant tous les ennemis à l'écran.        ES 8",60559,91,"Aika causes the very ground around her to\nexplode, damaging all enemies on screen.   SP 8"
42,2352244440,105864,12,Lunar Glyph,104895,12,Glifo Lunar,105798,15,Glyphe Lunaire,104019,12,Lunar Glyph,5,0,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61673,96,"Fina nutzt die Macht des Silver Moon, um einen\nFeind zu schädigen und evtl.zu versteinern.SP 3",61140,97,"Con el poder de la Luna de Plata, Fina produce\ndaño y quizá petrifica a un único enemigo.  SEP3",61366,97,Fina utilise le pouvoir de la Lune Argent pour\nblesser et voire pétrifier un ennemi.       ES 3,60650,96,Fina uses the power of the Silver Moon to damage\nand possibly Stone a single enemy.       SP 3
43,2352244452,105876,10,Mondwinde,104907,16,Ráfagas Lunares,105813,15,Vents Lunaires,104031,12,Lunar Winds,5,0,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61769,95,"Cupil entfacht einen Sturm, der allen Feinden\nschadet und alle positiven Effekte aufhebt.SP 6",61237,98,Cupil desata una tormenta que hiere y anula los\nefectos beneficiosos de todos los enemigos. SEP6,61463,99,Cupil invoque un orage pour ôter tous les effets\nbénéfiques aux ennemis et les blesser.      ES 6,60746,96,Cupil summons a storm to damage and remove any\nbeneficial effects from all enemies.       SP 6
44,2352244464,105886,8,Attacke,104923,7,Ataque,105828,14,Ruée Mortelle,104043,7,Tackle,6,0,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61864,100,Drachma konzentriert all seine Energie auf seinen\nseinen Metallarm und greift einen Feind an.SP 10,61335,98,Drachma concentra todas sus fuerzas en su brazo\nmetálico y carga contra un enemigo.        SEP10,61562,95,Drachma concentre toute son énergie dans son\nbras métallique et se rue sur un ennemi.   ES 10,60842,98,Drachma concentrates all of his energy into his\nmetal arm and charges one enemy.           SP 10
45,2352244472,105894,15,Schicksalshand,104930,17,Mano del Destino,105842,15,Main du Destin,104050,13,Hand of Fate,6,0,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,61964,97,"Drachma versetzt einem Feind einen furchtbaren\nHieb mit seinem Metallarm, meistens tödlich.SP25",61433,97,Drachma carga contra un enemigo con su potente\nbrazo y mata al instante a la mayoria.     SEP25,61657,99,"Drachma écrase un ennemi avec son bras puissant,\ncausant la plupart du temps sa mort.       ES 25",60940,97,"Drachma crushes one enemy with his mighty arm,\ncausing instant death to most.             SP 25"
