Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Pos. ID,[Pos. name],Pad. #0,Feat. ID,[Feat. name],Pad. #1,Feat. value,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Pad. #2,Pad. #3,Pad. #4,Ship effect amount,Unk.,Pad. #5,Pad. #6,Pad. #7,Pad. #8,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
0,0x8c348420,0x1bc84,9,Lawrence,0x1ba79,9,Lawrence,0x1bdad,9,Lawrence,0x1b527,9,Lawrence,0,Helmsman,0,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1906c,94,"Ein Söldner, der zu einem hohen Preis die Lüfte\\nbefährt. Mit ihm wird dein Schiff schneller.",0x18c3b,84,Mercenario a sueldo que navega a  precio alto.\\nAumentará la Velocidad de tu navío.,0x18f4f,92,Mercenaire naviguant au service du plus offrant.\\nIl accélèrera la vitesse de votre navire.,0x18964,97,"A mercenary-for-hire, he sails the skies for a\\nsteep price. He will increase your ship's Quick."
1,0x8c34842c,0x1bc8d,4,Don,0x1ba82,4,Don,0x1bdb6,4,Don,0x1b530,4,Don,0,Helmsman,0,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x190ca,78,"Hast du Don in deiner aktiven Mannschaft, kann\\ndas Schiff besser ausweichen.",0x18c8f,97,"Si tienes a Don como miembro de tu tripulación,\\naumentará la capacidad de Esquivar de tu navío.",0x18fab,85,Recruter Don dans votre équipage augmentera\\nles chances d’esquives de votre navire.,0x189c5,66,Having Don in your active crew will increase\\nyour ship's Dodge%.
2,0x8c348430,0x1bc91,8,Brabham,0x1ba86,8,Brabham,0x1bdba,8,Brabham,0x1b534,8,Brabham,1,Engineer,0,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x19118,88,Brabham in deiner aktiven Mannschaft erhöht\\ndie Verteidigungsfähigkeit deines Schiffs.,0x18cf0,74,"Si tienes a Brabham en tu tripulación,\\naumentará la Defensa de tu navío.",0x19000,86,Enrôler Brabham comme membre de votre équipage\\naccroîtra la défense de votre navire.,0x18a07,71,Having Brabham in your active crew will increase\\nyour ship's Defense.
3,0x8c348438,0x1bc99,5,Hans,0x1ba8e,5,Hans,0x1bdc2,5,Hans,0x1b53c,5,Hans,1,Engineer,0,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x19170,92,"Wenn Hans in deiner aktiven Mannschaft ist,\\nist die magische Abwehr deines Schiffs besser.",0x18d3a,78,"Si tienes a Hans en tu tripulación,\\naumentará la Defensa Mágica de tu navío.",0x19056,92,Enrôler Hans comme membre de votre équipage\\nrenforcera la défense magique de votre navire.,0x18a4e,74,Having Hans in your active crew will increase\\nyour ship's Magic Defense.
4,0x8c348440,0x1bc9e,6,Belle,0x1ba93,6,Belle,0x1bdc7,6,Belle,0x1b541,6,Belle,2,Gunner,0,64,Secondary cannon attack,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x191cc,90,Mit Belle in deiner aktiven Mannschaft ist\\nder Schaden durch deine Zusatzkanonen größer.,0x18d88,96,"Si tienes a Belle en tu tripulación, aumentará\\nel deterioro hecho por tus Cañones Secundarios.",0x190b2,90,Avoir Belle comme membre de votre équipage\\naugmentera les dégâts des canons secondaires.,0x18a98,91,Having Belle in your active crew will increase\\nthe damage done by your Secondary Cannons.
5,0x8c348448,0x1bca4,7,Khazim,0x1ba99,7,Khazim,0x1bdcd,7,Khazim,0x1b547,7,Khazim,2,Gunner,0,48,Main cannon attack,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x19226,82,Khazim in deiner aktiven Mannschaft erhöht\\nden Schaden durch deine Hauptkanonen.,0x18de8,89,"Con Khazim en tu tripulación, aumentará el\\ndeterioro hecho por tus Cañones Principales.",0x1910c,81,Engager Khazim dans votre équipage\\naugmentera les dégâts des canons principaux.,0x18af3,87,Having Khazim in your active crew will increase\\nthe damage done by your Main Cannons.
6,0x8c348450,0x1bcab,9,Tikatika,0x1baa0,9,Tikatika,0x1bdd4,9,Tikatika,0x1b54e,9,Tikatika,3,Lookout,0,81,Torpedo hit%,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x19278,84,Mit Tikatika in deiner aktiven Mannschaft\\nsteigt die Trefferquote deiner Torpedos.,0x18e41,80,"Con Tikatika en tu tripulación, aumentará\\nla tasa de Aciertos de tus torpedos.",0x1915d,96,Avoir Tikatika dans votre équipage permet à vos\\ntorpilles de toucher plus souvent votre cible.,0x18b4a,69,Having Tikatika in your active crew increases\\nyour torpedoes' Hit%.
7,0x8c34845c,0x1bcb4,8,Domingo,0x1baa9,8,Domingo,0x1bddd,8,Domingo,0x1b557,8,Domingo,3,Lookout,0,-1,None,0,0,112,Improve Critical% (Ship),6,0,0,0,0,0,0,0,0,0,0,0x192cc,82,Domingo in deiner aktiven Mannschaft\\nerhöht deine Chancen auf kritische Treffer.,0x18e91,80,"Si tienes a Domingo en tu tripulación,\\naumentará tu tasa de Aciertos Críticos.",0x191bd,87,Avoir Domingo dans votre équipage augmente\\nvos chances de donner des Coups critiques.,0x18b8f,88,Having Domingo in your active crew increases\\nyour chances of delivering critical hits.
8,0x8c348464,0x1bcbc,6,Osman,0x1bab1,6,Osman,0x1bde5,6,Osman,0x1b55f,6,Osman,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1931e,78,Mit Osman in deiner aktiven Mannschaft\\nfindest du eher kostbare Gegenstände.,0x18ee1,95,"Si tienes a Osman en tu tripulación, aumentará\\ntu probabilidad de encontrar objetos valiosos.",0x19214,91,Enroler Osman dans votre équipage augmentera\\nvos chances de trouver des objets de valeur.,0x18be7,88,Having Osman in your active crew will increase\\nyour chance of finding expensive items.
9,0x8c34846c,0x1bcc2,7,Kalifa,0x1bab7,7,Kalifa,0x1bdeb,7,Kalifa,0x1b565,7,Kalifa,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1936c,74,Mit Kalifa in deiner aktiven Mannschaft\\nfindest du eher spezielle Items.,0x18f40,98,"Si tienes a Kalifa en tu tripulacion, aumentara\\ntu probabilidad de encontrar objetos especiales.",0x1926f,69,Engager Kalifa augmente vos chances\\nde trouver des objets spéciaux.,0x18c3f,87,Having Kalifa in your active crew will increase\\nyour chance of finding special items.
10,0x8c348474,0x1bcc9,7,Izmael,0x1babe,7,Izmael,0x1bdf2,7,Izmael,0x1b56c,7,Izmael,5,Builder,0,96,Special attack,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x193b6,91,Mit Izmael in deiner aktiven Mannschaft steigert\\ndie Feuerkraft deiner Moon Stone-Kanone.,0x18fa2,99,"Si tienes a Izmael en tu tripulación, aumentará\\nel poder destructivo de tu Cañón de Piedra Lunar.",0x192b4,93,Avoir Izmael dans votre équipage augmentera\\nle pouvoir destructeur du Canon Pierre de Lune.,0x18c96,98,Having Izmael in your active crew will increase\\nthe destructive power of your Moon Stone Cannon.
11,0x8c34847c,0x1bcd0,7,Kirala,0x1bac5,7,Kirala,0x1bdf9,7,Kirala,0x1b573,7,Kirala,5,Builder,0,-1,None,0,0,101,Recover HP to 100% (Ship),7,0,0,0,0,0,1,0,0,0,0,0x19411,80,Mit dem Crew Command kann sie die HP deines\\nSchiffs komplett wieder auffüllen.,0x19005,77,Kirala restaurará toda la Salud de tu navío\\nal usar el Comando Tripulación.,0x19311,78,"À l'aide de la Commande Équipage, elle\\nredonnera à votre navire tous ses PV.",0x18cf8,68,"Using the Crew Command, she will replenish your\\nship's HP to full."
12,0x8c348484,0x1bcd7,6,Polly,0x1bacc,6,Polly,0x1be00,6,Polly,0x1b57a,6,Polly,6,Cook,0,-1,None,0,0,117,Recover MP (Ship),6,-1,0,0,0,10,130,0,0,0,0,0x19461,73,Mit dem Crew Command kann sie die MP einer\\nSpielfigur wieder auffüllen.,0x19052,86,Polly restaurará los puntos de Magia de un\\npersonaje al usar el Comando Tripulación.,0x1935f,74,"À l'aide de la Commande Équipage, elle redonnera\\nà un personnage ses PM.",0x18d3c,64,"Using the Crew Command, she will replenish one\\ncharacter's MP."
13,0x8c34848c,0x1bcdd,6,Urala,0x1bad2,6,Urala,0x1be06,6,Urala,0x1b580,6,Urala,6,Cook,0,-1,None,0,0,103,Recover Spirit to 100% (Ship),15,-1,0,0,0,0,9,0,0,0,0,0x194aa,63,Mit dem Crew Command kann sie deine\\nSpirit Points maximieren.,0x190a8,73,Urala maximizará tus puntos de Espíritu\\nal usar el Comando Tripulación.,0x193a9,85,"En utilisant la commande Équipage, elle vous\\nredonnera un maximum de point d'esprit",0x18d7c,62,"Using the Crew Command, she will max out\\nyour Spirit Points."
14,0x8c348494,0x1bce3,8,Ryu-kan,0x1bad8,8,Ryu-kan,0x1be0c,8,Ryu-kan,0x1b586,8,Ryu-kan,7,Artisan,0,-1,None,0,0,105,Add Strengthen (Ship),15,4,0,0,0,0,0,0,0,0,0,0x194e9,87,Mit dem Crew Command kann er vorübergehend\\nAttack und Defense deines Schiffs erhöhen.,0x190f1,89,Ryu-kan mejorará el poder de Ataque y Defensa\\ndel navío al usar el Comando Tripulación.,0x193fe,96,"En utilisant la commande Équipage, il augmentera\\nbrièvement l'attaque et la défense du navire.",0x18dba,89,"Using the Crew Command, he will raise your \\nship's Attack and Defense for a short time."
15,0x8c34849c,0x1bceb,9,Ilchymis,0x1bae0,9,Ilchymis,0x1be14,9,Ilchymis,0x1b58e,9,Ilchymis,7,Artisan,0,-1,None,0,0,108,Improve parameters (Ship),8,8,0,0,0,50,0,0,0,0,0,0x19540,82,Mit dem Crew Command kann er vorübergehend die\\nAttribute deines Schiffs erhöhen.,0x1914a,92,Ilchymis aumentará los atributos de tu navío\\ntemporalmente al usar el Comando Tripulación.,0x1945e,91,"À l'aide de la Commande Équipage, il augmentera\\nbrièvement les attributs de votre navire.",0x18e13,90,"Using the Crew Command, he will raise your\\nship's attributes for a short period of time."
