Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[JP EC1 Name],[EU EC1 Name],EC2 ID,[JP EC2 Name],[EU EC2 Name],EC3 ID,[JP EC3 Name],[EU EC3 Name],EC4 ID,[JP EC4 Name],[EU EC4 Name],EC5 ID,[JP EC5 Name],[EU EC5 Name],EC6 ID,[JP EC6 Name],[EU EC6 Name],EC7 ID,[JP EC7 Name],[EU EC7 Name],EC8 ID,[JP EC8 Name],[EU EC8 Name]
0,A099A_01EP.BIN,22,1,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,A099A_01EP.BIN,22,1,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
2,A099A_01EP.BIN,22,1,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None
3,A099A_01EP.BIN,52,1,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
4,A099A_01EP.BIN,52,1,29,エルモ,Looper,29,エルモ,Looper,29,エルモ,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,A099A_01EP.BIN,27,1,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,A099A_01EP.BIN,12,1,3,マロッカ,Marocca,3,マロッカ,Marocca,3,マロッカ,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
7,A099A_01EP.BIN,27,1,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
8,A099A_01EP.BIN,12,1,4,アーアペプ,Grouder,4,アーアペプ,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
9,A099A_01EP.BIN,27,1,29,エルモ,Looper,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,A099A_01EP.BIN,27,1,29,エルモ,Looper,15,ヌール,Ghastling,15,ヌール,Ghastling,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
11,A099A_01EP.BIN,22,1,3,マロッカ,Marocca,15,ヌール,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
