Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Padding #0,Effect value #1,Effect value #2,Element ID,[Element name],Type ID,[Type name],Unknown #0,Unknown #1,State ID,[State name],State hit%,Padding #1,Padding #2
0,2352318904,5060,11,Vulkanstoß,5047,17,Ráfaga Volcánica,5050,13,Volcan Blast,5044,15,Volcanic Blast,0,Super Move,0,Damage,2,All characters,0,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
1,2352318920,5071,12,Aschensturm,5064,17,Ráfaga de ceniza,5063,16,Orage de Cendre,5059,13,Cinder Storm,0,Super Move,8,Add Stone + Damage,1,One character,0,16,5,1,Red,0,Physical,16,17,2,Stone,50,0,0
2,2352318936,5083,13,Federschnitt,5081,12,Rasgaplumas,5079,17,Plume Tranchante,5072,14,Feather Slash,0,Super Move,0,Damage,102,Character line #3,0,16,30,0,Green,0,Physical,0,0,0,Poison,0,0,0
3,2352318952,5096,9,KETSUBAN,5093,9,KETSUBAN,5096,9,KETSUBAN,5086,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,2352318960,5105,6,Laser,5102,6,Láser,5105,6,Laser,5095,6,Laser,0,Super Move,0,Damage,1,One character,0,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
5,2352318968,5111,13,Donnerwetter,5108,16,Trueno de Furia,5111,15,Tonnerre Furie,5101,16,Thunder of Fury,0,Super Move,0,Damage,101,Character line #2,0,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
6,2352318952,5124,9,KETSUBAN,5124,9,KETSUBAN,5126,9,KETSUBAN,5117,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,2352318984,5133,11,Panikkreis,5133,17,Círculo de Miedo,5135,15,Cercle de Peur,5126,16,Circle of Panic,0,Super Move,11,Add Confusion,1,One character,0,0,0,0,Green,0,Physical,16,17,4,Confusion,0,0,0
8,2352319000,5144,11,Schlafring,5150,17,Anillo del Sueño,5150,17,Bague de Sommeil,5142,14,Ring of Sleep,0,Super Move,9,Add Sleep,1,One character,0,0,0,0,Green,0,Physical,16,17,3,Sleep,0,0,0
9,2352319016,5155,10,Zielsuche,5167,16,Buscar Objetivo,5167,16,Recherche Cible,5156,14,Target Search,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,2352318952,5165,9,KETSUBAN,5183,9,KETSUBAN,5183,9,KETSUBAN,5170,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,2352319032,5174,8,Attacke,5192,7,Ataque,5192,14,Ruée Mortelle,5179,7,Tackle,0,Super Move,0,Damage,102,Character line #3,0,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
12,2352319040,5182,12,Todesschlag,5199,13,Golpe Mortal,5206,12,Coup Mortel,5186,13,Death Strike,0,Super Move,68,Add Unconscious + Damage #2,1,One character,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,70,0,0
13,2352319056,5194,6,Laden,5212,7,Ataque,5218,7,Charge,5199,7,Charge,0,Super Move,-1,None,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,2352319064,5200,8,Giftgas,5219,13,Gas Venenoso,5225,15,Gaz Empoisonné,5206,11,Poison Gas,0,Super Move,4,Add Poison + Damage,96,Character area #1,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
15,2352319076,5208,10,Steinatem,5232,16,Brisa de Piedra,5240,15,Souffle Pierre,5217,13,Stone Breath,0,Super Move,8,Add Stone + Damage,1,One character,0,16,15,0,Green,0,Physical,16,17,2,Stone,60,0,0
