Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Occ. Flags,[M],[B],[S],Ship Effect ID,[Ship Effect Name],Ship Effect Turns,Consume%,Purchase Price,Pad. 1,Pad. 2,Retail Price in %,Order by Prio.,EU Order by ABC,Pad. 3,Ship Effect Amount,Element ID,[Element Name],Unk. 1,Unk. 2,Hit%,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
480,0x8c348290,0x1bb24,5,Bomb,0x1b8d2,6,Bomba,0x1bc1e,6,Bombe,0x1b3c7,5,Bomb,0x1,"","",X,107,Damage (Ship),-1,100,100,0,0,50,0,3,0,80,6,Neutral,0,0,0,0x17b9e,71,"Allgemein gebräuchliche Bombe, dazu bestimmt,\\nden Feind zu schädigen.",0x177fe,46,Bomba común para producir daño al enemigo.\\n ,0x17a79,49,Bombe classique conçue pour endommager l'ennemi.,0x1758a,45,"A common bomb, designed to damage the enemy."
481,0x8c348298,0x1bb29,9,Big Bomb,0x1b8d8,13,Bomba Grande,0x1bc24,13,Grosse Bombe,0x1b3cc,9,Big Bomb,0x1,"","",X,107,Damage (Ship),-1,100,150,0,0,50,1,2,0,120,6,Neutral,0,0,0,0x17be5,89,Größere Bombe mit mehr Sprengkraft durch\\neine größere Pulverladung. Schädigt den Feind.,0x1782c,94,Contiene más cantidad de pólvora para crear una\\nmayor explosión. Provoca daño en el enemigo.,0x17aaa,89,Grosse bombe contenant plus de poudre pour une\\nexplosion puissante. Endommage l'ennemi.,0x175b7,82,"A larger bomb, packed with more gunpowder for a\\nbigger blast. Damages the enemy."
482,0x8c3482a4,0x1bb32,16,Concussion Bomb,0x1b8e5,17,Bomba de Impacto,0x1bc31,16,Bombe explosive,0x1b3d5,16,Concussion Bomb,0x1,"","",X,107,Damage (Ship),-1,100,200,0,0,50,2,6,0,150,6,Neutral,0,0,0,0x17c3e,84,Bombe mit doppelt so viel Sprengkraft wie\\neine Standard-Bombe. Schädigt den Feind.,0x1788a,88,Con el doble de potencia de fogueo que una\\nbomba estándar. Provoca daño en el enemigo.,0x17b03,87,Bombe qui a 2 fois plus de puissance de feu\\nqu'une bombe normale. Endommage l'ennemi.,0x17609,79,A bomb that packs double the firepower of a\\nstandard bomb. Damages the enemy.
483,0x8c3482b4,0x1bb42,14,Shredder Bomb,0x1b8f6,16,Bomba Explosiva,0x1bc41,15,Bombe mortelle,0x1b3e5,14,Shredder Bomb,0x1,"","",X,107,Damage (Ship),-1,100,480,0,0,50,3,24,0,250,6,Neutral,0,0,0,0x17c92,92,"Bombe, die für maximale Explosionskraft und\\nGröße entwickelt wurde. Schädigt Feind massiv.",0x178e2,90,Bomba diseñada para lograr una gran potencia\\nde explosión. Produce gran daño al enemigo.,0x17b5a,93,Bombe purement conçue pour son pouvoir explosif\\net sa taille. Endommage gravement l'ennemi.,0x17658,86,A bomb designed for pure explosive power and\\nsize. Does massive damage to the enemy.
484,0x8c3482c4,0x1bb50,10,Pyro Bomb,0x1b906,15,Bomba de Fuego,0x1bc50,11,Bombe Pyro,0x1b3f3,10,Pyro Bomb,0x1,"","",X,107,Damage (Ship),-1,100,450,0,0,50,4,21,0,240,1,Red,1,0,0,0x17cee,98,"Bombe, bei der Red Moon-Staub unter das Schieß-\\npulver gemischt wurde. Entwickelt extreme Hitze.",0x1793c,87,"Bomba especial, mezcla de Polvo de Luna\\nRoja y pólvora. La explosión es muy abrasiva.",0x17bb7,91,Bombe spéciale avec de la Poussière de Lune\\nRouge mélangée à la poudre. Explosion de feu.,0x176ae,89,A special bomb with Red Moon Dust mixed\\ninto the gunpowder. Has an extremely hot blast.
485,0x8c3482d0,0x1bb5a,11,Frost Bomb,0x1b915,15,Bomba de Hielo,0x1bc5b,10,Bombe Gel,0x1b3fd,11,Frost Bomb,0x1,"","",X,107,Damage (Ship),-1,100,600,0,0,50,5,10,0,240,2,Purple,1,0,0,0x17d50,89,Spezielle Bombe mit Purple Moon-Staub im Schieß-\\npulver. Ergibt extrem kalte Explosion.,0x17993,86,"Bomba especial, mezcla de Polvo de Luna\\nPúrpura y pólvora. La explosión es heladora.",0x17c12,93,Bombe spéciale avec de la Poussière de Lune\\nMauve mélangée à la poudre. Explosion de glace.,0x17707,93,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has an extremely cold blast.
486,0x8c3482dc,0x1bb65,14,Silencer Bomb,0x1b924,15,Bomba Silencio,0x1bc65,14,Bombe Furtive,0x1b408,14,Silencer Bomb,0x1,"","",X,116,Add Silence (Ship),-1,100,600,0,0,50,6,25,0,0,0,Green,0,165,80,0x17da9,90,Spezielle Bombe mit Purple Moon-Staub im\\nSchießpulver. Hat einen Sylenis-artigen Effekt.,0x179e9,97,"Bomba especial, mezcla de Polvo de Luna Púrpura\\ny pólvora. Su efecto es parecido al de Sylenis.",0x17c6f,88,Bombe spéciale avec de la Poussière de Lune\\nMauve mélangée à la poudre. Effet Sylenis.,0x17764,91,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has a Sylenis-like effect.
487,0x8c3482ec,0x1bb73,13,Thunder Bomb,0x1b933,13,Bomba Trueno,0x1bc73,15,Bombe Tonnerre,0x1b416,13,Thunder Bomb,0x1,"","",X,107,Damage (Ship),-1,100,450,0,0,50,7,28,0,240,4,Yellow,1,0,0,0x17e03,83,Spezielle Bombe mit Yellow Moon-Staub im\\nSchießpulver. Hat Eletri-artigen Effekt.,0x17a4a,98,"Bomba especial, mezcla de Polvo de Luna Amarilla\\ny pólvora. Su efecto es parecido al de Electri.",0x17cc7,88,Bombe spéciale avec de la Poussière de Lune\\nJaune mélangée à la poudre. Effet Electri.,0x177bf,92,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has an Electri-like effect.
488,0x8c3482fc,0x1bb80,13,Electro Bomb,0x1b940,14,Bomba Electro,0x1bc82,14,Bombe Electro,0x1b423,13,Electro Bomb,0x1,"","",X,106,Add Weak (Ship),-1,100,600,0,0,50,8,9,0,0,0,Green,0,1,80,0x17e56,84,Spezielle Bombe mit Yellow Moon-Staub im Schieß-\\npulver. Hat Driln-artigen Effekt.,0x17aac,97,"Bomba especial, mezcla de Polvo de Luna Amarilla \\ny pólvora. Su efecto es parecido al de Driln.",0x17d1f,86,Bombe spéciale avec de la Poussière de Lune\\nJaune mélangée à la poudre. Effet Driln.,0x1781b,89,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has a Driln-like effect.
489,0x8c34830c,0x1bb8d,10,Wave Bomb,0x1b94e,11,Bomba Ola ,0x1bc90,12,Bombe Vague,0x1b430,10,Wave Bomb,0x1,"","",X,107,Damage (Ship),-1,100,600,0,0,50,9,29,0,240,3,Blue,1,0,0,0x17eaa,85,Spezielle Bombe mit Blue Moonstone-Staub im\\nSchießpulver. Hat Wevli-artigen Effekt.,0x17b0d,92,"Bomba especial, mezcla de Polvo de Luna Azul\\ny pólvora. Su efecto es parecido al de Wevli.",0x17d75,86,Bombe spéciale avec de la Poussière de Lune\\nBleue mélangée à la poudre. Effet Wevli.,0x17874,92,A special bomb with Blue Moonstone dust mixed\\ninto the gunpowder. Has a Wevli-like effect.
