Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Retail price in %,Order by prio.,EU order by ABC,Pad. #0,Purchase price,Pad. #1,Pad. #2,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
320,2352248708,110240,14,Green Crystal,109592,14,Cristal Verde,110501,13,Cristal Vert,108370,14,Green Crystal,0,7,12,0,0,0,0,86994,84,"Altertümliches Juwel, das die Kraft des Lebens\nenthält. Kann Green Gigas aufrufen.",86010,93,Gema ancestral que contiene el poder de la vida.\nTiene el poder de convocar al Gigas Verde.,86474,90,Pierre ancienne qui détient le pouvoir de la\nvie. A le pouvoir d'invoquer le Gigas Vert.,85379,93,An ancient gem that contains the power of life.\nIt has the power to summon the Green Gigas.
321,2352248724,110254,12,Red Crystal,109606,13,Cristal Rojo,110514,14,Cristal Rouge,108384,12,Red Crystal,0,6,24,0,0,0,0,87078,82,"Altertümliches Juwel, das die Kraft des Feuers\nenthält. Kann Red Gigas aufrufen.",86103,91,Gema ancestral que contiene el poder del fuego.\nTiene el poder de convocar al Gigas Rojo.,86564,93,Pierre ancienne qui détient le pouvoir du feu.\nElle a le pouvoir d'invoquer le Gigas Rouge.,85472,91,An ancient gem that contains the power of fire.\nIt has the power to summon the Red Gigas.
322,2352248736,110266,15,Purple Crystal,109619,16,Cristal Púrpura,110528,14,Cristal Mauve,108396,15,Purple Crystal,0,9,21,0,0,0,0,87160,84,"Altertümliches Juwel, das die Kraft des Eises\nenthält. Kann Purple Gigas aufrufen.",86194,94,Gema ancestral que contiene el poder del hielo.\nTiene el poder de convocar al Gigas Purpura.,86657,90,Pierre ancienne qui détient le pouvoir de glace.\nA le pouvoir d'invoquer le Gigas Mauve.,85563,93,An ancient gem that contains the power of ice.\nIt has the power to summon the Purple Gigas.
323,2352248752,110281,13,Blue Crystal,109635,13,Cristal Azul,110542,13,Cristal Bleu,108411,13,Blue Crystal,0,8,0,0,0,0,0,87244,83,Altertümliches Juwel mit der Kraft von Wind und\nWasser. Kann Blue Gigas aufrufen.,86288,90,Gema ancestral que contiene el poder del viento\ny el agua. Puede convocar al Gigas Azul.,86747,90,Pierre ancienne au pouvoir de vent et d'eau.\nElle a le pouvoir d'invoquer le Gigas Bleu.,85656,93,An ancient gem with the power of wind and water.\nIt has the power to summon the Blue Gigas.
324,2352248768,110294,15,Yellow Crystal,109648,17,Cristal Amarillo,110555,14,Cristal Jaune,108424,15,Yellow Crystal,0,10,33,0,0,0,0,87327,77,Altertümliches Juwel mit der Kraft des Blitzes.\nKann Yellow Gigas aufrufen.,86378,94,Gema ancestral que contiene el poder del rayo.\nTiene el poder de convocar al Gigas Amarillo.,86837,92,Pierre ancienne qui a le pouvoir de l'éclair.\nElle a le pouvoir d'invoquer le Gigas Jaune.,85749,90,An ancient gem with the power of lightning.\nIt has the power to summon the Yellow Gigas.
325,2352248784,110309,10,GINGESSHO,109665,10,GINGESSHO,110569,10,GINGESSHO,108439,10,GINGESSHO,0,38,-1,0,0,0,0,87404,8,CUT.\n,86472,8,CUT.\n,86929,8,CUT.\n,85839,13,CUT.\n------
326,2352248792,110319,17,Green Moon Stone,109675,13,Piedra Verde,110579,13,Pierre Verte,108449,17,Green Moon Stone,0,0,13,0,0,0,0,87412,78,Ein Mondstein vom Green Moon. Er kann Waffen\ndie Kräfte der Natur verleihen.,86480,92,Piedra Lunar procedente de la Luna Verde.\nOtorga a las armas los poderes de la naturaleza.,86937,95,Une Pierre de Lune de la Lune Verte. Elle peut\ninsuffler les pouvoirs de la nature aux armes.,85852,84,A Moon Stone from the Green Moon. It can infuse\nweapons with the powers of nature.
327,2352248812,110336,15,Red Moon Stone,109688,12,Piedra Roja,110592,13,Pierre Rouge,108466,15,Red Moon Stone,0,1,25,0,0,0,0,87490,76,Ein Mondstein vom Red Moon. Er kann Waffen\ndie Kraft des Feuers verleihen.,86572,84,Piedra Lunar procedente de la Luna Roja.\nOtorga a las armas los poderes del fuego.,87032,89,Une Pierre de Lune de la Lune Rouge. Elle peut\ninsuffler les pouvoirs du feu aux armes.,85936,80,A Moon Stone from the Red Moon. It can infuse\nweapons with the powers of fire.
328,2352248828,110351,17,Purple MoonStone,109700,15,Piedra Púrpura,110605,13,Pierre Mauve,108481,17,Purple MoonStone,0,2,22,0,0,0,0,87566,78,Ein Mondstein vom Purple Moon. Er kann Waffen\ndie Kraft des Eises verleihen.,86656,87,Piedra Lunar procedente de la Luna Púrpura.\nOtorga a las armas los poderes del hielo.,87121,94,Une Pierre de Lune de la Lune Mauve. Elle peut\ninsuffler les pouvoirs de la glace aux armes.,86016,82,A Moon Stone from the Purple Moon. It can infuse\nweapons with the powers of ice.
329,2352248848,110368,16,Blue Moon Stone,109715,12,Piedra Azul,110618,13,Pierre Bleue,108498,16,Blue Moon Stone,0,3,1,0,0,0,0,87644,87,Ein Mondstein vom Blue Moon. Er kann Waffen die\nKräfte von Wind und Wasser verleihen.,86743,96,Piedra Lunar procedente de la Luna Azul. Otorga\na las armas los poderes del viento y del agua.,87215,91,Une Pierre de Lune de la Lune Bleue. Peut donner\nles pouvoirs de vent et d'eau aux armes.,86098,91,A Moon Stone from the Blue Moon. It can infuse\nweapons with the powers of wind and water.
330,2352248864,110384,17,Yellow MoonStone,109727,16,Piedra Amarilla,110631,13,Pierre Jaune,108514,17,Yellow MoonStone,0,4,34,0,0,0,0,87731,80,Ein Mondstein vom Yellow Moon. Er kann Waffen\ndie Kraft des Blitzes verleihen.,86839,84,Piedra Lunar procedente de la Luna Amarilla.\nOtorga a las armas el poder del rayo.,87306,89,Une Pierre de Lune de la Lune Jaune. Peut\ninsuffler les pouvoirs de l'éclair aux armes.,86189,88,A Moon Stone from the Yellow Moon. It can infuse\nweapons with the powers of lightning.
331,2352248884,110401,17,Silver MoonStone,109743,16,Piedra de Plata,110644,16,Pierre d'Argent,108531,17,Silver MoonStone,0,5,27,0,0,0,0,87811,87,Ein Mondstein vom Silver Moon. Er kann Waffen\ndie Kräfte von Leben und Tod verleihen.,86923,87,Piedra Lunar de la Luna de Plata. Otorga a las\narmas el poder de la vida y la muerte.,87395,93,Une Pierre de Lune de la Lune Argent. Peut\ndonner les pouvoirs de vie et de mort aux armes.,86277,93,A Moon Stone from the Silver Moon. It can infuse\nweapons with the powers of life and death.
332,2352248904,110418,17,Unterwasseranzug,109759,15,Traje Acuático,110660,11,Scaphandre,108548,16,Underwater Suit,0,26,28,0,0,0,0,87898,93,Durch einen Blue Moon Stone kann der Träger\ndieses wasserdichten Anzugs unter Wasser atmen.,87010,88,"Este traje acuático, usando una Piedra Azul,\npermite al usuario respirar bajo el agua.",87488,98,Cette combinaison imperméable permet de respirer\nsous l'eau à l'aide d'une Pierre de Lune Bleue.,86370,89,"Using a Blue Moon Stone, this water-proof suit\nallows the wearer to breathe underwater."
333,2352248920,110435,13,Flaschenpost,109774,8,Mensaje,110671,12,Message SOS,108564,17,Note in a Bottle,0,12,19,0,0,0,0,87991,95,"Eine Flaschenpost mit der Nachricht: “Quetya\nbitte sende Krieger, um uns kämpfen zu helfen.”",87098,88,Mensaje en una botella que dice: “Quetya\nEnvía guerreros para ayudarnos en la lucha.”,87586,85,Un mot trouvé dans une bouteille disant “Quetya\nEnvoyez des guerriers en renfort.”,86459,86,"A note found in a bottle that says, “Quetya\nPlease send warriors to help us fight.”"
334,2352248940,110448,17,Kanonenschlüssel,109782,16,Llave del Cañón,110683,16,Clé Pièce Canon,108581,16,Cannon Room Key,0,24,3,0,0,0,0,88086,96,Ein großer Stahlschlüssel zum Kanonenraum der\nGroßen Festung. Er hat einen Drachen eingeprägt.,87186,93,Llave de acero para abrir la Sala de Cañones\nde la Gran Fortaleza. Lleva un dragón grabado.,87671,99,Grande clé en acier ouvrant la Pièce du Canon de\nla Grande Forteresse. Porte l'estampe du dragon.,86545,92,"A large, steel key to the Cannon Room of the\nGrand Fortress. It is embossed with a dragon."
335,2352248956,110465,12,Schiffsplan,109798,16,Planos de barco,110699,17,Schéma du navire,108597,16,Ship Schematics,0,28,26,0,0,0,0,88182,94,"Entwurf für ein Schiff, das in die Great Cloud\nSea tauchen und in den Deep Sky abheben kann.",87279,96,Proyecto de un barco que puede sumergirse bajo\nel mar de Grandes Nubes e ir al Cielo Profundo.,87770,97,Plans permettant au navire de s'immerger sous le\nGrand Océan et de monter dans le Ciel Profond.,86637,85,Design for a ship that can submerge under the\nGreat Cloud Sea and go into Deep Sky.
336,2352248972,110477,15,Gonzales Karte,109814,17,Mapa de González,110716,15,Carte Gonzales,108613,14,Gonzales' Map,0,21,9,0,0,0,0,88276,99,"Karte, die auf den Überresten von Gonzales gefun\n-den wurde. Sie wurde in zwei Hälften zerrissen.",87375,94,Mapa encontrado junto a los restos de González.\nParece que el mapa fue rasgado por la mitad.,87867,89,Carte trouvée sur les restes du corps de\nGonzales. Elle semble avoir été déchirée en 2.,86722,88,Map found on the remains of Gonzales. It appears\nthat the map has been ripped in half.
337,2352248988,110492,13,Pedros Karte,109831,14,Mapa de Pedro,110731,15,Carte de Pedro,108627,12,Pedro's Map,0,22,20,0,0,0,0,88375,96,"Karte, die von Pedro kam, als er in Nasrad war.\nSie scheint in zwei Hälften zerrissen zu sein.",87469,82,Mapa entregado por Pedro en Nasrad.\nParece que el mapa fue rasgado por la mitad.,87956,90,Carte envoyée par Pedro quand il était à Nasrad.\nElle semble avoir été déchirée en deux.,86810,91,Map received from Pedro while in Nasrad. It\nappears that the map has been ripped in half.
338,2352249000,110505,14,ALFONSO'S KEY,109845,14,ALFONSO'S KEY,110746,14,ALFONSO'S KEY,108639,14,ALFONSO'S KEY,0,39,35,0,0,0,0,88471,8,CUT.\n,87551,8,CUT.\n,88046,8,CUT.\n,86901,13,CUT.\n------
339,2352249020,110519,15,Golden Man Eye,109859,15,Ojo del Hombre,110760,16,Oeil Homme Doré,108653,17,Golden Man's Eye,0,16,8,0,0,0,0,88479,95,"Ein herrliches orangefarbenes Juwel, das in das\nAuge der Golden-Man-Statue eingelassen wurde.",87559,93,Bella gema de color naranja que estaba engarzada\nen el ojo de la estatua del Hombre Dorado.,88054,91,Belle pierre précieuse orange trouvée incrustée\ndans l'oeil de la statue de l'Homme Doré.,86914,74,"A beautiful, orange gem found set into the eye\nof the Golden Man statue."
340,2352249040,110534,15,Great Bird Eye,109874,15,Ojo del Pájaro,110776,17,Oeil GrandOiseau,108670,17,Great Bird's Eye,0,17,11,0,0,0,0,88574,80,"Ein herrliches blaues Juwel, das in das Auge\ndes Great Bird eingelassen wurde.",87652,83,Preciosa gema de color azul que se encontró\nincrustada en el ojo del Gran Pájaro.,88145,77,Belle pierre précieuse bleue trouvée incrustée\ndans l'oeil du Grand Oiseau.,86988,66,"A beautiful, blue gem found set into the eyes\nof the Great Bird."
341,2352249060,110549,16,Roher Mondstein,109889,11,Roca Lunar,110793,17,Pierre Lune Brut,108687,15,Raw Moon Stone,0,11,23,0,0,0,0,88654,89,"Ein Fels mit Mondsteinerz, der auf Shrine Island\ngefunden wurde. Im Rohzustand nutzlos.",87735,91,Roca con Piedra Lunar encontrada en la Isla de\nShrine. Debe ser refinada antes de usarse.,88222,93,Rocher contenant du minerai de Pierre de Lune\ntrouvé sur l'île du Temple. Doit être traité.,87054,83,A rock containing Moon Stone ore found on Shrine\nIsland. Unusable unless refined.
342,2352249076,110565,14,Daccats Münze,109900,17,Moneda de Daccat,110810,16,Pièce de Daccat,108702,14,Daccat's Coin,100,23,5,0,20000,0,0,88743,98,"Goldmünze, die vom großen Luftpiraten Daccat ge-\nprägt wurde, trägt sein Symbol auf einer Seite.",87826,86,Moneda de oro acuñada por el gran Pirata Aéreo\nDaccat. Lleva su símbolo en una cara.,88315,91,"Pièce d'or monnayée par le grand pirate Daccat,\nelle porte son symbole sur une des faces.",87137,85,"A gold coin minted by the great Air Pirate\nDaccat, it bears his symbol on one side."
343,2352249092,110579,10,SISIKABAB,109917,10,SISIKABAB,110826,10,SISIKABAB,108716,10,SISIKABAB,0,35,-1,0,0,0,0,88841,12,CONVERT.\n,87912,12,CONVERT.\n,88406,12,CONVERT.\n,87222,17,CONVERT.\n------
344,2352249104,110589,6,Kabal,109927,6,Kabal,110836,6,Kabal,108726,6,Kabal,0,32,15,0,0,0,0,88853,74,"Fleisch eines Wüsten-Lasttiers, allseits als\nsehr schmackhaft angesehen.",87924,74,Carne de un animal de carga desértico.\nMuchos la consideren sabrosísima.,88418,89,"La viande d'une bête de somme du désert,\ncertains trouvent qu'elle est très savoureuse.",87239,82,"The meat of a desert beast of burden, it is\nconsidered by many to be very tasty."
