Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Consume%,Retail price in %,Order by prio.,EU order by ABC,Padding #0,Purchase price,Padding #1,Padding #2,Effect value,Unknown #0,Unknown #1,Unknown #2,Hit%,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
240,2352247636,109281,14,Sacri Crystal,108540,14,Cristal Sacri,109430,14,Cristal Sacri,107411,14,Sacri Crystal,6,X,X,"",31,Recover HP,1,One character,100,50,0,55,0,20,0,0,500,-1,-1,0,0,80599,94,Verzauberter Kristall von den Magiern des Green\nMoon. Erneuert 500 HP für einen Verbündeten.,79542,98,Cristal encantado hecho por los Magos de la Luna\nVerde. Repone 500 puntos de Salud de un aliado.,80037,85,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne 500 PV à un allié.,79045,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores 500 HP for one ally.
241,2352247652,109295,15,Sacres Crystal,108554,15,Cristal Sacres,109444,15,Cristal Sacres,107425,15,Sacres Crystal,6,X,X,"",31,Recover HP,1,One character,100,50,1,53,0,60,0,0,1000,-1,-1,0,0,80693,95,Verzauberter Kristall von den Magiern des Green\nMoon. Erneuert 1000 HP für einen Verbündeten.,79640,99,Cristal encantado hecho por los Magos de la Luna\nVerde. Repone 1000 puntos de Salud de un aliado.,80122,86,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne 1000 PV à un allié.,79133,90,"An enchanted crystal created by Mages of the\nGreen Moon. Restores 1,000 HP for one ally."
242,2352247668,109310,15,Sacrum Crystal,108569,15,Cristal Sacrum,109459,15,Cristal Sacrum,107440,15,Sacrum Crystal,6,X,X,"",31,Recover HP,2,All characters,100,50,2,58,0,600,0,0,1000,-1,-1,0,0,80788,94,Verzauberter Kristall von den Magiern des Green\nMoon. Erneuert 1000 HP für alle Verbündeten.,79739,99,"Cristal encantado de los Magos de la Luna Verde,\nrepone 1000 puntos de Salud a todos los aliados.",80208,93,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne 1000 PV à tous les alliés.,79223,92,"An enchanted crystal created by Mages of the\nGreen Moon. Restores 1,000 HP for all allies."
243,2352247684,109325,17,Sacrulen Crystal,108584,17,Cristal Sacrulen,109474,17,Cristal Sacrulen,107455,17,Sacrulen Crystal,6,X,X,"",32,Recover HP to 100%,1,One character,100,50,3,57,0,200,0,0,10000,-1,-1,0,0,80882,95,Verzauberter Kristall von den Magiern des Green\nMoon. Erneuert alle HP für einen Verbündeten.,79838,95,"Un cristal encantado, creado por magos de la\nLuna Verde. Repone toda la Salud de los aliados.",80301,90,Un cristal enchanté créé par les Mages de la\nLune Verte. Redonne tous les PV à un allié.,79315,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores all HP for one ally.
244,2352247704,109342,14,Magic Droplet,108601,12,Gota Mágica,109491,15,Goutte Magique,107472,14,Magic Droplet,7,X,X,X,48,Recover MP,1,One character,100,50,4,31,0,40,0,0,1,-1,-1,0,0,80977,89,Aus den Tautropfen eines magischen Baums\ngewonnen. Erneuert 1 MP für einen Verbündeten.,79933,72,Gota de rocío de un árbol mágico.\nRepone 1 punto de Magia a un aliado.,80391,88,Créée à partir de la rosée qui se forme sur un\narbre magique. Redonne 1 PM à un allié.,79403,80,Created from the dew that forms on a magical\ntree. Restores 1 MP for one ally.
245,2352247720,109356,10,Magic Dew,108613,13,Rocío Mágico,109506,14,Rosée Magique,107486,10,Magic Dew,7,X,X,X,48,Recover MP,1,One character,100,50,5,30,0,400,0,0,10,-1,-1,0,0,81066,79,Konzentriertere Form des Magic Droplet.\nErneuert 10 MP für einen Verbündeten.,80005,80,Fórmula más concentrada de Gota Mágica.\nRepone 10 puntos de Magia a un aliado.,80479,75,Une forme plus concentrée de la Goutte\nMagique. Redonne 10 PM à un allié.,79483,77,A more concentrated form of the Magic Droplet.\nRestores 10 MP for one ally.
246,2352247732,109366,14,Aura of Valor,108626,14,Aura de Valor,109520,17,Aura de Bravoure,107496,14,Aura of Valor,3,"",X,X,35,Recover SP,2,All characters,100,50,6,1,0,2000,0,0,99,-1,-1,0,0,81145,73,"Heiliger Stein, der den Spirit der Gruppe\nauf heroisches Niveau anhebt.",80085,90,Piedra sagrada que aumenta el Espíritu del\ngrupo entero hasta alcanzar niveles heroicos.,80554,83,Une pierre sacrée qui remonte l'Esprit de tout\nle groupe à des niveaux héroïques.,79560,77,A sacred stone that boosts the Spirit of the\nentire party to heroic levels.
247,2352247748,109380,13,Soul Crystal,108640,17,Cristal del Alma,109537,14,Cristal d'Âme,107510,13,Soul Crystal,0,"","","",-1,None,0,None,0,100,49,62,0,3000,0,0,0,0,0,0,0,81218,64,"Wertvoller Schatz, den Zivilyn Bane auf\nDaccat's Island sucht.",80175,63,Valioso tesoro buscado por Zivilyn Bane en la\nIsla de Daccat.,80637,68,Un précieux trésor recherché par Zivilyn Bane\nsur l'Île de Daccat.,79637,64,A valuable treasure sought by Zivilyn Bane on\nDaccat's Island.
248,2352247764,109393,14,Unholy Dagger,108657,12,Daga Impura,109551,15,Poignard Impie,107523,14,Unholy Dagger,0,"","","",-1,None,0,None,0,100,50,69,0,4000,0,0,0,0,0,0,0,81282,62,"Wertvoller Schatz, den Zivilyn Bane im\nGrand Fortress sucht.",80238,63,Valioso tesoro buscado por Zivilyn Bane en la\nGran Fortaleza.,80705,74,Un précieux trésor recherché par Zivilyn Bane\ndans la Grande Forteresse.,79701,67,A valuable treasure sought by Zivilyn Bane in\nthe Grand Fortress.
249,2352247780,109407,14,Curia Crystal,108669,14,Cristal Curia,109566,14,Cristal Curia,107537,14,Curia Crystal,2,"",X,"",30,Remove negative states,1,One character,100,50,7,7,0,30,0,0,0,0,0,7,0,81344,97,"Verzauberter Kristall, hebt negative Effekte bei\neinem Verbündeten auf, außer Bewusstlosigkeit.",80301,82,Un cristal encantado que cura de todos\nlos efectos adversos menos inconsciencia.,80779,90,Cristal ensorcelé qui guérit un allié de tous\nles effets néfastes à part l'inconscience.,79768,92,"An ensorcelled crystal that cures all adverse\neffects on one ally, except for Unconscious."
