Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. ID,[Chara. name],Retail price in %,Order by prio.,EU order by ABC,Effect ID,[Effect name],Padding #0,Purchase price,Attack,Hit%,Feature ID,[Feature name],Padding #1,Feature value,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
0,2352244720,106115,8,Machete,105160,6,Sable,106088,6,Sabre,104275,8,Cutlass,0,Vyse,50,0,21,-1,None,0,70,20,90,-1,None,0,0,63554,93,Vyse erhielt diese Machete von seinem Vater\nDyne. Sie hat eine kurze Klinge und ist leicht.,63038,85,"Vyse recibió estos sables como regalo de su\npadre, Dyne. La hoja es corta y ligera.",63270,95,"Vyse a reçu ces épées en cadeau de son père,\nDyne. Elles sont légères avec des lames courtes.",62558,94,"Vyse received these swords as a gift from his\nfather, Dyne. It is light, with a short blade."
1,2352244728,106123,15,Piratenmachete,105166,17,Sable del Pirata,106094,16,Sabre de Pirate,104283,15,Pirate Cutlass,0,Vyse,50,1,48,-1,None,0,220,33,90,-1,None,0,0,63647,91,Bevorzugtes Schwert der Luftpiraten im Mid\nOcean. Es ist leicht und einfach zu handhaben.,63123,88,El sable preferido por los piratas aéreos del\nOcéano Medio. Ligero y fácil de manejar.,63365,79,Épée préférée des Pirates de\nl'Océan Central. Légère et très facile à manier.,62652,97,The favorite sword among Air Pirates in the Mid\nOcean area. It is light and very easy to wield.
2,2352244744,106138,15,Himmelsmachete,105183,14,Sable Celeste,106110,11,Sabre Ciel,104298,12,Sky Cutlass,0,Vyse,50,2,54,-1,None,0,450,45,90,-1,None,0,0,63738,96,"Machete, die von Pirates und Fischern benutzt\nwird. Sie eignet sich perfekt zum Fischesäubern.",63211,87,Tanto piratas como pescadores usan este sable.\nLa hoja es ideal para limpiar pescado.,63444,95,Sabre utilisé par les Pirates et les pêcheurs.\nSa lame est parfaite pour nettoyer le poisson.,62749,87,A cutlass used by Pirates and fishermen alike.\nIts edge is perfect for cleaning fish.
3,2352244756,106153,16,Admiralsmachete,105197,16,Sable Almirante,106121,15,Sabre d'Amiral,104310,16,Admiral Cutlass,0,Vyse,50,9,0,-1,None,0,4970,128,90,-1,None,0,0,63834,99,"Altes Schwert, das einmal einem valuanischen Ad-\nmiral gehörte, der in Esparanza stationiert war.",63298,87,Un viejo sable que antaño perteneció a un\nalmirante de Valua que estuvo en Esperanza.,63539,90,Vieille épée qui appartenait jadis à un Amiral\nValuan lorsqu'il était posté à Esparanza.,62836,89,An old sword that once belonged to a Valuan\nAdmiral when he was stationed in Esparanza.
4,2352244772,106169,13,Mörderklinge,105213,15,Espada Asesina,106136,16,Épée d'Assassin,104326,15,Assassin Blade,0,Vyse,50,3,2,0,Add Poison,0,830,58,90,-1,None,0,0,63933,81,"In aller Welt beliebte Mordwaffe, durch deren\nSchnitt das Opfer vergiftet wird.",63385,90,"Favorita de los asesinos de todo el mundo,\nsobre todo porque envenena todo lo que corta.",63629,81,"Épée préférée des assassins du monde entier,\npour son pouvoir d'empoisonnement.",62925,95,"A favorite among assassins of the world, mainly\nbecause it has a chance to poison its target."
5,2352244788,106182,14,Donnermachete,105228,17,Sable del Trueno,106152,15,Sabre Tonnerre,104341,16,Thunder Cutlass,0,Vyse,50,13,64,-1,None,0,8610,160,90,36,Yellow,0,-2,64014,84,"Alte Machete aus gehärteter Yeligar-Haut.\nMan sagt, sie könne Blitze zerschneiden.",63475,83,Un sable antiguo hecho con la curtida piel de\nYeligar. Dicen que corta los rayos.,63710,93,Un sabre ancien fabriqué en peau durcie de\nYeligar. On raconte qu'il peut fendre un éclair.,63020,94,An ancient cutlass made from Yeligar's hardened\nskin. Some say it can cut through lightning.
6,2352244804,106196,14,Eisenschneide,105245,12,Cortafierro,106167,15,Coupeur de Fer,104357,12,Iron-cutter,0,Vyse,50,7,40,-1,None,0,3870,112,90,-1,None,0,0,64098,94,Alte Klinge aus der Zeit vor der Alten Welt.\nAngeblich zum Schneiden von Eisenerz verwendet.,63558,85,Una espada anterior al Mundo Antiguo\nque antaño se utilizaba para cortar el hierro.,63803,97,"Ancienne épée datant d'avant l'Ancien Monde, on\ndit qu'elle servait à couper le minerai de fer.",63114,95,"An ancient blade of pre-Old World times, it is\nsaid that this blade was used to cut iron ore."
7,2352244816,106210,13,Nasr-Machete,105257,11,Sable Nasr,106182,14,Sabre de Nasr,104369,13,Nasr Cutlass,0,Vyse,50,4,46,-1,None,0,1340,70,90,-1,None,0,0,64192,90,"Machete, die von Karawanenhändlern benutzt\nwird, die Klinge besteht aus gehauenem Stein.",63643,84,Los mercaderes del desierto lo usan para\ndefenderse. La hoja es de piedra tallada.,63900,93,Un sabre utilisé par les marchands du désert\npour se défendre; lame taillée dans la pierre.,63209,95,"A cutlass used by desert-faring merchants for\nself-defense, its blade is finely worked stone."
8,2352244832,106223,15,Daccatsschwert,105268,17,Espada de Daccat,106196,15,Épée de Daccat,104382,16,Sword of Daccat,0,Vyse,50,8,62,1,Add Sleep #1,0,4690,120,90,-1,None,0,0,64282,73,Das Schwert des großen Luftpiraten Daccat.\nEs kann Feinde einschläfern.,63727,87,La espada del gran pirata aéreo Daccat sirve\npara adormecer al enemigo completamente.,63993,68,L'épée du grand Pirate Daccat a le\npouvoir d'endormir les ennemis.,63304,86,"The sword of the great Air Pirate Daccat, it has\nthe power to lull enemies to sleep."
9,2352244848,106238,11,Jagdmesser,105285,16,Espada Cazadora,106211,15,Lame de Chasse,104398,15,Hunter's Sword,0,Vyse,50,5,35,-1,None,0,2280,87,90,-1,None,0,0,64355,95,"Ein Jagdmesser, das an die Hauer eines wilden\nTieres erinnert, bei Ixa'taka-Kriegern beliebt.",63814,93,Un arma de caza que imita la dentadura de un\nanimal. Preferida por los guerreros Ixa'takan.,64061,86,Lame de chasse conçue comme un croc d'animal.\nÉpée préférée des guerriers Ixa'takan.,63390,92,A hunting blade fashioned to resemble a beast's\nfang. A favorite among Ixa'takan warriors.
