Entry ID,EU Message ID,[ DE Entry Name Pos.],[ DE Entry Name Size],DE Entry Name,[ ES Entry Name Pos.],[ ES Entry Name Size],ES Entry Name,[ FR Entry Name Pos.],[ FR Entry Name Size],FR Entry Name,[ GB Entry Name Pos.],[ GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect SP,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect SP,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.
36,0x8c372794,0x19686,13,Cutlass Fury,0x19a38,14,Ira del Sable,0x19eaa,15,Furie du Sabre,0x19656,13,Cutlass Fury,6,Neutral,0,200,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xeb06,92,"Vyse unleashes his fury on a single enemy,\\ncausing major damage.                      SP 7",0xeb37,92,"Vyse desata su ira sobre un solo enemigo,\\nproduciendo grandes daños.                  SEP7",0xed47,93,"Vyse déchaîne sa furie sur un seul ennemi,\\ncausant d'importants dégâts.                ES 7",0xead6,92,"Vyse unleashes his fury on a single enemy,\\ncausing major damage.                      SP 7"
37,0x8c3727a4,0x19693,15,Rain of Swords,0x19a46,17,Lluvia de Sables,0x19eb9,14,Pluie d'Épées,0x19663,15,Rain of Swords,6,Neutral,0,202,0x2,"",X,"",0,Damage,4,All ECs,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xeb62,99,Vyse summons the power of lightning to rain down\\nupon all the enemies on the screen.        SP 14,0xeb93,96,Vyse convoca el poder del rayo para que caiga\\nsobre todos los enemigos en pantalla.      SEP14,0xeda4,99,Vyse invoque le pouvoir des éclairs et une pluie\\nd'épées sur tous les ennemis à l'écran.    ES 14,0xeb32,99,Vyse summons the power of lightning to rain down\\nupon all the enemies on the screen.        SP 14
38,0x8c3727b4,0x196a2,15,Pirates' Wrath,0x19a57,17,Furia del Pirata,0x19ec7,17,Colère du Pirate,0x19672,15,Pirates' Wrath,6,Neutral,0,204,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xebc5,97,Vyse unleashes the wrath of the Air Pirates on\\na single enemy for devastating damage.     SP 21,0xebf3,96,Vyse desencadena la ira de los Piratas Aéreos\\nsobre un enemigo y produce un daño enorme. SEP21,0xee07,98,Vyse déchaîne la colère des Pirates sur un seul\\nennemi pour causer d'importants dégâts.    ES 21,0xeb95,97,Vyse unleashes the wrath of the Air Pirates on\\na single enemy for devastating damage.     SP 21
39,0x8c3727c4,0x196b1,15,Omega Psyclone,0x19a68,13,Ciclón Omega,0x19ed8,15,Psyclone Oméga,0x19681,15,Omega Psyclone,1,Red,0,214,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xec26,93,Aika summons the powers of the Red Moon to\\ndestroy all of the enemies on screen.      SP 12,0xec53,96,Aika convoca los poderes de la Luna Roja para\\ndestruir a todos los enemigos en pantalla. SEP12,0xee69,98,Aika invoque les pouvoirs de la Lune Rouge pour\\ndétruire tous les ennemis à l'écran.       ES 12,0xebf6,93,Aika summons the powers of the Red Moon to\\ndestroy all of the enemies on screen.      SP 12
40,0x8c3727d4,0x196c0,12,Alpha Storm,0x19a75,14,Tormenta Alfa,0x19ee7,12,Orage Alpha,0x19690,12,Alpha Storm,1,Red,0,210,0x2,"",X,"",0,Damage,39,EC Line 4,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xec83,97,"Aika spins her boomerang, summoning a vortex of\\nflames to strike all enemies in a line.    SP 4",0xecb3,95,Aika hace girar su boomerang y un huracán de\\nllamas hiere a todos los enemigos en línea. SEP4,0xeecb,99,"Aika lance son boomerang, invoquant un vortex de\\nflammes sur tous les ennemis alignés.       ES 4",0xec53,97,"Aika spins her boomerang, summoning a vortex of\\nflames to strike all enemies in a line.    SP 4"
41,0x8c3727e0,0x196cc,13,Lambda Burst,0x19a83,17,Explosión Lambda,0x19ef3,17,Explosion Lambda,0x1969c,13,Lambda Burst,1,Red,0,212,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xece4,91,"Aika causes the very ground around her to\\nexplode, damaging all enemies on screen.   SP 8",0xed12,99,Aika explosiona la tierra que le rodea y produce\\ndaño a todos los enemigos en pantalla.      SEP8,0xef2e,91,"Aika fait exploser le sol autour d'elle,\\nblessant tous les ennemis à l'écran.        ES 8",0xecb4,91,"Aika causes the very ground around her to\\nexplode, damaging all enemies on screen.   SP 8"
42,0x8c3727f0,0x196d9,12,Lunar Glyph,0x19a94,12,Glifo Lunar,0x19f04,15,Glyphe Lunaire,0x196a9,12,Lunar Glyph,5,Silver,0,221,0x2,"",X,"",8,"Damage, Stone",3,Single EC,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xed3f,96,Fina uses the power of the Silver Moon to damage\\nand possibly Stone a single enemy.       SP 3,0xed75,97,"Con el poder de la Luna de Plata, Fina produce\\ndaño y quizá petrifica a un único enemigo.  SEP3",0xef89,99,Fina utilise le pouvoir de la Lune d'argent pour\\nblesser et voire pétrifier un ennemi.       ES 3,0xed0f,96,Fina uses the power of the Silver Moon to damage\\nand possibly Stone a single enemy.       SP 3
43,0x8c3727fc,0x196e5,12,Lunar Winds,0x19aa0,16,Ráfagas Lunares,0x19f13,15,Vents Lunaires,0x196b5,12,Lunar Winds,5,Silver,0,223,0x2,"",X,"",17,Rem. Pos. States,4,All ECs,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xed9f,96,Cupil summons a storm to damage and remove any\\nbeneficial effects from all enemies.       SP 6,0xedd6,98,Cupil desata una tormenta que hiere y anula los\\nefectos beneficiosos de todos los enemigos. SEP6,0xefec,99,Cupil invoque un orage pour ôter tous les effets\\nbénéfiques aux ennemis et les blesser.      ES 6,0xed6f,96,Cupil summons a storm to damage and remove any\\nbeneficial effects from all enemies.       SP 6
44,0x8c372808,0x196f1,7,Tackle,0x19ab0,7,Ataque,0x19f22,14,Ruée Mortelle,0x196c1,7,Tackle,6,Neutral,0,230,0x2,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xedff,98,Drachma concentrates all of his energy into his\\nmetal arm and charges one enemy.           SP 10,0xee38,98,Drachma concentra todas sus fuerzas en su brazo\\nmetálico y carga contra un enemigo.        SEP10,0xf04f,95,Drachma concentre toute son énergie dans son\\nbras métallique et se rue sur un ennemi.   ES 10,0xedcf,98,Drachma concentrates all of his energy into his\\nmetal arm and charges one enemy.           SP 10
45,0x8c372810,0x196f8,13,Hand of Fate,0x19ab7,17,Mano del Destino,0x19f30,15,Main du Destin,0x196c8,13,Hand of Fate,6,Neutral,0,232,0x2,"",X,"",6,"Damage, Unconscious 1",3,Single EC,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0xee61,97,"Drachma crushes one enemy with his mighty arm,\\ncausing instant death to most.             SP 25",0xee9a,97,Drachma carga contra un enemigo con su potente\\nbrazo y mata al instante a la mayoria.     SEP25,0xf0ae,99,"Drachma écrase un ennemi avec son bras puissant,\\ncausant la plupart du temps sa mort.       ES 25",0xee31,97,"Drachma crushes one enemy with his mighty arm,\\ncausing instant death to most.             SP 25"
