Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Pos. ID,[Pos. Name],Pad. 1,Feat. ID,[Feat. Name],Pad. 2,Feat. Value,Ship Effect ID,[Ship Effect Name],Ship Effect Spirit,Ship Effect Turns,Pad. 3,Pad. 4,Pad. 5,Ship Effect Amount,Unk.,Pad. 6,Pad. 7,Pad. 8,Pad. 9,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
0,0x8c374538,0x1b5c2,9,Lawrence,0x1bace,9,Lawrence,0x1bf81,9,Lawrence,0x1b592,9,Lawrence,0,Helmsman,0,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x189b2,97,"A mercenary-for-hire, he sails the skies for a\\nsteep price. He will increase your ship's Quick.",0x18d16,84,Mercenario a sueldo que navega a  precio alto.\\nAumentara la Velocidad de tu navio.,0x19147,92,Mercenaire naviguant au service du plus offrant.\\nIl accélèrera la vitesse de votre navire.,0x18982,97,"A mercenary-for-hire, he sails the skies for a\\nsteep price. He will increase your ship's Quick."
1,0x8c374544,0x1b5cb,4,Don,0x1bad7,4,Don,0x1bf8a,4,Don,0x1b59b,4,Don,0,Helmsman,0,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18a13,66,Having Don in your active crew will increase\\nyour ship's Dodge%.,0x18d6a,97,"Si tienes a Don como miembro de tu tripulacion,\\naumentara la capacidad de Esquivar de tu navio.",0x191a3,85,Recruter Don dans votre équipage augmentera\\nles chances d’esquives de votre navire.,0x189e3,66,Having Don in your active crew will increase\\nyour ship's Dodge%.
2,0x8c374548,0x1b5cf,8,Brabham,0x1badb,8,Brabham,0x1bf8e,8,Brabham,0x1b59f,8,Brabham,1,Engineer,0,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18a55,71,Having Brabham in your active crew will increase\\nyour ship's Defense.,0x18dcb,74,"Si tienes a Brabham en tu tripulacion,\\naumentara la Defensa de tu navio.",0x191f8,86,Enrôler Brabham comme membre de votre équipage\\naccroîtra la défense de votre navire.,0x18a25,71,Having Brabham in your active crew will increase\\nyour ship's Defense.
3,0x8c374550,0x1b5d7,5,Hans,0x1bae3,5,Hans,0x1bf96,5,Hans,0x1b5a7,5,Hans,1,Engineer,0,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18a9c,74,Having Hans in your active crew will increase\\nyour ship's Magic Defense.,0x18e15,78,"Si tienes a Hans en tu tripulacion,\\naumentara la Defensa Magica de tu navio.",0x1924e,92,Enrôler Hans comme membre de votre équipage\\nrenforcera la défense magique de votre navire.,0x18a6c,74,Having Hans in your active crew will increase\\nyour ship's Magic Defense.
4,0x8c374558,0x1b5dc,6,Belle,0x1bae8,6,Belle,0x1bf9b,6,Belle,0x1b5ac,6,Belle,2,Gunner,0,64,Secondary Cannon Attack,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18ae6,91,Having Belle in your active crew will increase\\nthe damage done by your Secondary Cannons.,0x18e63,96,"Si tienes a Belle en tu tripulacion, aumentara el\\ndeterioro hecho por tus Canones Secundarios.",0x192aa,90,Avoir Belle comme membre de votre équipage\\naugmentera les dégâts des canons secondaires.,0x18ab6,91,Having Belle in your active crew will increase\\nthe damage done by your Secondary Cannons.
5,0x8c374560,0x1b5e2,7,Khazim,0x1baee,7,Khazim,0x1bfa1,7,Khazim,0x1b5b2,7,Khazim,2,Gunner,0,48,Main Cannon Attack,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18b41,87,Having Khazim in your active crew will increase\\nthe damage done by your Main Cannons.,0x18ec3,90,"Con Khazim en tu tripulacion,  aumentara el\\ndeterioro hecho por tus Canones Principales.",0x19304,81,Engager Khazim dans votre équipage\\naugmentera les dégâts des canons principaux.,0x18b11,87,Having Khazim in your active crew will increase\\nthe damage done by your Main Cannons.
6,0x8c374568,0x1b5e9,9,Tikatika,0x1baf5,9,Tikatika,0x1bfa8,9,Tikatika,0x1b5b9,9,Tikatika,3,Lookout,0,81,Torpedo Hit%,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18b98,69,Having Tikatika in your active crew increases\\nyour torpedoes' Hit%.,0x18f1d,80,"Con Tikatika en tu tripulacion, aumentara\\nla tasa de Aciertos de tus torpedos.",0x19355,96,Avoir Tikatika dans votre équipage permet à vos\\ntorpilles de toucher plus souvent votre cible.,0x18b68,69,Having Tikatika in your active crew increases\\nyour torpedoes' Hit%.
7,0x8c374574,0x1b5f2,8,Domingo,0x1bafe,8,Domingo,0x1bfb1,8,Domingo,0x1b5c2,8,Domingo,3,Lookout,0,-1,None,0,0,112,Improve Critical% (Ship),6,0,0,0,0,0,0,0,0,0,0,0x18bdd,88,Having Domingo in your active crew increases\\nyour chances of delivering critical hits.,0x18f6d,80,"Si tienes a Domingo en tu tripulacion,\\naumentara tu tasa de Aciertos Criticos.",0x193b5,87,Avoir Domingo dans votre équipage augmente\\nvos chances de donner des Coups critiques.,0x18bad,88,Having Domingo in your active crew increases\\nyour chances of delivering critical hits.
8,0x8c37457c,0x1b5fa,6,Osman,0x1bb06,6,Osman,0x1bfb9,6,Osman,0x1b5ca,6,Osman,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18c35,88,Having Osman in your active crew will increase\\nyour chance of finding expensive items.,0x18fbd,95,"Si tienes a Osman en tu tripulacion, aumentara\\ntu probabilidad de encontrar objetos valiosos.",0x1940c,91,Enroler Osman dans votre équipage augmentera\\nvos chances de trouver des objets de valeur.,0x18c05,88,Having Osman in your active crew will increase\\nyour chance of finding expensive items.
9,0x8c374584,0x1b600,7,Kalifa,0x1bb0c,7,Kalifa,0x1bfbf,7,Kalifa,0x1b5d0,7,Kalifa,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18c8d,87,Having Kalifa in your active crew will increase\\nyour chance of finding special items.,0x1901c,98,"Si tienes a Kalifa en tu tripulacion, aumentara tu\\nprobabilidad de encontrar objetos especiales.",0x19467,69,Engager Kalifa augmente vos chances\\nde trouver des objets spéciaux.,0x18c5d,87,Having Kalifa in your active crew will increase\\nyour chance of finding special items.
