Entry ID,Pad. 1,EU Message ID,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.,Item 1 ID,[Item 1 Name],Item 2 ID,[Item 2 Name],Item 3 ID,[Item 3 Name],Item 4 ID,[Item 4 Name],Item 5 ID,[Item 5 Name],Item 6 ID,[Item 6 Name],Item 7 ID,[Item 7 Name],Item 8 ID,[Item 8 Name],Item 9 ID,[Item 9 Name],Item 10 ID,[Item 10 Name],Item 11 ID,[Item 11 Name],Item 12 ID,[Item 12 Name],Item 13 ID,[Item 13 Name],Item 14 ID,[Item 14 Name],Item 15 ID,[Item 15 Name],Item 16 ID,[Item 16 Name],Item 17 ID,[Item 17 Name],Item 18 ID,[Item 18 Name],Item 19 ID,[Item 19 Name],Item 20 ID,[Item 20 Name],Item 21 ID,[Item 21 Name],Item 22 ID,[Item 22 Name],Item 23 ID,[Item 23 Name],Item 24 ID,[Item 24 Name],Item 25 ID,[Item 25 Name],Item 26 ID,[Item 26 Name],Item 27 ID,[Item 27 Name],Item 28 ID,[Item 28 Name],Item 29 ID,[Item 29 Name],Item 30 ID,[Item 30 Name],Item 31 ID,[Item 31 Name],Item 32 ID,[Item 32 Name],Item 33 ID,[Item 33 Name],Item 34 ID,[Item 34 Name],Item 35 ID,[Item 35 Name],Item 36 ID,[Item 36 Name],Item 37 ID,[Item 37 Name],Item 38 ID,[Item 38 Name],Item 39 ID,[Item 39 Name],Item 40 ID,[Item 40 Name],Item 41 ID,[Item 41 Name],Item 42 ID,[Item 42 Name],Item 43 ID,[Item 43 Name],Item 44 ID,[Item 44 Name],Item 45 ID,[Item 45 Name],Item 46 ID,[Item 46 Name],Item 47 ID,[Item 47 Name],Item 48 ID,[Item 48 Name]
0,0,0x8c37b808,0xd9f2,15,Zack's Weapons,0xda6b,15,Zack's Weapons,0xdc36,15,Zack's Weapons,0xd9c2,15,Zack's Weapons,1,Pirate Cutlass,20,Leather Crescent,86,Light Robe,87,Valuan Uniform,162,Meditation Ring,170,Marocca's Shell,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
1,0,0x8c37b818,0xda01,14,Erinn's Items,0xda7a,14,Erinn's Items,0xdc45,14,Erinn's Items,0xd9d1,14,Erinn's Items,240,Sacri Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
2,0,0x8c37b828,0xda0f,15,Bonita's Items,0xda88,15,Bonita's Items,0xdc53,15,Bonita's Items,0xd9df,15,Bonita's Items,240,Sacri Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
3,0,0x8c37b828,0xda1e,15,Bonita's Items,0xda97,15,Bonita's Items,0xdc62,15,Bonita's Items,0xd9ee,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
4,0,0x8c37b828,0xda2d,15,Bonita's Items,0xdaa6,15,Bonita's Items,0xdc71,15,Bonita's Items,0xd9fd,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,290,Chom,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
5,0,0x8c37b828,0xda3c,15,Bonita's Items,0xdab5,15,Bonita's Items,0xdc80,15,Bonita's Items,0xda0c,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,251,Riselem Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,290,Chom,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
6,0,0x8c37b838,0xda4b,17,Lor's Ship Parts,0xdac4,17,Lor's Ship Parts,0xdc8f,17,Lor's Ship Parts,0xda1b,17,Lor's Ship Parts,401,Standard Cannon,410,"3\\""Cannon",450,Engine Cover,460,Armored Deck,480,Bomb,490,Repair Kit,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
7,0,0x8c37b838,0xda5c,17,Lor's Ship Parts,0xdad5,17,Lor's Ship Parts,0xdca0,17,Lor's Ship Parts,0xda2c,17,Lor's Ship Parts,409,X Cannon,435,Pyril Cannon,463,Compound Deck,498,Apo Wax,499,Speed Wax,493,Complete Kit,401,Standard Cannon,410,"3\\""Cannon",450,Engine Cover,460,Armored Deck,480,Bomb,490,Repair Kit,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
8,0,0x8c37b84c,0xda6d,17,Roscoe's Weapons,0xdae6,17,Roscoe's Weapons,0xdcb1,17,Roscoe's Weapons,0xda3d,17,Roscoe's Weapons,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
9,0,0x8c37b84c,0xda7e,17,Roscoe's Weapons,0xdaf7,17,Roscoe's Weapons,0xdcc2,17,Roscoe's Weapons,0xda4e,17,Roscoe's Weapons,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
