Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. flags,[Vyse],[Aika],[Fina],[Drachma],[Enrique],[Gilder],Retail price in %,Order by prio.,EU order by ABC,Purchase price,Feature #0 ID,[Feature #0 name],Padding #0,Feature #0 value,Feature #1 ID,[Feature #1 name],Padding #1,Feature #1 value,Feature #2 ID,[Feature #2 name],Padding #2,Feature #2 value,Feature #3 ID,[Feature #3 name],Padding #3,Feature #3 value,Padding #4,Padding #5,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
160,2352238332,107622,11,Juwel Ring,107311,15,Anillo de Gema,108061,13,Gemme Sertie,106243,14,Gemstone Ring,58,X,X,X,"",X,"",50,1,23,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,74578,83,"Fein gearbeiter Ring, mit eingravierten Runen,\ndie den Träger vor Magie schützen.",74179,87,"Anillo finamente tallado, con jeroglíficos\nque protegen contra el efecto de la Magia.",74224,95,Une bague finement travaillée avec des runes\ngravées qui protègent l'utilisateur de la Magie.,73727,83,"A finely crafted ring engraved with runes,\nthat protect the wearer against magic."
161,2352238348,107633,15,Prophet's Sand,107326,16,Arena Profética,108074,15,Bague de Sable,106257,15,Prophet's Sand,58,X,X,X,"",X,"",50,3,39,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,74661,91,"Ring aus verzaubertem Sand, den man bei Moon\nStones findet. Schützt den Träger vor Magie.",74266,79,Anillo de arena mágica procedente de\nPiedras Lunares.Protege contra la Magia.,74319,94,Une bague créée avec du sable enchanté trouvé\nprès des Pierres de Lune. Protège de la Magie.,73810,97,A ring created from enchanted sand found around\nMoon Stones. Protects the wearer against Magic.
162,2352238364,107648,17,Meditations Ring,107342,14,Anillo Mágico,108089,17,Bague Méditation,106272,16,Meditation Ring,58,X,X,X,"",X,"",50,0,33,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,74752,82,Ring aus geflochtenen Zweigen verzauberter\nBäume. Erhöht den Willen des Trägers.,74345,72,Anillo entretejido con ramitas de arboles\nmágicos.Aumenta la Voluntad.,74413,91,Une bague fabriquée à partir d'un arbre magique\nAccroît la Volonté de celui qui la porte.,73907,85,A ring crafted from weaving the sprigs of magic\ntrees. Increases the wearer's Will.
163,2352238380,107665,15,Mondstaub Ring,107356,15,Anillo de Luna,108106,17,Bague Poudrelune,106288,14,Moondust Ring,58,X,X,X,"",X,"",50,4,35,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,74834,84,"Ring, der mit kleinen  Moon-Stone-Splittern\nverziert ist. Erhöht die Willenskraft.",74417,74,Anillo decorado con fragmentos de Piedras\nLunares. Potencia la Voluntad.,74504,85,Une bague décorée avec des petits morceaux de\nPierres de Lune. Augmente la Volonté.,73992,67,A ring decorated with tiny shards of Moon\nStones. Increases Will.
164,2352238396,107680,15,Liebenden-Ring,107371,17,Anillo del Amado,108123,17,Bague des amants,106302,13,Lover's Ring,58,X,X,X,"",X,"",50,2,30,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0,0,74918,85,"Fein gearbeiteter Ring, der zwei Liebende\nzeigt. Erhöht Magie-Resistenz und Willen.",74491,84,Anillo con la imagen de dos novios. Protege\ncontra la Magia y aumenta la Voluntad.,74589,97,Bague finement travaillée représentant 2 amants\nenlacés. Accroît Résistance Magique et Volonté.,74059,92,A finely crafted ring that depicts two lovers\nembracing. Increases Magic Defense and Will.
165,2352238412,107695,16,Jade Swirl Ring,107388,15,Anillo de Jade,108140,14,Bague de Jade,106315,16,Jade Swirl Ring,58,X,X,X,"",X,"",50,5,29,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,75003,92,"Ring, der mit zwei Tropfen flüssiger Jade\nverziert ist. Erhöht Magie-Resistenz und Willen.",74575,81,Anillo con dos gotas de jade que protege\ncontra la Magia y aumenta la Voluntad.,74686,92,Bague décorée avec 2 gouttes de jade liquide.\nAccroît la Résistance Magique et la Volonté.,74151,83,A ring decorated with two drops of liquid jade.\nIncreases Magic Defense and Will.
166,2352238428,107711,11,Cupil Ring,107403,13,Anillo Cupil,108154,15,Bague du Cupil,106331,11,Cupil Ring,8,"","",X,"","","",100,6,14,10000,49,Death,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0,0,75095,95,"Ring, der Cupil ähnelt. Erhöht Spirit sowie\nResistenz gegen Silber-Angriffe und Eterni-Magie.",74656,86,Se parece a Cupil. Potencia el Espíritu.\nResistente Ataques de Plata y Magia Eterni.,74778,98,"Bague à l'image du Cupil. Augmente l'Esprit, la\nRésistance aux Attaques d'Argent & Magie Eterni.",74234,97,"A ring that looks like Cupil. Boosts Spirit and\nResistance to Silver Attacks, and Eterni Magic."
167,2352238440,107722,12,Kriegerherz,107416,15,Corazón Bélico,108169,15,Coeur Guerrier,106342,16,Warrior's Heart,58,X,X,X,"",X,"",100,7,59,10,77,Recover spirit,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,75190,94,"Ein Ring mit leuchtendem Stein; erlaubt dem\nBenutzer, während des Kampfes Spirit aufzuladen.",74742,83,Anillo con una gema brillante. Ayuda a\nrecuperar el Espiritu durante la batalla.,74876,97,"Une bague avec une pierre brillante, qui permet\nde récupérer de l'Esprit pendant les batailles.",74331,82,"A ring with a glowing gem, that allows the user\nto recover Spirit during battle."
168,2352238456,107734,17,Throkryn's Scale,107431,14,Arma Throkryn,108184,17,Écaille Throkryn,106358,17,Throkryn's Scale,53,X,X,"",X,"",X,50,8,55,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,75284,75,Ein aus einem Throkryn hergestellter Waffentyp.\nErhöht die Angriffskraft.,74825,59,Arma modificada con Throkryn.\nAumenta el poder de Ataque.,74973,87,"Une arme modifiée, fabriquée à l'aide d'un\nThrokryn. Augmente la Puissance d'Attaque.",74413,66,A weapon modification made from a Throkryn.\nRaises Attack Power.
169,2352238476,107751,17,Thryllak's Scale,107445,14,Arma Thryllak,108201,17,Écaille Thryllak,106375,17,Thryllak's Scale,53,X,X,"",X,"",X,50,9,56,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,75359,94,"Schuppe eines Thryllak, ein Tier, noch tödlicher\nals ein Throkryn. Erhöht die Angriffskraft.",74884,87,"Escamas de Thryllak, animal más mortífero\nque el Throkryn. Mejora el poder de Ataque.",75060,98,"Écaille de Thryllak, animal bien plus dangereux\nque le Throkryn. Accroît la Puissance d'Attaque.",74479,88,"A scale of a Thryllak, an animal even deadlier\nthan the Throkryn. Raises Attack Power."
