Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. flags,[Vyse],[Aika],[Fina],[Drachma],[Enrique],[Gilder],Retail price in %,Order by prio.,EU order by ABC,Purchase price,Feature #0 ID,[Feature #0 name],Padding #0,Feature #0 value,Feature #1 ID,[Feature #1 name],Padding #1,Feature #1 value,Feature #2 ID,[Feature #2 name],Padding #2,Feature #2 value,Feature #3 ID,[Feature #3 name],Padding #3,Feature #3 value,Padding #4,Padding #5,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
80,2352237440,106602,15,Vyse's Uniform,106199,17,Uniforme de Vyse,106965,17,Uniforme de Vyse,105233,15,Vyse's Uniform,49,X,X,"","","",X,50,0,58,60,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,0,0,69612,67,"Uniform der Blue Rogues, die er von seinem\nVater geschenkt bekam.",69507,58,Uniforme de los Bandidos Azules.\nSu padre se lo entregó.,69497,50,Uniforme des Voleurs Bleus.\nOffert par son père.,69028,57,Uniform of the Blue Rogues.\nGiven to him by his father.
81,2352237456,106617,14,Aika's Shorts,106216,16,Pantalones Aika,106982,13,Short d'Aika,105248,14,Aika's Shorts,24,"",X,X,"","","",50,1,1,50,17,Defense,0,19,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,0,0,69679,63,"Aikas Lieblingspaar Shorts, die sie von Vyses\nMutter erhielt.",69565,76,La madre de Vyse regaló a Aika estos\npantalones cortos. Son sus favoritos.,69547,51,"Short préféré d'Aika, offert par la mère\nde Vyse.",69085,64,"Aika's favorite pair of shorts, given to her\nby Vyse's mother."
82,2352237472,106631,12,Fina's Robe,106232,15,Túnica de Fina,106995,13,Robe de Fina,105262,12,Fina's Robe,26,"",X,X,"",X,"",50,11,19,510,17,Defense,0,55,18,MagDef,0,64,-1,None,0,0,-1,None,0,0,0,0,69742,77,"Traditionelle Silviter-Tracht, von Frauen der\nSilver Civilization getragen.",69641,84,Un vestido Silvite tradicional. Lo llevan\nlas mujeres de la Civilizacion de Plata.,69598,79,"Robe Silvite traditionnelle, portée par les\nfemmes de la Civilisation Argent.",69149,72,"A traditional Silvite Dress, worn by women of\nthe Silver Civilization."
83,2352237484,106643,16,Drachma's Shirt,106247,15,Camisa Drachma,107008,16,Chemise Drachma,105274,16,Drachma's Shirt,4,"","","",X,"","",50,4,13,340,17,Defense,0,45,18,MagDef,0,42,-1,None,0,0,-1,None,0,0,0,0,69819,80,"Ein extra großes, schweres Hemd, das nach Jahren\nharter Arbeit abgetragen ist.",69725,60,Una enorme camisa muy desgastada por años\nde duro trabajo.,69677,63,"Chemise lourde et très grande, usée\npar des années de labeur.",69221,74,"An extra large, heavy shirt that's been well\nworn by years of hard work."
84,2352237500,106659,15,Enrique's Coat,106262,17,Manto de Enrique,107024,17,Manteau Impérial,105290,15,Enrique's Coat,2,"","","","",X,"",50,33,15,3390,17,Defense,0,119,18,MagDef,0,119,19,Hit%,0,10,20,Dodge%,0,5,0,0,69899,97,Eine leichte Rüstung des kaiserlichen Hofs von\nValua. Sie erhöht die Beweglichkeit des Trägers.,69785,79,Armadura ligera de la Corte Imperial\nValuan. Aumenta la agilidad del usuario.,69740,93,L'armure légère de la Cour Impériale Valuan.\nElle améliore l'agilité de celui qui la porte.,69295,81,The light armor of the Valuan Imperial Court.\nIt improves the wearer's agility.
85,2352237516,106674,14,Gilder's Mail,106279,13,Malla Gilder,107041,17,Maille de Gilder,105305,14,Gilder's Mail,37,X,"","",X,"",X,50,27,24,2840,17,Defense,0,116,18,MagDef,0,99,-1,None,0,0,-1,None,0,0,0,0,69996,96,"Leichte Rüstung, die Gilder unter seinem Mantel\nträgt. Er hat gerne Spaß, ist aber nicht dumm.",69864,82,Armadura ligera de la Corte Imperial\nValuan. El travieso de Gilder no es tonto.,69833,94,Armure légère portée par Gilder sous le manteau.\nGilder aime s'amuser mais il n'est pas fou.,69376,90,"Light armor, worn by Gilder under his coat.\nGilder likes to have fun, but he's no dummy."
86,2352237532,106688,11,Light Robe,106292,14,Túnica Ligera,107058,12,Robe Légère,105319,11,Light Robe,26,"",X,X,"",X,"",50,3,32,130,17,Defense,0,29,18,MagDef,0,34,-1,None,0,0,-1,None,0,0,0,0,70092,52,Eine leichte Robe aus magieresistentem Material.\n,69946,70,Una túnica ligera hecha de un material\nresistente a prueba de magia.,69927,58,Une robe légère fabriquée en tissu résistant à\nla magie.,69466,62,A lightweight robe crafted from magically\nresistant fabric.
87,2352237544,106699,15,Valuan Uniform,106306,16,Uniforme Valuan,107070,16,Uniforme Valuan,105330,15,Valuan Uniform,53,X,X,"",X,"",X,50,2,55,170,17,Defense,0,32,18,MagDef,0,32,-1,None,0,0,-1,None,0,0,0,0,70144,89,"Uniform, die von einem valuanischen Seefahrer\nmit niedrigem Dienstgrad gestohlen wurde.",70016,58,Un uniforme robado de un navegante Valuan\nde bajo rango.,69985,62,Un uniforme volé à un navigateur Valuan d'un\nrang inférieur.,69528,55,A uniform stolen from a low-ranking Valuan\nnavigator.
88,2352237560,106714,15,Sailor Uniform,106322,16,Uniforme Marino,107086,15,Uniforme Marin,105345,15,Sailor Uniform,53,X,X,"",X,"",X,50,5,49,330,17,Defense,0,44,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0,0,70233,66,"Billig, leicht und robust - \ndie bevorzugte Tracht der Matrosen.",70074,69,"Barato, ligero y resistente. Es el traje\npreferido por los marinos.",70047,68,"Bon marché, léger et de qualité, c'est l'habit\npréféré des marins.",69583,81,"Inexpensive, light weight, and durable, this\nis the preferred dress of sailors."
89,2352237576,106729,13,Mystic Dress,106338,15,Túnica Mística,107101,14,Robe Mystique,105360,13,Mystic Dress,24,"",X,X,"","","",75,6,40,310,17,Defense,0,42,18,MagDef,0,46,-1,None,0,0,-1,None,0,0,0,0,70299,90,"Ein Kleid aus magieresistentem Material, das\nseine Trägerin vor Magie-Angriffen schützt.",70143,83,Traje con tela a prueba de magia. Inmuniza\nal usuario contra los ataques magicos.,70115,49,Robe fabriquée en tissu résistant à la magie.\n,69664,93,A dress made of magically resistant fabric that\nenables the wearer to resist magic attacks.
