Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Pad. #0,Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State hit%,Pad. #1,Pad. #2
0,2352310292,4790,7,Increm,4777,7,Increm,4780,7,Increm,4774,7,Increm,1,Magic,21,Add Strengthen,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
1,2352310300,4797,9,Incremus,4784,9,Incremus,4787,9,Incremus,4781,9,Incremus,1,Magic,21,Add Strengthen,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
2,2352310312,4806,8,Sylenis,4793,8,Sylenis,4796,8,Sylenis,4790,8,Sylenis,1,Magic,12,Add Silence,1,One character,0,0,0,0,Green,0,Physical,1,1,5,Silence,40,0,0
3,2352310320,4814,7,Panika,4801,7,Panika,4804,7,Panika,4798,7,Panika,1,Magic,11,Add Confusion,1,One character,0,0,0,0,Green,0,Physical,1,1,4,Confusion,40,0,0
4,2352310328,4821,6,Driln,4808,6,Driln,4811,6,Driln,4805,6,Driln,1,Magic,26,Add Weak,1,One character,0,0,0,0,Green,0,Physical,1,1,8,Weak,40,0,0
5,2352310336,4827,8,Drilnos,4814,8,Drilnos,4817,8,Drilnos,4811,8,Drilnos,1,Magic,26,Add Weak,2,All characters,0,0,0,0,Green,0,Physical,1,1,8,Weak,60,0,0
6,2352310344,4835,6,Sacri,4822,6,Sacri,4825,6,Sacri,4819,6,Sacri,1,Magic,31,Recover HP,3,One enemy,0,500,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,2352310352,4841,7,Sacres,4828,7,Sacres,4831,7,Sacres,4825,7,Sacres,1,Magic,31,Recover HP,3,One enemy,0,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
8,2352310360,4848,7,Sacrum,4835,7,Sacrum,4838,7,Sacrum,4832,7,Sacrum,1,Magic,31,Recover HP,4,All enemies,0,1000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
9,2352310368,4855,9,Sacrulen,4842,9,Sacrulen,4845,9,Sacrulen,4839,9,Sacrulen,1,Magic,32,Recover HP to 100%,3,One enemy,0,10000,68,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,2352310380,4864,5,Noxi,4851,5,Noxi,4854,5,Noxi,4848,5,Noxi,1,Magic,4,Add Poison + Damage,1,One character,0,1,60,0,Green,1,Magical,1,1,0,Poison,40,0,0
11,2352310388,4869,6,Noxus,4856,6,Noxus,4859,6,Noxus,4853,6,Noxus,1,Magic,4,Add Poison + Damage,2,All characters,0,1,100,0,Green,1,Magical,1,1,0,Poison,60,0,0
12,2352310396,4875,8,Slipara,4862,8,Slipara,4865,8,Slipara,4859,8,Slipara,1,Magic,9,Add Sleep,2,All characters,0,0,0,0,Green,0,Physical,1,1,3,Sleep,60,0,0
13,2352310404,4883,6,Quika,4870,6,Quika,4873,6,Quika,4867,6,Quika,1,Magic,20,Add Quickened,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,2352310412,4889,6,Curia,4876,6,Curia,4879,6,Curia,4873,6,Curia,1,Magic,30,Remove negative states,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
15,2352310420,4895,6,Risan,4882,6,Risan,4885,6,Risan,4879,6,Risan,1,Magic,27,Revive with 50% of HP,3,One enemy,0,0,0,0,Green,0,Physical,55,55,7,Revival,50,0,0
16,2352310428,4901,8,Riselem,4888,8,Riselem,4891,8,Riselem,4885,8,Riselem,1,Magic,28,Revive with 100% of HP,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,2352310436,4909,7,Eterni,4896,7,Eterni,4899,7,Eterni,4893,7,Eterni,1,Magic,5,Add Unconscious,1,One character,0,0,0,0,Green,0,Physical,1,1,1,Unconscious,60,0,0
18,2352310444,4916,8,Eternes,4903,8,Eternes,4906,8,Eternes,4900,8,Eternes,1,Magic,5,Add Unconscious,2,All characters,0,0,0,0,Green,0,Physical,1,1,1,Unconscious,80,0,0
19,2352310452,4924,8,Eternum,4911,8,Eternum,4914,8,Eternum,4908,8,Eternum,1,Magic,6,Add Unconscious + Damage #1,1,One character,0,1,250,5,Silver,1,Magical,1,1,1,Unconscious,0,0,0
20,2352310460,4932,6,Wevli,4919,6,Wevli,4922,6,Wevli,4916,6,Wevli,1,Magic,0,Damage,96,Character area #1,0,1,60,3,Blue,1,Magical,0,0,0,Poison,0,0,0
21,2352310468,4938,7,Wevles,4925,7,Wevles,4928,7,Wevles,4922,7,Wevles,1,Magic,0,Damage,97,Character area #2,0,1,105,3,Blue,1,Magical,0,0,0,Poison,0,0,0
22,2352310476,4945,7,Wevlen,4932,7,Wevlen,4935,7,Wevlen,4929,7,Wevlen,1,Magic,0,Damage,98,Character area #3,0,1,195,3,Blue,1,Magical,0,0,0,Poison,0,0,0
23,2352310484,4952,5,Pyri,4939,5,Pyri,4942,5,Pyri,4936,5,Pyri,1,Magic,0,Damage,2,All characters,0,1,50,1,Red,1,Magical,0,0,0,Poison,0,0,0
24,2352310492,4957,6,Pyres,4944,6,Pyres,4947,6,Pyres,4941,6,Pyres,1,Magic,0,Damage,2,All characters,0,1,85,1,Red,1,Magical,0,0,0,Poison,0,0,0
25,2352310500,4963,6,Pyrum,4950,6,Pyrum,4953,6,Pyrum,4947,6,Pyrum,1,Magic,0,Damage,2,All characters,0,1,120,1,Red,1,Magical,0,0,0,Poison,0,0,0
26,2352310508,4969,9,Crystali,4956,9,Crystali,4959,9,Crystali,4953,9,Crystali,1,Magic,0,Damage,1,One character,0,1,70,2,Purple,1,Magical,0,0,0,Poison,0,0,0
27,2352310520,4978,10,Crystales,4965,10,Crystales,4968,10,Crystales,4962,10,Crystales,1,Magic,0,Damage,1,One character,0,1,120,2,Purple,1,Magical,0,0,0,Poison,0,0,0
28,2352310532,4988,10,Crystalum,4975,10,Crystalum,4978,10,Crystalum,4972,10,Crystalum,1,Magic,0,Damage,1,One character,0,1,170,2,Purple,1,Magical,0,0,0,Poison,0,0,0
29,2352310544,4998,10,Crystalen,4985,10,Crystalen,4988,10,Crystalen,4982,10,Crystalen,1,Magic,0,Damage,1,One character,0,1,220,2,Purple,1,Magical,0,0,0,Poison,0,0,0
30,2352310556,5008,8,Pyrulen,4995,8,Pyrulen,4998,8,Pyrulen,4992,8,Pyrulen,1,Magic,0,Damage,2,All characters,0,1,155,1,Red,1,Magical,0,0,0,Poison,0,0,0
31,2352310564,5016,7,Wevlum,5003,7,Wevlum,5006,7,Wevlum,5000,7,Wevlum,1,Magic,0,Damage,97,Character area #2,0,1,150,3,Blue,1,Magical,0,0,0,Poison,0,0,0
32,2352310572,5023,8,Electri,5010,8,Electri,5013,8,Electri,5007,8,Electri,1,Magic,0,Damage,100,Character line #1,0,1,60,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
33,2352310580,5031,9,Electres,5018,9,Electres,5021,9,Electres,5015,9,Electres,1,Magic,0,Damage,101,Character line #2,0,1,105,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
34,2352310592,5040,9,Electrum,5027,9,Electrum,5030,9,Electrum,5024,9,Electrum,1,Magic,0,Damage,101,Character line #2,0,1,150,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
35,2352310604,5049,11,Electrulen,5036,11,Electrulen,5039,11,Electrulen,5033,11,Electrulen,1,Magic,0,Damage,102,Character line #3,0,1,195,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
