Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Purchase price,Pad. #0,Pad. #1,Retail price in %,Order by prio.,EU order by ABC,Pad. #2,Ship effect amount,Element ID,[Element name],Unk. #0,Unk. #1,Hit%,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
480,2352243236,112918,5,Bomb,112796,6,Bomba,113549,6,Bombe,111551,5,Bomb,1,"","",X,107,Damage (Ship),-1,100,100,0,0,50,0,3,0,80,6,Neutral,0,0,0,96655,71,"Allgemein gebräuchliche Bombe, dazu bestimmt,\nden Feind zu schädigen.",96209,46,Bomba común para producir daño al enemigo.\n,96745,49,Bombe classique conçue pour endommager l'ennemi.,95611,45,"A common bomb, designed to damage the enemy."
481,2352243244,112923,9,Big Bomb,112802,13,Bomba Grande,113555,13,Grosse Bombe,111556,9,Big Bomb,1,"","",X,107,Damage (Ship),-1,100,150,0,0,50,1,2,0,120,6,Neutral,0,0,0,96726,89,Größere Bombe mit mehr Sprengkraft durch\neine größere Pulverladung. Schädigt den Feind.,96255,94,Contiene más cantidad de pólvora para crear una\nmayor explosión. Provoca daño en el enemigo.,96794,89,Grosse bombe contenant plus de poudre pour une\nexplosion puissante. Endommage l'ennemi.,95656,82,"A larger bomb, packed with more gunpowder for a\nbigger blast. Damages the enemy."
482,2352243256,112932,16,Concussion Bomb,112815,17,Bomba de Impacto,113568,16,Bombe explosive,111565,16,Concussion Bomb,1,"","",X,107,Damage (Ship),-1,100,200,0,0,50,2,6,0,150,6,Neutral,0,0,0,96815,84,Bombe mit doppelt so viel Sprengkraft wie\neine Standard-Bombe. Schädigt den Feind.,96349,88,Con el doble de potencia de fogueo que una\nbomba estándar. Provoca daño en el enemigo.,96883,87,Bombe qui a 2 fois plus de puissance de feu\nqu'une bombe normale. Endommage l'ennemi.,95738,79,A bomb that packs double the firepower of a\nstandard bomb. Damages the enemy.
483,2352243272,112948,14,Shredder Bomb,112832,16,Bomba Explosiva,113584,15,Bombe mortelle,111581,14,Shredder Bomb,1,"","",X,107,Damage (Ship),-1,100,480,0,0,50,3,24,0,250,6,Neutral,0,0,0,96899,92,"Bombe, die für maximale Explosionskraft und\nGröße entwickelt wurde. Schädigt Feind massiv.",96437,90,Bomba diseñada para lograr una gran potencia\nde explosión. Produce gran daño al enemigo.,96970,93,Bombe purement conçue pour son pouvoir explosif\net sa taille. Endommage gravement l'ennemi.,95817,86,A bomb designed for pure explosive power and\nsize. Does massive damage to the enemy.
484,2352243288,112962,10,Pyro Bomb,112848,15,Bomba de Fuego,113599,11,Bombe Pyro,111595,10,Pyro Bomb,1,"","",X,107,Damage (Ship),-1,100,450,0,0,50,4,21,0,240,1,Red,1,0,0,96991,98,"Bombe, bei der Red Moon-Staub unter das Schieß-\npulver gemischt wurde. Entwickelt extreme Hitze.",96527,87,"Bomba especial, mezcla de Polvo de Luna\nRoja y pólvora. La explosión es muy abrasiva.",97063,91,Bombe spéciale avec de la Poussière de Lune\nRouge mélangée à la poudre. Explosion de feu.,95903,89,A special bomb with Red Moon Dust mixed\ninto the gunpowder. Has an extremely hot blast.
485,2352243300,112972,11,Frost Bomb,112863,15,Bomba de Hielo,113610,10,Bombe Gel,111605,11,Frost Bomb,1,"","",X,107,Damage (Ship),-1,100,600,0,0,50,5,10,0,240,2,Purple,1,0,0,97089,89,Spezielle Bombe mit Purple Moon-Staub im Schieß-\npulver. Ergibt extrem kalte Explosion.,96614,86,"Bomba especial, mezcla de Polvo de Luna\nPúrpura y pólvora. La explosión es heladora.",97154,93,Bombe spéciale avec de la Poussière de Lune\nMauve mélangée à la poudre. Explosion de glace.,95992,93,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has an extremely cold blast.
486,2352243312,112983,14,Silencer Bomb,112878,15,Bomba Silencio,113620,14,Bombe Furtive,111616,14,Silencer Bomb,1,"","",X,116,Add Silence (Ship),-1,100,600,0,0,50,6,25,0,0,0,Green,0,165,80,97178,90,Spezielle Bombe mit Purple Moon-Staub im\nSchießpulver. Hat einen Sylenis-artigen Effekt.,96700,97,"Bomba especial, mezcla de Polvo de Luna Púrpura\ny pólvora. Su efecto es parecido al de Sylenis.",97247,88,Bombe spéciale avec de la Poussière de Lune\nMauve mélangée à la poudre. Effet Sylenis.,96085,91,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has a Sylenis-like effect.
487,2352243328,112997,13,Thunder Bomb,112893,13,Bomba Trueno,113634,15,Bombe Tonnerre,111630,13,Thunder Bomb,1,"","",X,107,Damage (Ship),-1,100,450,0,0,50,7,28,0,240,4,Yellow,1,0,0,97268,83,Spezielle Bombe mit Yellow Moon-Staub im\nSchießpulver. Hat Eletri-artigen Effekt.,96797,98,"Bomba especial, mezcla de Polvo de Luna Amarilla\ny pólvora. Su efecto es parecido al de Electri.",97335,88,Bombe spéciale avec de la Poussière de Lune\nJaune mélangée à la poudre. Effet Electri.,96176,92,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has an Electri-like effect.
488,2352243344,113010,13,Electro Bomb,112906,14,Bomba Electro,113649,14,Bombe Electro,111643,13,Electro Bomb,1,"","",X,106,Add Weak (Ship),-1,100,600,0,0,50,8,9,0,0,0,Green,0,1,80,97351,84,Spezielle Bombe mit Yellow Moon-Staub im Schieß-\npulver. Hat Driln-artigen Effekt.,96895,97,"Bomba especial, mezcla de Polvo de Luna Amarilla \ny pólvora. Su efecto es parecido al de Driln.",97423,86,Bombe spéciale avec de la Poussière de Lune\nJaune mélangée à la poudre. Effet Driln.,96268,89,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has a Driln-like effect.
489,2352243360,113023,10,Wave Bomb,112920,11,Bomba Ola,113663,12,Bombe Vague,111656,10,Wave Bomb,1,"","",X,107,Damage (Ship),-1,100,600,0,0,50,9,29,0,240,3,Blue,1,0,0,97435,85,Spezielle Bombe mit Blue Moonstone-Staub im\nSchießpulver. Hat Wevli-artigen Effekt.,96992,92,"Bomba especial, mezcla de Polvo de Luna Azul\ny pólvora. Su efecto es parecido al de Wevli.",97509,86,Bombe spéciale avec de la Poussière de Lune\nBleue mélangée à la poudre. Effet Wevli.,96357,92,A special bomb with Blue Moonstone dust mixed\ninto the gunpowder. Has a Wevli-like effect.
490,2352243372,113033,11,Repair Kit,112931,11,Reparación,113675,15,Kit réparation,111666,11,Repair Kit,5,X,"",X,100,Recover HP (Ship),-1,100,30,0,0,50,10,22,0,400,0,Green,0,0,0,97520,84,Material zum Reparieren von geringen Schäden am\nSchiff. Stellt 4000 HP wieder her.,97084,83,Materiales que reparan deterioro pequeño\nel navío. Restaura 4000 puntos de Salud.,97595,80,Matériel de réparation pour des dégâts mineurs\nsur le navire. Redonne 4000 PV.,96449,67,"Repair materials for minor damage to the ship.\nRestores 4,000 HP."
491,2352243384,113044,11,Deluxe Kit,112942,14,Equipo Deluxe,113690,12,Kit de luxe,111677,11,Deluxe Kit,5,X,"",X,100,Recover HP (Ship),-1,100,75,0,0,50,11,8,0,800,0,Green,0,0,0,97604,84,Material zum Reparieren von geringen Schäden am\nSchiff. Stellt 8000 HP wieder her.,97167,79,Materiales que reparan el deterioro del\nnavío. Restaura 8000 puntos de Salud.,97675,80,Matériel de réparation pour des dégâts mineurs\nsur le navire. Redonne 8000 PV.,96516,70,"Repair materials for moderate damage to the\nship. Restores 8,000 HP."
492,2352243396,113055,10,Magic Kit,112956,14,Equipo Mágico,113702,12,Kit Magique,111688,10,Magic Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,0,50,12,19,0,0,0,Green,0,0,0,97688,89,"Reparaturmaterial, das mit Green Moon-Staub\nvermischt wurde. Stellt alle HP wieder her.",97246,92,"Materiales de reparación con Polvo de Luna\nVerde, muy efectivos y restauran toda la Salud.",97755,96,Kit de réparation avec de la poussière de Lune\nVerte pour plus de puissance. Rend tous les PV.,96586,93,Repair materials mixed with Green Moon Dust\nfor greater restorative power. Restores all HP.
493,2352243408,113065,13,Complete Kit,112970,16,Equipo Completo,113714,12,Kit Complet,111698,13,Complete Kit,5,X,"",X,101,Recover HP to 100% (Ship),-1,100,300,0,0,50,13,5,0,0,0,Green,0,0,0,97777,95,Materialien hoher Qualität zum Reparieren mit\nreinen Mondsteinen. Stellen alle HP wieder her.,97338,95,"Materiales de reparacion de gran calidad, con\nPiedras Lunares puras. Restauran toda la Salud.",97851,95,Matériel de réparation de qualité qui utilise\ndes Pierres de Lune pures. Redonne tous les PV.,96679,72,High-quality repair materials using pure\nMoon Stones. Restores all HP.
