Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Occ. flags,[M],[B],[S],Effect ID,[Effect name],Scope ID,[Scope name],Consume%,Retail price in %,Order by prio.,EU order by ABC,Pad. #0,Purchase price,Pad. #1,Pad. #2,Effect value,Element ID,[Element name],Type ID,[Type name],State ID,[State name],Hit%,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
240,0x8c3452e8,0x1a8d2,14,Sacri Crystal,0x1a7ce,14,Cristal Sacri,0x1aae6,14,Cristal Sacri,0x1a384,14,Sacri Crystal,0x6,X,X,"",31,Recover HP,1,One character,100,50,0,55,0,20,0,0,500,-1,None,-1,None,0,Poison,0,0x138e9,94,Verzauberter Kristall von den Magiern des Green\\nMoon. Erneuert 500 HP für einen Verbündeten.,0x13690,98,Cristal encantado hecho por los Magos de la Luna\\nVerde. Repone 500 puntos de Salud de un aliado.,0x13817,85,Un cristal enchanté créé par les Mages de la\\nLune Verte. Redonne 500 PV à un allié.,0x134b8,88,An enchanted crystal created by Mages of the\\nGreen Moon. Restores 500 HP for one ally.
241,0x8c3452f8,0x1a8e0,15,Sacres Crystal,0x1a7dc,15,Cristal Sacres,0x1aaf4,15,Cristal Sacres,0x1a392,15,Sacres Crystal,0x6,X,X,"",31,Recover HP,1,One character,100,50,1,53,0,60,0,0,1000,-1,None,-1,None,0,Poison,0,0x13947,95,Verzauberter Kristall von den Magiern des Green\\nMoon. Erneuert 1000 HP für einen Verbündeten.,0x136f2,99,Cristal encantado hecho por los Magos de la Luna\\nVerde. Repone 1000 puntos de Salud de un aliado.,0x1386c,86,Un cristal enchanté créé par les Mages de la\\nLune Verte. Redonne 1000 PV à un allié.,0x13510,90,"An enchanted crystal created by Mages of the\\nGreen Moon. Restores 1,000 HP for one ally."
242,0x8c345308,0x1a8ef,15,Sacrum Crystal,0x1a7eb,15,Cristal Sacrum,0x1ab03,15,Cristal Sacrum,0x1a3a1,15,Sacrum Crystal,0x6,X,X,"",31,Recover HP,2,All characters,100,50,2,58,0,600,0,0,1000,-1,None,-1,None,0,Poison,0,0x139a6,94,Verzauberter Kristall von den Magiern des Green\\nMoon. Erneuert 1000 HP für alle Verbündeten.,0x13755,99,"Cristal encantado de los Magos de la Luna Verde,\\nrepone 1000 puntos de Salud a todos los aliados.",0x138c2,93,Un cristal enchanté créé par les Mages de la\\nLune Verte. Redonne 1000 PV à tous les alliés.,0x1356a,92,"An enchanted crystal created by Mages of the\\nGreen Moon. Restores 1,000 HP for all allies."
243,0x8c345318,0x1a8fe,17,Sacrulen Crystal,0x1a7fa,17,Cristal Sacrulen,0x1ab12,17,Cristal Sacrulen,0x1a3b0,17,Sacrulen Crystal,0x6,X,X,"",32,Recover HP to 100%,1,One character,100,50,3,57,0,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x13a04,95,Verzauberter Kristall von den Magiern des Green\\nMoon. Erneuert alle HP für einen Verbündeten.,0x137b8,95,"Un cristal encantado, creado por magos de la\\nLuna Verde. Repone toda la Salud de los aliados.",0x1391f,90,Un cristal enchanté créé par les Mages de la\\nLune Verte. Redonne tous les PV à un allié.,0x135c6,88,An enchanted crystal created by Mages of the\\nGreen Moon. Restores all HP for one ally.
244,0x8c34532c,0x1a90f,14,Magic Droplet,0x1a80b,12,Gota Mágica,0x1ab23,15,Goutte Magique,0x1a3c1,14,Magic Droplet,0x7,X,X,X,48,Recover MP,1,One character,100,50,4,31,0,40,0,0,1,-1,None,-1,None,0,Poison,0,0x13a63,89,Aus den Tautropfen eines magischen Baums\\ngewonnen. Erneuert 1 MP für einen Verbündeten.,0x13817,72,Gota de rocío de un árbol mágico.\\nRepone 1 punto de Magia a un aliado.,0x13979,88,Créée à partir de la rosée qui se forme sur un\\narbre magique. Redonne 1 PM à un allié.,0x1361e,80,Created from the dew that forms on a magical\\ntree. Restores 1 MP for one ally.
245,0x8c34533c,0x1a91d,10,Magic Dew,0x1a817,13,Rocío Mágico,0x1ab32,14,Rosée Magique,0x1a3cf,10,Magic Dew,0x7,X,X,X,48,Recover MP,1,One character,100,50,5,30,0,400,0,0,10,-1,None,-1,None,0,Poison,0,0x13abc,79,Konzentriertere Form des Magic Droplet.\\nErneuert 10 MP für einen Verbündeten.,0x1385f,80,Fórmula más concentrada de Gota Mágica.\\nRepone 10 puntos de Magia a un aliado.,0x139d1,75,Une forme plus concentrée de la Goutte\\nMagique. Redonne 10 PM à un allié.,0x1366e,77,A more concentrated form of the Magic Droplet.\\nRestores 10 MP for one ally.
246,0x8c345348,0x1a927,14,Aura of Valor,0x1a824,14,Aura de Valor,0x1ab40,17,Aura de Bravoure,0x1a3d9,14,Aura of Valor,0x3,"",X,X,35,Recover SP,2,All characters,100,50,6,1,0,2000,0,0,99,-1,None,-1,None,0,Poison,0,0x13b0b,73,"Heiliger Stein, der den Spirit der Gruppe\\nauf heroisches Niveau anhebt.",0x138af,90,Piedra sagrada que aumenta el Espíritu del\\ngrupo entero hasta alcanzar niveles heroicos.,0x13a1c,83,Une pierre sacrée qui remonte l'Esprit de tout\\nle groupe à des niveaux héroïques.,0x136bb,77,A sacred stone that boosts the Spirit of the\\nentire party to heroic levels.
247,0x8c345358,0x1a935,13,Soul Crystal,0x1a832,17,Cristal del Alma,0x1ab51,14,Cristal d'Âme,0x1a3e7,13,Soul Crystal,0x0,"","","",-1,None,0,None,0,100,49,62,0,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x13b54,64,"Wertvoller Schatz, den Zivilyn Bane auf\\nDaccat's Island sucht.",0x13909,63,Valioso tesoro buscado por Zivilyn Bane en la\\nIsla de Daccat.,0x13a6f,68,Un précieux trésor recherché par Zivilyn Bane\\nsur l'Île de Daccat.,0x13708,64,A valuable treasure sought by Zivilyn Bane on\\nDaccat's Island.
248,0x8c345368,0x1a942,14,Unholy Dagger,0x1a843,12,Daga Impura,0x1ab5f,15,Poignard Impie,0x1a3f4,14,Unholy Dagger,0x0,"","","",-1,None,0,None,0,100,50,69,0,4000,0,0,0,0,Green,0,Physical,0,Poison,0,0x13b94,62,"Wertvoller Schatz, den Zivilyn Bane im\\nGrand Fortress sucht.",0x13948,63,Valioso tesoro buscado por Zivilyn Bane en la\\nGran Fortaleza.,0x13ab3,74,Un précieux trésor recherché par Zivilyn Bane\\ndans la Grande Forteresse.,0x13748,67,A valuable treasure sought by Zivilyn Bane in\\nthe Grand Fortress.
249,0x8c345378,0x1a950,14,Curia Crystal,0x1a84f,14,Cristal Curia,0x1ab6e,14,Cristal Curia,0x1a402,14,Curia Crystal,0x2,"",X,"",30,Remove negative states,1,One character,100,50,7,7,0,30,0,0,0,0,Green,0,Physical,7,Revival,0,0x13bd2,97,"Verzauberter Kristall, hebt negative Effekte bei\\neinem Verbündeten auf, außer Bewusstlosigkeit.",0x13987,82,Un cristal encantado que cura de todos\\nlos efectos adversos menos inconsciencia.,0x13afd,90,Cristal ensorcelé qui guérit un allié de tous\\nles effets néfastes à part l'inconscience.,0x1378b,92,"An ensorcelled crystal that cures all adverse\\neffects on one ally, except for Unconscious."
