Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect Spirit,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect Spirit,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.,[DE Ship Descr. Pos.],[DE Ship Descr. Size],DE Ship Descr. Str.,[ES Ship Descr. Pos.],[ES Ship Descr. Size],ES Ship Descr. Str.,[FR Ship Descr. Pos.],[FR Ship Descr. Size],FR Ship Descr. Str.,[GB Ship Descr. Pos.],[GB Ship Descr. Size],GB Ship Descr. Str.
0,0x8c3444cc,0x19a1b,7,Increm,0x19825,7,Increm,0x19b4e,7,Increm,0x194e3,7,Increm,1,Red,0,120,0x3,"",X,X,21,Add Strengthen,1,One Character,6,Magic,0,4,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),4,2,0,-1,0,0,0,0xe00e,97,Erhöht Angriffskraft und Verteidigung des Ziels\\nZiels um 25%.                              SP 4,0xdf58,93,Aumenta la potencia de ataque y la defensa\\ndel objetivo en un 25%.                     SEP4,0xdf86,90,Augmente les puissances d'attaque et de\\ndéfense de la cible de 25%.                 ES 4,0xdd43,92,Increases both Attack Power and Defense of\\ntarget by 25%.                             SP 4,0x183d9,86,Verbessert Angriff und Verteidigung\\nfür 2 Durchgänge um 25%.                    4 SP,0x18219,91,Aumenta el poder de ataque de tu barco y\\nel poder de defensa en un 25% por 2 turnos.  4SP,0x1843a,98,Augmente les puissances d'attaque et de défense\\nde votre navire de 25% pour 2 tours.        4 ES,0x17f3a,85,Increases your ship's Attack power\\nand Defense power by 25% for 2 turns.       4 SP
1,0x8c3444d4,0x19a22,9,Incremus,0x1982c,9,Incremus,0x19b55,9,Incremus,0x194ea,9,Incremus,1,Red,0,121,0x3,"",X,X,21,Add Strengthen,2,All Characters,6,Magic,0,16,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),16,4,0,-1,0,0,0,0xe06f,92,Erhöht Angriffskraft und Verteidigung der\\ngesamten Gruppe um 25%.                    SP 16,0xdfb5,93,Aumenta la potencia de ataque y la defensa\\nde un grupo entero en un 25%.              SEP16,0xdfe0,98,Augmente les puissances d'attaque et de défense\\npour tout le groupe de 25%.                ES 16,0xdd9f,97,Increases both Attack Power and Defense of the\\nentire party by 25%.                       SP 16,0x1842f,86,Verbessert Angriff und Verteidigung\\nfür 4 Durchgänge um 25%.                   16 SP,0x18274,94,Aumenta el poder de ataque de tu barco y el\\npoder de defensa en un 25% por 4 turnos.    16SP,0x1849c,98,Augmente les puissances d'attaque et de défense\\nde votre navire de 25% pour 4 tours.       16 ES,0x17f8f,85,Increases your ship's Attack power\\nand Defense power by 25% for 4 turns.      16 SP
2,0x8c3444e0,0x19a2b,8,Sylenis,0x19835,8,Sylenis,0x19b5e,8,Sylenis,0x194f3,8,Sylenis,2,Purple,0,20,0x3,"",X,X,12,Add Silence,3,One Enemy,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Add Silence (Ship),2,2,0,-1,0,0,0,0xe0cb,91,"Hält Ziel davon ab, Zauber zu aktivieren,\\nindem es zum Schweigen gebracht wird.      SP 2",0xe012,90,"Evita que el objetivo conjure hechizos,\\nsilenciando estos hechizos.                 SEP2",0xe042,95,Empêche les cibles de jeter des sorts en les\\nréduisant au Silence.                       ES 2,0xde00,92,Prevents target from casting any spells by\\nSilencing them.                            SP 2,0x18485,94,Verhindert Zaubersprüche von Feindschiffen.\\nErfordert Spezialausrüstung.                2 SP,0x182d2,92,Impide que navíos enemigos usen hechizos.\\nLanzar hechizos requiere un equipo especial. 2SP,0x184fe,98,Empêche les navires ennemis de jeter des sorts.\\nÉquipement spécial requis.                  2 ES,0x17fe4,92,Prevents enemy ships from casting spells.\\nSpecial equipment is needed to cast.        2 SP
3,0x8c3444e8,0x19a33,7,Panika,0x1983d,7,Panika,0x19b66,7,Panika,0x194fb,7,Panika,2,Purple,0,130,0x2,"",X,"",11,Add Confusion,3,One Enemy,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe126,93,"Bringt ein Ziel dazu, das nahegelegene Ziel\\nanzugreifen.                               SP 3",0xe06c,90,"Crea confusión en uno de los objetivos,\\nllevándole a atacar al más próximo.         SEP3",0xe0a1,85,Désoriente la cible qui s'en prend\\nau plus proche.                             ES 3,0xde5c,92,Confuses one target into attacking nearest\\ntarget.                                    SP 3,0x184e3,30,Kann nicht benutzt werden.\\n ,0x1832e,20,No puede usarse.\\n ,0x18560,25,Ne peut être utilisé.\\n ,0x18040,24,Cannot be used.\\n------
4,0x8c3444f0,0x19a3a,6,Driln,0x19844,6,Driln,0x19b6d,6,Driln,0x19502,6,Driln,4,Yellow,0,140,0x3,"",X,X,26,Add Weak,3,One Enemy,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),3,2,0,-1,0,0,0,0xe183,94,Schwächt ein Feindziel. Senkt alle Attribute\\num 25%.                                    SP 3,0xe0c6,95,"Debilita a un objetivo enemigo, disminuyendo\\nsus poderes en un 25%.                      SEP3",0xe0f6,96,Affaiblit une cible ennemie. Diminue tous les\\nattributs de 25%.                           ES 3,0xdeb8,97,Weakens one enemy target. Lowers all attributes\\nby 25%.                                    SP 3,0x18501,95,Verringert Attribute des Feindschiffes für 2\\nDurchgänge. Erfordert Spezialausrüstung.    3 SP,0x18342,99,Reduce los atributos del navío enemigo 2 turnos.\\nLanzar hechizos requiere un equipo especial. 3SP,0x18579,97,Réduit les attributs de l'ennemi pour 2 tours.\\nÉquipement requis pour lancer le sort.      3 ES,0x18058,94,Lowers enemy ship's attributes for 2 turns.\\nSpecial equipment is needed to cast.        3 SP
5,0x8c3444f8,0x19a40,8,Drilnos,0x1984a,8,Drilnos,0x19b73,8,Drilnos,0x19508,8,Drilnos,4,Yellow,0,141,0x3,"",X,X,26,Add Weak,4,All Enemies,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),6,4,0,-1,0,0,0,0xe1e1,90,Schwächt alle Feinde auf dem Bildschirm.\\nSenkt alle Attribute um 25%.               SP 6,0xe125,91,Debilita a todos los enemigos que hay en\\npantalla y disminuye sus atributos un 25%.  SEP6,0xe156,96,Affaiblit tous les ennemis à l'écran. Diminue\\ntous les attributs de 25%.                  ES 6,0xdf19,91,Weakens all enemies on screen. Lowers all\\nattributes by 25%.                         SP 6,0x18560,95,Verringert Attribute des Feindschiffes für 4\\nDurchgänge. Erfordert Spezialausrüstung.    6 SP,0x183a5,99,Reduce los atributos del navío enemigo 4 turnos.\\nLanzar hechizos requiere un equipo especial. 6SP,0x185da,97,Réduit les attributs de l'ennemi pour 4 tours.\\nÉquipement spécial requis pour ensorceller. 6 ES,0x180b6,94,Lowers enemy ship's attributes for 4 turns.\\nSpecial equipment is needed to cast.        6 SP
6,0x8c344500,0x19a48,6,Sacri,0x19852,6,Sacri,0x19b7b,6,Sacri,0x19510,6,Sacri,0,Green,0,40,0x7,X,X,X,31,Recover HP,1,One Character,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),2,-1,400,-1,0,0,0,0xe23b,91,Bringt 500 HP für einen Verbündeten. Kann\\nauch außerhalb des Kampfes benutzt werden. SP 2,0xe180,91,Repone 500 puntos de Salud a los aliados\\ny puede usarse fuera de la batalla.         SEP2,0xe1b6,95,Redonne 500 PV à l'un des alliés. Peut aussi\\nêtre utilisé hors combat.                   ES 2,0xdf74,94,Restores 500 HP to any one ally. Can also be\\nused outside of battle.                    SP 2,0x185bf,94,Repariert Schaden bis zu 4000 HP. Kann auch\\naußerhalb des Kampfes angewendet werden.    2 SP,0x18408,92,Repara 4000 puntos de Salud de deterioro.\\nPuede usarse fuera de la batalla también.    2SP,0x1863b,96,Répare les dégâts pour une valeur de 4000 PV.\\nCe sort peut aussi être lancé hors combat.  2 ES,0x18114,96,"Repairs 4,000 HP worth of damage. Can be cast\\noutside of battle as well.                  2 SP"
7,0x8c344508,0x19a4e,7,Sacres,0x19858,7,Sacres,0x19b81,7,Sacres,0x19516,7,Sacres,0,Green,0,41,0x7,X,X,X,31,Recover HP,1,One Character,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),4,-1,800,-1,0,0,0,0xe296,92,Bringt 1000 HP für einen Verbündeten. Kann\\nauch außerhalb des Kampfes benutzt werden. SP 4,0xe1db,92,Repone 1000 puntos de Salud a los aliados\\ny puede usarse fuera de la batalla.         SEP4,0xe215,96,Redonne 1000 PV à l'un des alliés. Peut aussi\\nêtre utilisé hors bataille.                 ES 4,0xdfd2,96,"Restores 1,000 HP to any one ally. Can also be\\nused outside of battle.                    SP 4",0x1861d,94,Repariert Schaden bis zu 8000 HP. Kann auch\\naußerhalb des Kampfes angewendet werden.    4 SP,0x18464,93,Repara 8000 puntos de Salud de deterioro. \\nPuede usarse fuera de la batalla también.    4SP,0x1869b,96,Répare les dégâts pour une valeur de 8000 PV.\\nCe sort peut aussi être lancé hors combat.  4 ES,0x18174,96,"Repairs 8,000 HP worth of damage. Can be cast\\noutside of battle as well.                  4 SP"
8,0x8c344510,0x19a55,7,Sacrum,0x1985f,7,Sacrum,0x19b88,7,Sacrum,0x1951d,7,Sacrum,0,Green,0,42,0x6,X,X,"",31,Recover HP,2,All Characters,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,0xe2f2,93,Bringt 1000 HP für die gesamte Gruppe. Kann\\nauch außerhalb des Kampfes benutzt werden. SP 8,0xe237,87,Repone 1000 puntos de Salud al grupo\\ny puede usarse fuera de la batalla.         SEP8,0xe275,95,Redonne 1000 PV à tout le groupe. Peut aussi\\nêtre utilisé hors bataille.                 ES 8,0xe032,96,"Restores 1,000 HP to entire party. Can also be\\nused outside of battle.                    SP 8",0x1867b,30,Kann nicht benutzt werden.\\n ,0x184c1,20,No puede usarse.\\n ,0x186fb,25,Ne peut être utilisé.\\n ,0x181d4,24,Cannot be used.\\n------
9,0x8c344518,0x19a5c,9,Sacrulen,0x19866,9,Sacrulen,0x19b8f,9,Sacrulen,0x19524,9,Sacrulen,0,Green,0,43,0x7,X,X,X,32,Recover HP to 100%,1,One Character,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP to 100% (Ship),6,-1,0,-1,0,0,0,0xe34f,88,Erneuert gesamte HP eines Verbündeten.\\nAuch außerhalb des Kampfes anwendbar.      SP 6,0xe28e,92,Repone totalmente la Salud de cada aliado\\ny puede usarse fuera de la batalla.         SEP6,0xe2d4,94,Redonne tous les PV à l'un des alliés. Peut\\naussi être utilisé hors bataille.           ES 6,0xe092,98,Completely restores HP of any one ally. Can also\\nbe used outside of battle.                 SP 6,0x18699,97,Repariert allen Schaden an deinem Schiff. Kann\\nauch außerhalb des Kampfes angewendet werden.6SP,0x184d5,88,Repara todo el deterioro de tu barco.\\nPuede usarse fuera de la batalla también.    6SP,0x18714,91,Répare tous les dégâts sur votre navire.\\nCe sort peut aussi être lancé hors combat.  6 ES,0x181ec,95,Repairs all damage on your ship. Can be cast\\noutside of battle as well.                  6 SP
