Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Retail price in %,Order by prio.,EU order by ABC,Padding #0,Purchase price,Padding #1,Padding #2,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
320,2352240408,109711,14,Green Crystal,109544,14,Cristal Verde,110355,13,Cristal Vert,108353,14,Green Crystal,0,7,12,0,0,0,0,86498,84,"Altertümliches Juwel, das die Kraft des Lebens\nenthält. Kann Green Gigas aufrufen.",85970,93,Gema ancestral que contiene el poder de la vida.\nTiene el poder de convocar al Gigas Verde.,86330,90,Pierre ancienne qui détient le pouvoir de la\nvie. A le pouvoir d'invoquer le Gigas Vert.,85364,93,An ancient gem that contains the power of life.\nIt has the power to summon the Green Gigas.
321,2352240424,109725,12,Red Crystal,109558,13,Cristal Rojo,110368,14,Cristal Rouge,108367,12,Red Crystal,0,6,24,0,0,0,0,86582,82,"Altertümliches Juwel, das die Kraft des Feuers\nenthält. Kann Red Gigas aufrufen.",86063,91,Gema ancestral que contiene el poder del fuego.\nTiene el poder de convocar al Gigas Rojo.,86420,93,Pierre ancienne qui détient le pouvoir du feu.\nElle a le pouvoir d'invoquer le Gigas Rouge.,85457,91,An ancient gem that contains the power of fire.\nIt has the power to summon the Red Gigas.
322,2352240436,109737,15,Purple Crystal,109571,16,Cristal Púrpura,110382,14,Cristal Mauve,108379,15,Purple Crystal,0,9,21,0,0,0,0,86664,84,"Altertümliches Juwel, das die Kraft des Eises\nenthält. Kann Purple Gigas aufrufen.",86154,94,Gema ancestral que contiene el poder del hielo.\nTiene el poder de convocar al Gigas Purpura.,86513,90,Pierre ancienne qui détient le pouvoir de glace.\nA le pouvoir d'invoquer le Gigas Mauve.,85548,93,An ancient gem that contains the power of ice.\nIt has the power to summon the Purple Gigas.
323,2352240452,109752,13,Blue Crystal,109587,13,Cristal Azul,110396,14,Cristal Bleue,108394,13,Blue Crystal,0,8,0,0,0,0,0,86748,83,Altertümliches Juwel mit der Kraft von Wind und\nWasser. Kann Blue Gigas aufrufen.,86248,90,Gema ancestral que contiene el poder del viento\ny el agua. Puede convocar al Gigas Azul.,86603,90,Pierre ancienne au pouvoir de vent et d'eau.\nElle a le pouvoir d'invoquer le Gigas Bleu.,85641,93,An ancient gem with the power of wind and water.\nIt has the power to summon the Blue Gigas.
324,2352240468,109765,15,Yellow Crystal,109600,17,Cristal Amarillo,110410,14,Cristal Jaune,108407,15,Yellow Crystal,0,10,33,0,0,0,0,86831,77,Altertümliches Juwel mit der Kraft des Blitzes.\nKann Yellow Gigas aufrufen.,86338,94,Gema ancestral que contiene el poder del rayo.\nTiene el poder de convocar al Gigas Amarillo.,86693,92,Pierre ancienne qui a le pouvoir de l'éclair.\nElle a le pouvoir d'invoquer le Gigas Jaune.,85734,90,An ancient gem with the power of lightning.\nIt has the power to summon the Yellow Gigas.
325,2352240484,109780,10,GINGESSHO,109617,10,GINGESSHO,110424,10,GINGESSHO,108422,10,GINGESSHO,0,38,-1,0,0,0,0,86908,8,CUT.\n,86432,8,CUT.\n,86785,8,CUT.\n,85824,13,CUT.\n------
326,2352240492,109790,17,Green Moon Stone,109627,13,Piedra Verde,110434,13,Pierre Verte,108432,17,Green Moon Stone,0,0,13,0,0,0,0,86916,78,Ein Mondstein vom Green Moon. Er kann Waffen\ndie Kräfte der Natur verleihen.,86440,92,Piedra Lunar procedente de la Luna Verde.\nOtorga a las armas los poderes de la naturaleza.,86793,95,Une Pierre de Lune de la Lune Verte. Elle peut\ninsuffler les pouvoirs de la nature aux armes.,85837,84,A Moon Stone from the Green Moon. It can infuse\nweapons with the powers of nature.
327,2352240512,109807,15,Red Moon Stone,109640,12,Piedra Roja,110447,13,Pierre Rouge,108449,15,Red Moon Stone,0,1,25,0,0,0,0,86994,76,Ein Mondstein vom Red Moon. Er kann Waffen\ndie Kraft des Feuers verleihen.,86532,84,Piedra Lunar procedente de la Luna Roja.\nOtorga a las armas los poderes del fuego.,86888,89,Une Pierre de Lune de la Lune Rouge. Elle peut\ninsuffler les pouvoirs du feu aux armes.,85921,80,A Moon Stone from the Red Moon. It can infuse\nweapons with the powers of fire.
328,2352240528,109822,17,Purple MoonStone,109652,15,Piedra Púrpura,110460,13,Pierre Mauve,108464,17,Purple MoonStone,0,2,22,0,0,0,0,87070,78,Ein Mondstein vom Purple Moon. Er kann Waffen\ndie Kraft des Eises verleihen.,86616,87,Piedra Lunar procedente de la Luna Púrpura.\nOtorga a las armas los poderes del hielo.,86977,94,Une Pierre de Lune de la Lune Mauve. Elle peut\ninsuffler les pouvoirs de la glace aux armes.,86001,82,A Moon Stone from the Purple Moon. It can infuse\nweapons with the powers of ice.
329,2352240548,109839,16,Blue Moon Stone,109667,12,Piedra Azul,110473,13,Pierre Bleue,108481,16,Blue Moon Stone,0,3,1,0,0,0,0,87148,87,Ein Mondstein vom Blue Moon. Er kann Waffen die\nKräfte von Wind und Wasser verleihen.,86703,96,Piedra Lunar procedente de la Luna Azul. Otorga\na las armas los poderes del viento y del agua.,87071,91,Une Pierre de Lune de la Lune Bleue. Peut donner\nles pouvoirs de vent et d'eau aux armes.,86083,91,A Moon Stone from the Blue Moon. It can infuse\nweapons with the powers of wind and water.
330,2352240564,109855,17,Yellow MoonStone,109679,16,Piedra Amarilla,110486,13,Pierre Jaune,108497,17,Yellow MoonStone,0,4,34,0,0,0,0,87235,80,Ein Mondstein vom Yellow Moon. Er kann Waffen\ndie Kraft des Blitzes verleihen.,86799,84,Piedra Lunar procedente de la Luna Amarilla.\nOtorga a las armas el poder del rayo.,87162,89,Une Pierre de Lune de la Lune Jaune. Peut\ninsuffler les pouvoirs de l'éclair aux armes.,86174,88,A Moon Stone from the Yellow Moon. It can infuse\nweapons with the powers of lightning.
331,2352240584,109872,17,Silver MoonStone,109695,16,Piedra de Plata,110499,16,Pierre d'Argent,108514,17,Silver MoonStone,0,5,27,0,0,0,0,87315,87,Ein Mondstein vom Silver Moon. Er kann Waffen\ndie Kräfte von Leben und Tod verleihen.,86883,87,Piedra Lunar de la Luna de Plata. Otorga a las\narmas el poder de la vida y la muerte.,87251,93,Une Pierre de Lune de la Lune Argent. Peut\ndonner les pouvoirs de vie et de mort aux armes.,86262,93,A Moon Stone from the Silver Moon. It can infuse\nweapons with the powers of life and death.
332,2352240604,109889,17,Unterwasseranzug,109711,15,Traje Acuático,110515,11,Scaphandre,108531,16,Underwater Suit,0,26,28,0,0,0,0,87402,93,Durch einen Blue Moon Stone kann der Träger\ndieses wasserdichten Anzugs unter Wasser atmen.,86970,88,"Este traje acuático, usando una Piedra Azul,\npermite al usuario respirar bajo el agua.",87344,98,Cette combinaison imperméable permet de respirer\nsous l'eau à l'aide d'une Pierre de Lune Bleue.,86355,89,"Using a Blue Moon Stone, this water-proof suit\nallows the wearer to breathe underwater."
333,2352240620,109906,13,Flaschenpost,109726,5,Nota,110526,12,Message SOS,108547,17,Note in a Bottle,0,12,19,0,0,0,0,87495,95,"Eine Flaschenpost mit der Nachricht: “Quetya\nbitte sende Krieger, um uns kämpfen zu helfen.”",87058,85,Nota en una botella que dice: “Quetya\nEnvía guerreros para ayudarnos en la lucha.”,87442,85,Un mot trouvé dans une bouteille disant “Quetya\nEnvoyez des guerriers en renfort.”,86444,86,"A note found in a bottle that says, “Quetya\nPlease send warriors to help us fight.”"
334,2352240640,109919,17,Kanonenschlüssel,109731,16,Llave del Cañón,110538,16,Clé Pièce Canon,108564,16,Cannon Room Key,0,24,3,0,0,0,0,87590,96,Ein großer Stahlschlüssel zum Kanonenraum der\nGroßen Festung. Er hat einen Drachen eingeprägt.,87143,93,Llave de acero para abrir la Sala de Cañones\nde la Gran Fortaleza. Lleva un dragón grabado.,87527,99,Grande clé en acier ouvrant la Pièce du Canon de\nla Grande Forteresse. Porte l'estampe du dragon.,86530,92,"A large, steel key to the Cannon Room of the\nGrand Fortress. It is embossed with a dragon."
335,2352240656,109936,12,Schiffsplan,109747,16,Planos de barco,110554,17,Schéma du navire,108580,16,Ship Schematics,0,28,26,0,0,0,0,87686,94,"Entwurf für ein Schiff, das in die Great Cloud\nSea tauchen und in den Deep Sky abheben kann.",87236,96,Proyecto de un barco que puede sumergirse bajo\nel mar de Grandes Nubes e ir al Cielo Profundo.,87626,97,Plans permettant au navire de s'immerger sous le\nGrand Océan et de monter dans le Ciel Profond.,86622,85,Design for a ship that can submerge under the\nGreat Cloud Sea and go into Deep Sky.
336,2352240672,109948,15,Gonzales Karte,109763,17,Mapa de González,110571,15,Carte Gonzales,108596,14,Gonzales' Map,0,21,9,0,0,0,0,87780,99,"Karte, die auf den Überresten von Gonzales gefun\n-den wurde. Sie wurde in zwei Hälften zerrissen.",87332,94,Mapa encontrado junto a los restos de González.\nParece que el mapa fue rasgado por la mitad.,87723,89,Carte trouvée sur les restes du corps de\nGonzales. Elle semble avoir été déchirée en 2.,86707,88,Map found on the remains of Gonzales. It appears\nthat the map has been ripped in half.
337,2352240688,109963,13,Pedros Karte,109780,14,Mapa de Pedro,110586,15,Carte de Pedro,108610,12,Pedro's Map,0,22,20,0,0,0,0,87879,96,"Karte, die von Pedro kam, als er in Nasrad war.\nSie scheint in zwei Hälften zerrissen zu sein.",87426,82,Mapa entregado por Pedro en Nasrad.\nParece que el mapa fue rasgado por la mitad.,87812,90,Carte envoyée par Pedro quand il était à Nasrad.\nElle semble avoir été déchirée en deux.,86795,91,Map received from Pedro while in Nasrad. It\nappears that the map has been ripped in half.
338,2352240700,109976,14,ALFONSO'S KEY,109794,14,ALFONSO'S KEY,110601,14,ALFONSO'S KEY,108622,14,ALFONSO'S KEY,0,39,35,0,0,0,0,87975,8,CUT.\n,87508,8,CUT.\n,87902,8,CUT.\n,86886,13,CUT.\n------
339,2352240720,109990,15,Golden Man Eye,109808,15,Ojo del Hombre,110615,16,Oeil Homme Doré,108636,17,Golden Man's Eye,0,16,8,0,0,0,0,87983,95,"Ein herrliches orangefarbenes Juwel, das in das\nAuge der Golden-Man-Statue eingelassen wurde.",87516,93,Bella gema de color naranja que estaba engarzada\nen el ojo de la estatua del Hombre Dorado.,87910,91,Belle pierre précieuse orange trouvée incrustée\ndans l'oeil de la statue de l'Homme Doré.,86899,74,"A beautiful, orange gem found set into the eye\nof the Golden Man statue."
340,2352240740,110005,15,Great Bird Eye,109823,15,Ojo del Pájaro,110631,17,Oeil GrandOiseau,108653,17,Great Bird's Eye,0,17,11,0,0,0,0,88078,80,"Ein herrliches blaues Juwel, das in das Auge\ndes Great Bird eingelassen wurde.",87609,83,Preciosa gema de color azul que se encontró\nincrustada en el ojo del Gran Pájaro.,88001,77,Belle pierre précieuse bleue trouvée incrustée\ndans l'oeil du Grand Oiseau.,86973,66,"A beautiful, blue gem found set into the eyes\nof the Great Bird."
341,2352240760,110020,16,Roher Mondstein,109838,11,Roca Lunar,110648,17,Pierre Lune Brut,108670,15,Raw Moon Stone,0,11,23,0,0,0,0,88158,89,"Ein Fels mit Mondsteinerz, der auf Shrine Island\ngefunden wurde. Im Rohzustand nutzlos.",87692,91,Roca con Piedra Lunar encontrada en la Isla de\nShrine. Debe ser refinada antes de usarse.,88078,93,Rocher contenant du minerai de Pierre de Lune\ntrouvé sur l'île du Temple. Doit être traité.,87039,83,A rock containing Moon Stone ore found on Shrine\nIsland. Unusable unless refined.
342,2352240776,110036,14,Daccats Münze,109849,17,Moneda de Daccat,110665,16,Pièce de Daccat,108685,14,Daccat's Coin,100,23,5,0,20000,0,0,88247,98,"Goldmünze, die vom großen Luftpiraten Daccat ge-\nprägt wurde, trägt sein Symbol auf einer Seite.",87783,86,Moneda de oro acuñada por el gran Pirata Aéreo\nDaccat. Lleva su símbolo en una cara.,88171,91,"Pièce d'or monnayée par le grand pirate Daccat,\nelle porte son symbole sur une des faces.",87122,85,"A gold coin minted by the great Air Pirate\nDaccat, it bears his symbol on one side."
