Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #0,Padding #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #2,Padding #3,Padding #4,Ship occ. ID,[Ship occ. name],Padding #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #6,Padding #7,Padding #8,[JP descr. pos.],[JP descr. size],JP descr. str.,[JP ship descr. pos.],[JP ship descr. size],JP ship descr. str.
0,アパ,1,Red,120,3,"",X,X,21,Add Strengthen,1,One character,6,Magic,0,4,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),4,2,0,-1,0,0,0,3370812,88,仲間ひとりを「強壮」の状態にするЖ術。\n攻撃力と防御力が25％ずつ上がる。　　　消費Ｇ＝４,3413928,88,船の攻撃力と防御力を25％上昇させる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝４
1,アポス,1,Red,121,3,"",X,X,21,Add Strengthen,2,All characters,6,Magic,0,16,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),16,4,0,-1,0,0,0,3370900,96,仲間全員を「強壮」の状態にするЖ術。長期戦では\n絶大な効果が期待できるはずだ。　　　　消費Ｇ＝16,3414016,88,船の攻撃力と防御力を25％上昇させる。\n効果は４ターン持続する。　　　　　　　消費Ｇ＝16
2,サイレシャ,2,Purple,20,3,"",X,X,12,Add Silence,3,One enemy,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Add Silence (Ship),2,2,0,-1,0,0,0,3370996,96,一定の確率で敵単体を「沈黙」の状態にするЖ術。\n回復Ж術を多用する敵には、まずこれだ。消費Ｇ＝２,3414104,100,Ж術発射装置によって使用可能。敵のЖ術を封じる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝２
3,パニカ,2,Purple,130,2,"",X,"",11,Add Confusion,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,3371092,96,一定の確率で敵単体を「混乱」の状態にするЖ術。\n混乱した敵は至近距離の誰かを攻撃する。消費Ｇ＝３,3414204,20,使用できません。
4,ダウナ,4,Yellow,140,3,"",X,X,26,Add Weak,3,One enemy,6,Magic,0,3,0,0,0,0,Physical,8,Weak,40,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),3,2,0,-1,0,0,0,3371188,96,一定の確率で敵単体を「衰弱」の状態にするЖ術。\n敵の全基本能力を25％ずつ下げる。　　　消費Ｇ＝３,3414224,100,Ж術発射装置によって使用可能。敵の能力を下げる。\n効果は２ターン持続する。　　　　　　　消費Ｇ＝３
5,ダウノス,4,Yellow,141,3,"",X,X,26,Add Weak,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),6,4,0,-1,0,0,0,3371284,96,一定の確率で敵全体を「衰弱」の状態にするЖ術。\nなかなか使いどころの難しいЖ術だ。　　消費Ｇ＝６,3414324,100,Ж術発射装置によって使用可能。敵の能力を下げる。\n効果は４ターン持続する。　　　　　　　消費Ｇ＝６
6,サプラ,0,Green,40,7,X,X,X,31,Recover HP,1,One character,6,Magic,0,2,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),2,-1,400,-1,0,0,0,3371380,96,仲間ひとりのＨＰを500ポイント回復するЖ術。\n移動中も使用することができる。　　　　消費Ｇ＝２,3414424,84,船のＨＰを4000ポイント修復する。\n移動中も使用することができる。　　　　消費Ｇ＝２
7,サプリィ,0,Green,41,7,X,X,X,31,Recover HP,1,One character,6,Magic,0,4,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP (Ship),4,-1,800,-1,0,0,0,3371476,96,仲間ひとりのＨＰを1000ポイント回復するЖ術。\nサプラでは回復しきれないダメージに。　消費Ｇ＝４,3414508,84,船のＨＰを8000ポイント修復する。\n移動中も使用することができる。　　　　消費Ｇ＝４
8,サプレス,0,Green,42,6,X,X,"",31,Recover HP,2,All characters,6,Magic,0,8,0,0,1000,0,Physical,0,Poison,0,0,0,0,-1,Never,0,-1,None,-1,-1,1000,-1,0,0,0,3371572,92,仲間全員のＨＰを1000ポイント回復するЖ術。\n全体回復のЖ術はこれだけだ。　　　　　消費Ｇ＝８,3414592,16,使用できません
9,サプローネ,0,Green,43,7,X,X,X,32,Recover HP to 100%,1,One character,6,Magic,0,6,0,0,10000,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP to 100% (Ship),6,-1,0,-1,0,0,0,3371664,92,仲間ひとりのＨＰを最大まで回復するЖ術。\n戦闘時より、移動時に使いたいЖ術だ。　消費Ｇ＝６,3414608,76,船のＨＰを完全に修復する。\n移動中も使用することができる。　　　　消費Ｇ＝６
