Entry ID,JP entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Padding #0,Padding #1,Padding #2,Purchase price,Padding #3,Padding #4,Retail price in %,Order by prio.,JP order by ABC,Padding #5,Ship effect amount,Element ID,[Element name],Unknown #0,Unknown #1,Hit%,[JP descr. pos.],[JP descr. size],JP descr. str.
480,爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,100,0,0,50,0,23,0,80,6,Neutral,0,0,0,3411572,72,一般に使用されている、取り扱いの容易な爆弾。\n相手にダメージを与える。
481,大爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,150,0,0,50,1,18,0,120,6,Neutral,0,0,0,3411644,80,サイズを大きくし、火薬量を増やして\n威力を高めた爆弾。相手にダメージを与える。
482,特大爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,200,0,0,50,2,19,0,150,6,Neutral,0,0,0,3411724,80,特別な製法で、火薬量を通常の２倍にまで\n増やした爆弾。相手にダメージを与える。
483,巨大爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,480,0,0,50,3,10,0,250,6,Neutral,0,0,0,3411804,72,限界ギリギリまでサイズを大きくした爆弾。\n相手に大きなダメージを与える。
484,炎の爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,450,0,0,50,4,28,0,240,1,Red,1,0,0,3411876,72,火薬に赤の月Ж石の粉を混ぜた特殊な爆弾。\nバーナに近い効果が得られる。
485,氷の爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,600,0,0,50,5,14,0,240,2,Purple,1,0,0,3411948,72,火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。\nグラシャに近い効果が得られる。
486,封じの爆弾,1,"","",X,116,Add Silence (Ship),-1,100,0,0,0,600,0,0,50,6,25,0,0,0,Green,0,165,80,3412020,76,火薬に紫の月Ж石の粉を混ぜた特殊な爆弾。\nサイレシャに近い効果が得られる。
487,雷の爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,450,0,0,50,7,4,0,240,4,Yellow,1,0,0,3412096,72,火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。\nボルタに近い効果が得られる。
488,バラスト爆弾,1,"","",X,106,Add Weak (Ship),-1,100,0,0,0,600,0,0,50,8,24,0,0,0,Green,0,1,80,3412168,72,火薬に黄の月Ж石の粉を混ぜた特殊な爆弾。\nダウナに近い効果が得られる。
489,波の爆弾,1,"","",X,107,Damage (Ship),-1,100,0,0,0,600,0,0,50,9,20,0,240,3,Blue,1,0,0,3412240,72,火薬に青の月Ж石の粉を混ぜた特殊な爆弾。\nウェイバに近い効果が得られる。
490,修復材,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,0,30,0,0,50,10,15,0,400,0,Green,0,0,0,3412312,84,小破した船体のダメージを修復するための修理素材。\n船体のＨＰを4000ポイント修復する。
491,硬修復材,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,0,75,0,0,50,11,12,0,800,0,Green,0,0,0,3412396,84,中破した船体のダメージを修復するための修理素材。\n船体のＨＰを8000ポイント修復する。
492,強修復材,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,0,0,0,0,50,12,9,0,0,0,Green,0,0,0,3412480,76,緑月晶の粉を溶かし込み回復効力を上げた修復材。\n船体のＨＰを完全に修復する。
493,完全修復材,5,X,"",X,101,Recover HP to 100% (Ship),-1,100,0,0,0,300,0,0,50,13,5,0,0,0,Green,0,0,0,3412556,68,高純度の月Ж石を使った最高の修復材。\n船体のＨＰを完全に回復する。
494,ギアグリス,1,"","",X,102,Recover Spirit (Ship),-1,100,0,0,0,500,0,0,50,14,6,0,10,0,Green,0,0,0,3412624,68,ギアに塗る事で抵抗を減らし力の伝達を良くする。\nガッツが回復する。
495,耐熱ギアグリス,1,"","",X,103,Recover Spirit to 100% (Ship),-1,100,0,0,0,1000,0,0,50,15,17,0,0,0,Green,0,0,0,3412692,60,ギアを高速使用した際の熱ダレを防ぐ。\nガッツが完全回復する。
496,キャプテンマーク,4,X,"","",115,Captain's Stripe,-1,100,0,0,0,0,0,0,50,16,8,0,0,0,Green,0,0,0,3412752,84,砲撃戦に勝利した証しの撃墜マーク。\n使用する事で船の能力が上がり、船体耐久度も増す。
497,アパワックス,1,"","",X,105,Add Strengthen (Ship),2,100,0,0,0,100,0,0,50,17,0,0,0,0,Green,0,0,0,3412836,76,船体と砲身に塗り込む事で攻撃力と防御力が上がる。\n効果は２ターン持続する。
498,アポスワックス,1,"","",X,105,Add Strengthen (Ship),4,100,0,0,0,1000,0,0,50,18,1,0,0,0,Green,0,0,0,3412912,76,船体と砲身に塗り込む事で攻撃力と防御力が上がる。\n効果は４ターン持続する。
499,クイッカワックス,1,"","",X,104,Add Quickened (Ship),1,100,0,0,0,150,0,0,50,19,11,0,0,0,Green,0,0,0,3412988,72,機関部に塗り込む事でエンジンの出力を上げる。\n効果は１ターン持続する。
500,ハイブリワックス,1,"","",X,108,Improve parameters (Ship),4,100,0,0,0,1500,0,0,50,20,22,0,0,0,Green,0,0,0,3413060,88,バルア帝国のデ・ロッコ機関が開発したワックス。\n船体のあらゆる能力が１ターン上昇する。
501,熱源センサー,1,"","",X,112,Improve Critical% (Ship),0,100,0,0,0,2000,0,0,50,21,21,0,0,0,Green,0,0,0,3413148,84,センサーが船の機関部を的確にとらえ\n砲手の射撃を補助する。クリティカル率が上がる。
502,舵のグリス,1,"","",X,113,Decrease Spirit consumption to 50% (Ship),0,100,0,0,0,2000,0,0,50,22,3,0,0,0,Green,0,0,0,3413232,76,舵の操作性が上がり、操舵手の負担を軽くする。\n使用ガッツが減りにくくなる。
503,機関オイル,1,"","",X,114,Increase Spirit restoration to 200% (Ship),0,100,0,0,0,2000,0,0,50,23,7,0,0,0,Green,0,0,0,3413308,96,機関部に使うと出力が安定し、エンジンが良く回る。\n機関士の負担が減り、ガッツ回復が２倍になる。
