Entry ID,[Filter],[Enemy ID],[JP enemy name],Instr. type ID,[Instr. type name],Instr. ID,[Instr. name],Instr. param. ID,[Instr. param. name]
1,*,0,軍艦兵,0,Strategy,21,???,3,???
2,*,0,軍艦兵,1,Action,550,Attack,2,Random character
3,*,0,軍艦兵,1,Action,551,Guard,-1,None
1,*,1,航行士,0,Strategy,42,???,6,???
2,*,1,航行士,0,Strategy,39,???,5,???
3,*,1,航行士,0,Strategy,29,???,6,???
4,*,1,航行士,0,Strategy,30,???,8,???
5,*,1,航行士,0,Strategy,25,???,7,???
6,*,1,航行士,1,Action,550,Attack,2,Random character
7,*,1,航行士,1,Action,79,薬草,7,Injured enemy
8,*,1,航行士,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,0,Strategy,45,???,3,???
2,*,2,ミクラステル,0,Strategy,30,???,4,???
3,*,2,ミクラステル,0,Strategy,28,???,10,???
4,*,2,ミクラステル,0,Strategy,44,???,6,???
5,*,2,ミクラステル,0,Strategy,30,???,7,???
6,*,2,ミクラステル,0,Strategy,24,???,10,???
7,*,2,ミクラステル,0,Strategy,24,???,9,???
8,*,2,ミクラステル,1,Action,550,Attack,1,Common character
9,*,2,ミクラステル,1,Action,4,レーザー,0,???
10,*,2,ミクラステル,1,Action,552,Run,-1,None
1,*,3,マロッカ,0,Strategy,44,???,3,???
2,*,3,マロッカ,0,Strategy,30,???,4,???
3,*,3,マロッカ,0,Strategy,26,???,8,???
4,*,3,マロッカ,0,Strategy,1,???,7,???
5,*,3,マロッカ,0,Strategy,28,???,7,???
6,*,3,マロッカ,1,Action,551,Guard,-1,None
7,*,3,マロッカ,1,Action,550,Attack,1,Common character
8,*,3,マロッカ,1,Action,552,Run,-1,None
1,*,4,アーアペプ,0,Strategy,33,???,3,???
2,*,4,アーアペプ,0,Strategy,22,???,10,???
3,*,4,アーアペプ,0,Strategy,36,???,5,???
4,*,4,アーアペプ,0,Strategy,22,???,9,???
5,*,4,アーアペプ,0,Strategy,23,???,11,???
6,*,4,アーアペプ,0,Strategy,22,???,8,???
7,*,4,アーアペプ,1,Action,550,Attack,2,Random character
8,*,4,アーアペプ,1,Action,551,Guard,-1,None
