Entry ID,JP entry name,Retail price in %,Order by prio.,JP order by ABC,Purchase price,[JP descr. pos.],[JP descr. size],JP descr. str.
320,緑月晶,0,1,20,0,2819804,28,緑の巨人を動かすカギです。
321,赤月晶,0,2,4,0,2819832,28,赤のツボを動かすカギです。
322,紫月晶,0,3,22,0,2819860,28,紫のクジラからツモります。
323,青月晶,0,4,2,0,2819888,28,青のトリからツモります。
324,黄月晶,0,5,8,0,2819916,32,黄のリュウ？からツモります。
325,銀月晶,0,6,10,0,2819948,36,いつ手に入れるのかわかりません。
326,緑の月Ж石,0,7,21,0,2819984,96,これを武器に近づけると、武器のコアが反応して\n武器属性を「緑」に変える。戦闘中も使用できるぞ。
327,赤の月Ж石,0,8,5,0,2820080,96,これを武器に近づけると、武器のコアが反応して\n武器属性を「赤」に変える。戦闘中も使用できるぞ。
328,紫の月Ж石,0,9,23,0,2820176,96,これを武器に近づけると、武器のコアが反応して\n武器属性を「紫」に変える。戦闘中も使用できるぞ。
329,青の月Ж石,0,10,3,0,2820272,28,武器の属性を変えられます。
330,黄の月Ж石,0,11,9,0,0,0,""
331,銀の月Ж石,0,12,11,0,0,0,""
332,潜水服,0,13,13,0,2820300,20,あたたかいです。
333,メリダの手紙,0,14,24,0,2820320,20,なかなか達筆です。
334,ビゴロの鍵,0,15,19,0,2820340,28,ビゴロを動かすカギです。
335,雲海エンジン,0,16,7,0,2820368,36,雲海で取れたイキのいい猿人です。
336,ダカットの宝地図,0,17,16,0,2820404,20,破けた地図です。
337,ダカットの宝地図,0,18,17,0,0,0,""
338,アルフォンソの鍵,0,19,6,0,2820424,32,アルフォンソを動かすカギです。
339,橙色の石,0,20,14,0,2820456,16,わかりません。
340,青色の石,0,21,1,0,0,0,""
341,月Ж石,100,22,12,500,2820472,24,神殿島でツモります。
342,ダカットのコイン,100,23,15,10000,2820496,16,ひみつです。
343,地下港の鍵,0,24,18,0,2820512,88,空賊島の地下港に入るための鍵だ。この地下港は\nなななんと!!　体験版だけのオリジナルだ!!
344,イリマジョリン,0,25,25,0,0,0,""
345,ダミークリア,0,-1,-1,0,0,0,""
346,ダミークリア,0,-1,-1,0,0,0,""
347,ダミークリア,0,-1,-1,0,0,0,""
348,ダミークリア,0,-1,-1,0,0,0,""
349,ダミークリア,0,-1,-1,0,0,0,""
350,ダミークリア,0,-1,-1,0,0,0,""
351,ダミークリア,0,-1,-1,0,0,0,""
352,ダミークリア,0,-1,-1,0,0,0,""
353,ダミークリア,0,-1,-1,0,0,0,""
354,ダミークリア,0,-1,-1,0,0,0,""
355,ダミークリア,0,-1,-1,0,0,0,""
356,ダミークリア,0,-1,-1,0,0,0,""
357,ダミークリア,0,-1,-1,0,0,0,""
358,ダミークリア,0,-1,-1,0,0,0,""
359,ダミークリア,0,-1,-1,0,0,0,""
360,ダミークリア,0,-1,-1,0,0,0,""
361,ダミークリア,0,-1,-1,0,0,0,""
362,ダミークリア,0,-1,-1,0,0,0,""
363,ダミークリア,0,-1,-1,0,0,0,""
364,ダミークリア,0,-1,-1,0,0,0,""
365,ダミークリア,0,-1,-1,0,0,0,""
366,ダミークリア,0,-1,-1,0,0,0,""
367,ダミークリア,0,-1,-1,0,0,0,""
368,ダミークリア,0,-1,-1,0,0,0,""
369,ダミークリア,0,-1,-1,0,0,0,""
370,ダミークリア,0,-1,-1,0,0,0,""
371,ダミークリア,0,-1,-1,0,0,0,""
372,ダミークリア,0,-1,-1,0,0,0,""
373,ダミークリア,0,-1,-1,0,0,0,""
374,ダミークリア,0,-1,-1,0,0,0,""
375,ダミークリア,0,-1,-1,0,0,0,""
376,ダミークリア,0,-1,-1,0,0,0,""
377,ダミークリア,0,-1,-1,0,0,0,""
378,ダミークリア,0,-1,-1,0,0,0,""
379,ダミークリア,0,-1,-1,0,0,0,""
380,ダミークリア,0,-1,-1,0,0,0,""
381,ダミークリア,0,-1,-1,0,0,0,""
382,ダミークリア,0,-1,-1,0,0,0,""
383,ダミークリア,0,-1,-1,0,0,0,""
384,ダミークリア,0,-1,-1,0,0,0,""
385,ダミークリア,0,-1,-1,0,0,0,""
386,ダミークリア,0,-1,-1,0,0,0,""
387,ダミークリア,0,-1,-1,0,0,0,""
388,ダミークリア,0,-1,-1,0,0,0,""
389,ダミークリア,0,-1,-1,0,0,0,""
390,ダミークリア,0,-1,-1,0,0,0,""
391,ダミークリア,0,-1,-1,0,0,0,""
392,ダミークリア,0,-1,-1,0,0,0,""
393,ダミークリア,0,-1,-1,0,0,0,""
394,ダミークリア,0,-1,-1,0,0,0,""
395,ダミークリア,0,-1,-1,0,0,0,""
396,ダミークリア,0,-1,-1,0,0,0,""
397,ダミークリア,0,-1,-1,0,0,0,""
398,ダミークリア,0,-1,-1,0,0,0,""
399,ダミークリア,0,-1,-1,0,0,0,""
