Entry ID,JP Entry Name,Element ID,[Element Name],Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect SP,Pad. 1,Pad. 2,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 3,Pad. 4,Pad. 5,Ship Occ. ID,[Ship Occ. Name],Pad. 6,Ship Effect ID,[Ship Effect Name],Ship Effect SP,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 7,Pad. 8,Pad. 9,[ JP Descr. Pos.],[ JP Descr. Size],JP Descr. Str.
36,カトラスダンス,6,Neutral,200,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,8,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2ae8c0,84,敵１体に大ダメージを与えるヴァイスの技だ。\nダンスのようなリズムで敵をぶった斬るぞ!!
37,エアロスマッシュ,6,Neutral,202,0x2,"",X,"",0,Damage,4,All ECs,0,Vyse,1,15,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2ae914,84,敵全体に大ダメージを与えるヴァイスの技だ。\n超上空から無数のカマイタチを飛ばすぞ!!
38,ジョリーロジャー,6,Neutral,204,0x2,"",X,"",0,Damage,3,Single EC,0,Vyse,1,30,0,0,120,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2ae968,56,ヴァイス攻撃技の第３弾です。\n内容は見てのお楽しみです。
39,オメガサイクロン,6,Neutral,214,0x2,"",X,"",0,Damage,35,???,1,Aika,1,25,0,0,320,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2ae9a0,44,アイカ攻撃技の第３弾です。\n内容は未定です。
40,アルファストーム,6,Neutral,210,0x2,"",X,"",0,Damage,39,EC Ray S3,1,Aika,1,6,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2ae9cc,92,一直線上の敵に大ダメージを与えるアイカの技だ。\n高速回転するブーメランから炎がほとばしるぞ!!
41,ラムダバースト,6,Neutral,212,0x2,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2aea28,76,敵全体に大ダメージを与えるアイカの技だ。\n炎のブーメランが地を切り裂くぞ!!
42,月の封印,6,Neutral,220,0x2,"",X,"",8,"Damage, Stone",3,Single EC,2,Fina,1,8,0,0,50,0,Physical,2,Stone,20,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2aea74,88,敵１体にダメージを与え、さらに石化の状態にする\nファイナの技だ。ペットもがんばってるぞ!!
43,月の波動,6,Neutral,223,0x2,"",X,"",17,Rem. Pos. States 2,4,All ECs,2,Fina,1,30,0,0,300,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2aeacc,60,ファイナ攻撃技の第２弾です。\nＥＣ全体に対する攻撃技です。
44,噴！,6,Neutral,230,0x2,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2aeb08,60,ドラクマ攻撃技の第１弾です。\nＥＣ単体に対する攻撃技です。
45,滅！,6,Neutral,232,0x2,"",X,"",6,"Damage, Unconscious 1",3,Single EC,3,Drachma,1,25,0,0,100,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2aeb44,76,全身のパワーを義手に集中して敵単体に叩き付ける。\nドラクマ船長の超大技だ。
