Entry ID,[Filter],[Enemy ID],[JP Enemy Name],Type ID,[Type Name],Instr. ID,[Instr. Name],Param. ID,[Param. Name]
1,*,0,軍艦兵,0,Branch,21,???,3,Jump To 3
2,*,0,軍艦兵,1,Action,550,Attack,2,Random Character
3,*,0,軍艦兵,1,Action,551,Guard,-1,None
1,*,1,航行士,0,Branch,42,???,6,Jump To 6
2,*,1,航行士,0,Branch,39,Injured Enemy?,5,Jump To 5
3,*,1,航行士,0,Branch,29,???,6,Jump To 6
4,*,1,航行士,0,Branch,30,???,8,Jump To 8
5,*,1,航行士,0,Branch,25,???,7,Jump To 7
6,*,1,航行士,1,Action,550,Attack,2,Random Character
7,*,1,航行士,1,Action,79,薬草,7,Injured Enemy
8,*,1,航行士,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,0,Branch,45,???,3,Jump To 3
2,*,2,ミクラステル,0,Branch,30,???,4,Jump To 4
3,*,2,ミクラステル,0,Branch,28,???,10,Jump To 10
4,*,2,ミクラステル,0,Branch,44,???,6,Jump To 6
5,*,2,ミクラステル,0,Branch,30,???,7,Jump To 7
6,*,2,ミクラステル,0,Branch,24,???,10,Jump To 10
7,*,2,ミクラステル,0,Branch,24,???,9,Jump To 9
8,*,2,ミクラステル,1,Action,550,Attack,1,Same Character
9,*,2,ミクラステル,1,Action,4,レーザー,0,???
10,*,2,ミクラステル,1,Action,552,Run,-1,None
1,*,3,マロッカ,0,Branch,44,???,3,Jump To 3
2,*,3,マロッカ,0,Branch,30,???,4,Jump To 4
3,*,3,マロッカ,0,Branch,26,???,8,Jump To 8
4,*,3,マロッカ,0,Branch,1,???,7,Jump To 7
5,*,3,マロッカ,0,Branch,28,???,7,Jump To 7
6,*,3,マロッカ,1,Action,551,Guard,-1,None
7,*,3,マロッカ,1,Action,550,Attack,1,Same Character
8,*,3,マロッカ,1,Action,552,Run,-1,None
1,*,4,アーアペプ,0,Branch,33,???,3,Jump To 3
2,*,4,アーアペプ,0,Branch,22,???,10,Jump To 10
3,*,4,アーアペプ,0,Branch,36,???,5,Jump To 5
