Entry ID,JP entry name,MAXHP,Will,Defense,MagDef,Green,Red,Purple,Blue,Yellow,Silver,Arm. #0 type ID,[Arm. #0 type name],Arm. #0 attack,Arm. #0 range,Arm. #0 hit%,Arm. #0 element ID,[Arm. #0 element name],Arm. #1 type ID,[Arm. #1 type name],Arm. #1 attack,Arm. #1 range,Arm. #1 hit%,Arm. #1 element ID,[Arm. #1 element name],Arm. #2 type ID,[Arm. #2 type name],Arm. #2 attack,Arm. #2 range,Arm. #2 hit%,Arm. #2 element ID,[Arm. #2 element name],Arm. #3 type ID,[Arm. #3 type name],Arm. #3 attack,Arm. #3 range,Arm. #3 hit%,Arm. #3 element ID,[Arm. #3 element name],Pad.,EXP,Gold,Item drop ID,[Item drop name],Item ID,[Item name]
0,バルア駆逐艦,12000,40,35,80,10,20,10,10,10,10,0,Main cannon,120,0,60,6,Neutral,1,Secondary cannon,80,1,50,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,100,100,0,100%,480,Ж石弾
1,バルアЖ駆逐艦,12000,40,50,80,10,11,10,10,5,10,0,Main cannon,120,0,60,6,Neutral,1,Secondary cannon,80,1,50,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,150,150,0,100%,480,Ж石弾
2,バルア巡洋艦,20000,70,50,50,10,11,10,10,10,10,0,Main cannon,180,0,60,6,Neutral,1,Secondary cannon,100,1,60,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,200,200,0,100%,480,Ж石弾
3,バルアЖ巡洋艦,20000,70,70,50,10,10,10,10,5,10,0,Main cannon,180,0,60,6,Neutral,1,Secondary cannon,100,1,60,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,250,250,0,100%,480,Ж石弾
4,バルア戦艦,30000,110,90,70,10,10,10,10,10,10,0,Main cannon,230,0,110,6,Neutral,1,Secondary cannon,150,2,150,6,Neutral,2,Torpedo,200,1,160,6,Neutral,-1,None,-1,-1,-1,-1,None,0,300,300,0,100%,480,Ж石弾
5,バルアЖ戦艦,30000,110,110,70,10,10,10,10,5,10,0,Main cannon,230,0,110,6,Neutral,1,Secondary cannon,150,2,150,6,Neutral,2,Torpedo,200,1,160,6,Neutral,-1,None,-1,-1,-1,-1,None,0,350,350,0,100%,480,Ж石弾
6,バルア新鋭艦,45000,150,120,150,10,10,10,10,10,10,0,Main cannon,250,0,180,6,Neutral,1,Secondary cannon,180,3,180,6,Neutral,2,Torpedo,220,2,200,6,Neutral,-1,None,-1,-1,-1,-1,None,0,400,400,0,100%,480,Ж石弾
7,バルアЖ新鋭艦,45000,150,150,150,10,10,10,10,5,10,0,Main cannon,250,0,180,6,Neutral,1,Secondary cannon,180,3,180,6,Neutral,2,Torpedo,220,2,200,6,Neutral,-1,None,-1,-1,-1,-1,None,0,450,450,0,100%,480,Ж石弾
8,ガルシアン近衛艦,50000,250,250,200,10,10,10,10,5,10,0,Main cannon,350,0,250,6,Neutral,1,Secondary cannon,250,3,250,6,Neutral,2,Torpedo,300,3,260,6,Neutral,-1,None,-1,-1,-1,-1,None,0,500,500,0,100%,480,Ж石弾
9,グレゴリオ巡洋艦,25000,160,130,100,10,10,10,10,5,10,0,Main cannon,190,0,100,6,Neutral,1,Secondary cannon,120,1,100,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,320,320,0,100%,480,Ж石弾
10,グレゴリオ戦艦,35000,200,150,110,10,10,10,10,5,10,0,Main cannon,240,0,120,6,Neutral,1,Secondary cannon,190,3,160,6,Neutral,2,Torpedo,210,2,180,6,Neutral,-1,None,-1,-1,-1,-1,None,0,450,450,0,100%,480,Ж石弾
11,リンクス,35000,300,280,330,10,10,10,10,10,10,0,Main cannon,200,0,200,6,Neutral,1,Secondary cannon,150,2,220,6,Neutral,2,Torpedo,170,2,180,6,Neutral,-1,None,-1,-1,-1,-1,None,0,1000,150,0,100%,480,Ж石弾
12,カミュレオン,45000,350,300,280,5,10,10,10,10,10,0,Main cannon,280,0,260,6,Neutral,1,Secondary cannon,180,1,150,6,Neutral,2,Torpedo,260,3,260,6,Neutral,0,Main cannon,300,0,180,6,Neutral,0,2000,3000,0,100%,480,Ж石弾
13,カミュレオン改,48000,350,330,300,5,10,10,10,10,10,0,Main cannon,280,0,260,6,Neutral,2,Torpedo,180,1,150,6,Neutral,2,Torpedo,260,3,260,6,Neutral,0,Main cannon,330,0,200,6,Neutral,0,2000,3000,0,100%,480,Ж石弾
