Entry ID,JP entry name,Chara. ID,[Chara. name],Retail price in %,Order by prio.,JP order by ABC,Effect ID,[Effect name],Purchase price,Attack,Hit%,Feature ID,[Feature name],Padding #0,Feature value,[JP descr. pos.],[JP descr. size],JP descr. str.
0,カトラス,0,Vyse,50,0,5,-1,None,60,21,90,-1,None,0,0,2813612,92,ヴァイスが愛用する両方の手に持つ、二刀流の剣だ。\n遠くの敵には、カマイタチで攻撃できるぞ!!
1,空賊のナイフ,0,Vyse,50,1,13,-1,None,121,29,90,-1,None,0,0,2813704,32,ヴァイスの武器。両手に持つ。
2,シーカトラス,0,Vyse,50,2,20,-1,None,120,29,90,-1,None,0,0,2813736,96,屈強な空の男たちが魚をさばくのにも使う、切れ味が\n抜群のカトラスだ。これでさばいた魚は美味いぞ。
3,古き良き剣,0,Vyse,50,9,64,-1,None,2994,130,90,-1,None,0,0,0,0,""
4,処刑の剣,0,Vyse,50,3,22,0,Add Poison,517,58,90,-1,None,0,0,0,0,""
5,天空のカトラス,0,Vyse,50,13,45,-1,None,5000,160,120,-1,None,0,0,2813832,92,某帝国軍で開発された、雷の力を秘めたカトラスだ。\nこれさえあれば、どんな敵もイチコロだぞ!!
6,聖なる剣,0,Vyse,50,7,25,-1,None,2377,117,90,-1,None,0,0,0,0,""
7,ナスルソード,0,Vyse,50,4,35,-1,None,800,71,90,-1,None,0,0,0,0,""
8,ダカットの剣,0,Vyse,50,8,28,1,Add Sleep #1,2796,126,90,-1,None,0,0,0,0,""
9,ディスカバリー,0,Vyse,50,5,30,-1,None,1276,88,90,-1,None,0,0,0,0,""
10,大地の剣,0,Vyse,50,6,27,-1,None,1876,105,90,-1,None,0,0,0,0,""
11,夢追いの剣,0,Vyse,50,10,68,-1,None,3413,138,90,49,Death,0,16,0,0,""
12,ヒデヨシ,0,Vyse,50,12,43,-1,None,4403,155,90,-1,None,0,0,0,0,""
13,ノブナガ,0,Vyse,50,15,36,-1,None,6416,184,90,-1,None,0,0,0,0,""
14,イエヤス,0,Vyse,50,11,1,-1,None,3633,142,90,-1,None,0,0,0,0,""
15,銀のカトラス,0,Vyse,50,14,12,-1,None,5820,176,90,37,Silver,0,16,0,0,""
16,ブーメラン,1,Aika,50,16,62,-1,None,50,19,110,-1,None,0,0,2813924,84,アイカが愛用する巨大ながらも軽量なブーメランだ。\n最も命中率が高い武器の一つだぞ!!
17,ガルウィング,1,Aika,50,25,6,-1,None,1918,106,110,-1,None,0,0,2814008,24,アイカの武器。投げる。
18,船乗りの飛刀,1,Aika,50,20,63,-1,None,428,53,110,-1,None,0,0,0,0,""
19,氷の翼,1,Aika,50,28,15,-1,None,3525,140,110,34,Purple,0,16,0,0,""
20,革のブーメラン,1,Aika,50,17,7,-1,None,100,26,110,-1,None,0,0,2814032,88,刃の裏の部分を革張りにした、ちょっとぜいたくな\nブーメランだ。もちろん攻撃力も高いのだ。
21,古代の飛刀,1,Aika,50,18,18,-1,None,213,38,110,-1,None,0,0,0,0,""
22,原人の飛刀,1,Aika,50,23,14,-1,None,1011,79,110,-1,None,0,0,0,0,""
23,バルメラン,1,Aika,50,19,41,-1,None,303,45,110,-1,None,0,0,0,0,""
24,勾玉の翼,1,Aika,50,27,65,-1,None,2946,129,110,-1,None,0,0,0,0,""
25,遊牧民の飛刀,1,Aika,50,21,67,-1,None,642,64,110,-1,None,0,0,0,0,""
26,希望の翼,1,Aika,50,26,9,-1,None,2380,117,110,-1,None,0,0,0,0,""
27,呪いの飛刀,1,Aika,50,22,37,2,Add Weak,827,72,110,-1,None,0,0,0,0,""
28,風神の翼,1,Aika,50,30,60,-1,None,4659,159,110,-1,None,0,0,0,0,""
29,バルウィング,1,Aika,50,31,40,-1,None,5189,167,110,-1,None,0,0,0,0,""
30,スカルボーン,1,Aika,50,24,24,-1,None,1510,95,110,48,Poison,0,32,0,0,""
31,舞梅蘭,1,Aika,50,29,61,3,Add Confusion #1,4221,152,110,-1,None,0,0,0,0,""
32,キュピル１,2,Fina,0,32,44,-1,None,557,60,100,-1,None,0,0,2814120,28,ファイナの武器。かわいい。
33,キュピルナイト,2,Fina,0,33,33,-1,None,60,20,100,-1,None,0,0,2814148,96,ファイナを守るために戦う、かわいいペットだ。\nヤリ以外にも、いろいろな形状に変化するらしいぞ。
34,キュピル３,2,Fina,0,34,46,-1,None,928,76,100,-1,None,0,0,0,0,""
35,キュピル４,2,Fina,0,35,47,-1,None,1154,84,100,-1,None,0,0,0,0,""
36,キュピル５,2,Fina,0,36,48,4,Add Sleep #2,1407,92,100,-1,None,0,0,0,0,""
37,キュピル６,2,Fina,0,37,49,4,Add Sleep #2,1687,100,100,-1,None,0,0,0,0,""
38,キュピル７,2,Fina,0,38,50,4,Add Sleep #2,1996,108,100,-1,None,0,0,0,0,""
39,キュピル８,2,Fina,0,39,51,4,Add Sleep #2,2334,116,100,-1,None,0,0,0,0,""
40,キュピル９,2,Fina,0,40,52,-1,None,2701,124,100,20,Dodge%,0,5,0,0,""
41,キュピル１０,2,Fina,0,41,53,-1,None,3097,132,100,20,Dodge%,0,5,0,0,""
42,キュピル１１,2,Fina,0,42,54,-1,None,3524,140,100,20,Dodge%,0,5,0,0,""
43,キュピル１２,2,Fina,0,43,55,-1,None,3980,148,100,20,Dodge%,0,5,0,0,""
44,キュピル１３,2,Fina,0,44,56,-1,None,4467,156,100,-1,None,0,0,0,0,""
45,キュピル１４,2,Fina,0,45,57,-1,None,4985,164,100,-1,None,0,0,0,0,""
46,キュピル１５,2,Fina,0,46,58,-1,None,5535,172,100,-1,None,0,0,0,0,""
47,キュピル１６,2,Fina,0,47,59,-1,None,9127,216,100,-1,None,0,0,0,0,""
48,義手,3,Drachma,50,48,8,-1,None,343,48,80,-1,None,0,0,2814244,28,ドラクマの武器。重たい。
49,カギ爪,3,Drachma,50,49,4,-1,None,575,61,80,-1,None,0,0,0,0,""
50,モーニングスター,3,Drachma,50,56,66,-1,None,12135,246,20,-1,None,0,0,0,0,""
51,デ式アーム,3,Drachma,50,52,31,-1,None,1404,92,80,-1,None,0,0,0,0,""
52,ギルガメッシュ,3,Drachma,50,55,10,-1,None,6415,184,80,-1,None,0,0,0,0,""
53,パロットアーム,3,Drachma,50,51,42,5,Add Confusion #2,1122,83,80,-1,None,0,0,0,0,""
54,デ式ドリル,3,Drachma,50,53,32,6,Add Death #1,1722,101,80,-1,None,0,0,0,0,""
55,発掘アーム,3,Drachma,50,50,38,-1,None,874,74,80,-1,None,0,0,0,0,""
56,古代アーム,3,Drachma,50,54,16,-1,None,2075,110,80,48,Poison,0,32,0,0,""
57,シルバーアーム,3,Drachma,50,57,23,-1,None,7125,193,80,37,Silver,0,16,0,0,""
58,レイピア,4,Enrique,50,58,70,-1,None,2122,111,120,-1,None,0,0,2814272,32,エンリックの武器。貴族っぽい。
59,レアルブレード,4,Enrique,50,62,69,-1,None,4162,151,120,-1,None,0,0,0,0,""
60,王家の宝刀,4,Enrique,50,61,2,7,Add Silence #1,3751,144,120,-1,None,0,0,0,0,""
61,古代戦士の刀,4,Enrique,50,63,17,8,Add Stone #1,4596,158,120,-1,None,0,0,0,0,""
62,紫氷刀,4,Enrique,50,60,21,-1,None,3152,133,120,34,Purple,0,16,0,0,""
63,青波刀,4,Enrique,50,59,26,-1,None,2609,122,120,35,Blue,0,16,0,0,""
64,俺様の拳銃,5,Gilder,50,64,3,-1,None,1996,108,100,-1,None,0,0,2814304,36,ギルダーの武器。どう考えても強い。
65,ナスル式拳銃,5,Gilder,50,65,34,-1,None,2162,112,100,33,Red,0,16,0,0,""
66,古代勇者の拳銃,5,Gilder,50,70,19,-1,None,5821,176,100,1,Will,0,5,0,0,""
67,バルア式拳銃,5,Gilder,50,66,39,-1,None,2334,116,100,-1,None,0,0,0,0,""
68,暗殺短銃,5,Gilder,50,69,0,10,Add Death #2,1888,105,180,-1,None,0,0,0,0,""
69,ダカットの拳銃,5,Gilder,50,67,29,9,Add Sleep #3,2514,120,100,-1,None,0,0,0,0,""
70,ギルダーＳＰ,5,Gilder,50,68,11,-1,None,5257,168,110,-1,None,0,0,0,0,""
71,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,2814340,16,ダミーです。
72,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
73,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
74,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
75,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
76,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
77,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
78,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
79,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0,0,""
