Entry ID,[Filter],[Enemy ID],[JP Enemy Name],Instr. Type ID,[Instr. Type Name],Instr. ID,[Instr. Name],Instr. Param. ID,[Instr. Param. Name]
1,*,0,軍艦兵,0,Branch,21,???,3,???
2,*,0,軍艦兵,1,Action,550,Attack,2,Random character
3,*,0,軍艦兵,1,Action,551,Guard,-1,None
1,*,1,航行士,0,Branch,42,???,3,???
2,*,1,航行士,0,Branch,39,???,5,???
3,*,1,航行士,0,Branch,29,???,6,???
4,*,1,航行士,0,Branch,30,???,8,???
5,*,1,航行士,0,Branch,25,???,7,???
6,*,1,航行士,1,Action,550,Attack,2,Random character
7,*,1,航行士,1,Action,79,サプの葉,7,Injured enemy
8,*,1,航行士,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,0,Branch,45,???,3,???
2,*,2,ミクラステル,0,Branch,30,???,4,???
3,*,2,ミクラステル,0,Branch,28,???,11,???
4,*,2,ミクラステル,0,Branch,44,???,6,???
5,*,2,ミクラステル,0,Branch,30,???,7,???
6,*,2,ミクラステル,0,Branch,24,???,11,???
7,*,2,ミクラステル,0,Branch,50,???,9,???
8,*,2,ミクラステル,0,Branch,24,???,10,???
9,*,2,ミクラステル,1,Action,550,Attack,2,Random character
10,*,2,ミクラステル,1,Action,4,レーザー,2,Random character
11,*,2,ミクラステル,1,Action,552,Run,-1,None
1,*,3,マロッカ,0,Branch,44,???,3,???
2,*,3,マロッカ,0,Branch,30,???,4,???
3,*,3,マロッカ,0,Branch,26,???,8,???
4,*,3,マロッカ,0,Branch,1,???,7,???
5,*,3,マロッカ,0,Branch,28,???,7,???
6,*,3,マロッカ,1,Action,551,Guard,-1,None
7,*,3,マロッカ,1,Action,550,Attack,1,Common character
8,*,3,マロッカ,1,Action,552,Run,-1,None
1,*,4,アーアペプ,0,Branch,33,???,3,???
2,*,4,アーアペプ,0,Branch,22,???,10,???
3,*,4,アーアペプ,0,Branch,36,???,5,???
4,*,4,アーアペプ,0,Branch,22,???,9,???
5,*,4,アーアペプ,0,Branch,23,???,11,???
6,*,4,アーアペプ,0,Branch,22,???,8,???
7,*,4,アーアペプ,1,Action,550,Attack,2,Random character
8,*,4,アーアペプ,1,Action,551,Guard,-1,None
9,*,4,アーアペプ,1,Action,503,パニカ,14,Character without Confusion
10,*,4,アーアペプ,1,Action,520,ウェイバ,2,Random character
11,*,4,アーアペプ,1,Action,57,あやしい音波,2,Random character
1,*,7,煌術処刑士,0,Branch,17,???,23,???
2,*,7,煌術処刑士,0,Branch,35,???,8,???
3,*,7,煌術処刑士,0,Branch,24,???,18,???
4,*,7,煌術処刑士,0,Branch,32,???,8,???
5,*,7,煌術処刑士,0,Branch,39,???,19,???
6,*,7,煌術処刑士,0,Branch,11,???,8,???
7,*,7,煌術処刑士,0,Branch,22,???,20,???
8,*,7,煌術処刑士,0,Branch,37,???,12,???
9,*,7,煌術処刑士,0,Branch,25,???,21,???
10,*,7,煌術処刑士,0,Branch,26,???,17,???
11,*,7,煌術処刑士,0,Branch,30,???,23,???
12,*,7,煌術処刑士,0,Branch,24,???,21,???
13,*,7,煌術処刑士,0,Branch,24,???,17,???
14,*,7,煌術処刑士,0,Branch,24,???,22,???
15,*,7,煌術処刑士,0,Branch,25,???,20,???
16,*,7,煌術処刑士,0,Branch,30,???,23,???
17,*,7,煌術処刑士,1,Action,550,Attack,1,Common character
18,*,7,煌術処刑士,1,Action,500,アパ,8,Enemy with highest ID
19,*,7,煌術処刑士,1,Action,506,サプラ,7,Injured enemy
20,*,7,煌術処刑士,1,Action,506,サプラ,8,Enemy with highest ID
21,*,7,煌術処刑士,1,Action,526,グラシャ,2,Random character
22,*,7,煌術処刑士,1,Action,37,ガッツ,-1,None
23,*,7,煌術処刑士,1,Action,551,Guard,-1,None
1,*,8,レトモニケ,0,Branch,44,???,3,???
2,*,8,レトモニケ,0,Branch,30,???,4,???
3,*,8,レトモニケ,0,Branch,28,???,16,???
4,*,8,レトモニケ,0,Branch,2,???,12,???
5,*,8,レトモニケ,0,Branch,4,???,7,???
6,*,8,レトモニケ,0,Branch,30,???,9,???
7,*,8,レトモニケ,0,Branch,28,???,14,???
8,*,8,レトモニケ,0,Branch,30,???,15,???
9,*,8,レトモニケ,0,Branch,26,???,14,???
