Entry ID,Pad. #0,JP message ID,[JP descr. pos.],[JP descr. size],JP descr. str.,Item #0 ID,[Item #0 name],Item #1 ID,[Item #1 name],Item #2 ID,[Item #2 name],Item #3 ID,[Item #3 name],Item #4 ID,[Item #4 name],Item #5 ID,[Item #5 name],Item #6 ID,[Item #6 name],Item #7 ID,[Item #7 name],Item #8 ID,[Item #8 name],Item #9 ID,[Item #9 name],Item #10 ID,[Item #10 name],Item #11 ID,[Item #11 name],Item #12 ID,[Item #12 name],Item #13 ID,[Item #13 name],Item #14 ID,[Item #14 name],Item #15 ID,[Item #15 name],Item #16 ID,[Item #16 name],Item #17 ID,[Item #17 name],Item #18 ID,[Item #18 name],Item #19 ID,[Item #19 name],Item #20 ID,[Item #20 name],Item #21 ID,[Item #21 name],Item #22 ID,[Item #22 name],Item #23 ID,[Item #23 name],Item #24 ID,[Item #24 name],Item #25 ID,[Item #25 name],Item #26 ID,[Item #26 name],Item #27 ID,[Item #27 name],Item #28 ID,[Item #28 name],Item #29 ID,[Item #29 name],Item #30 ID,[Item #30 name],Item #31 ID,[Item #31 name],Item #32 ID,[Item #32 name],Item #33 ID,[Item #33 name],Item #34 ID,[Item #34 name],Item #35 ID,[Item #35 name],Item #36 ID,[Item #36 name],Item #37 ID,[Item #37 name],Item #38 ID,[Item #38 name],Item #39 ID,[Item #39 name],Item #40 ID,[Item #40 name],Item #41 ID,[Item #41 name],Item #42 ID,[Item #42 name],Item #43 ID,[Item #43 name],Item #44 ID,[Item #44 name],Item #45 ID,[Item #45 name],Item #46 ID,[Item #46 name],Item #47 ID,[Item #47 name]
0,0,2352341232,3465456,16,ピュウの武器屋,1,空賊のカトラス,20,革のブーメラン,86,もめんのローブ,87,バルアクルー服,162,木彫の指輪,170,マロッカの甲羅,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
1,0,2352341248,3465472,16,リリィの道具屋,240,サプの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
2,0,2352341264,3465488,20,ボニータの道具屋,240,サプの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
3,0,2352341264,3465488,20,ボニータの道具屋,240,サプの葉,241,サプガンの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
4,0,2352341264,3465488,20,ボニータの道具屋,240,サプの葉,241,サプガンの葉,242,サプハネの葉,243,サプヤクの葉,244,Ж樹の玉,245,Ж樹の大玉,249,キュアリン草,250,ライ雑草,252,アパコンデ,253,クイコンデ,254,リゲコンデ,290,チョム,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
5,0,2352341264,3465488,20,ボニータの道具屋,240,サプの葉,241,サプガンの葉,242,サプハネの葉,243,サプヤクの葉,244,Ж樹の玉,245,Ж樹の大玉,249,キュアリン草,250,ライ雑草,251,ライゾリン草,252,アパコンデ,253,クイコンデ,254,リゲコンデ,290,チョム,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
6,0,2352341284,3465508,20,船装備の店ザック,401,汎主砲,410,３インチ副砲,450,エンジンカバー,460,装甲板,480,爆弾,490,修復材,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
7,0,2352341284,3465508,20,船装備の店ザック,409,Ｘ主砲,435,バーンキャノン,463,複合装甲板,498,アポスワックス,499,クイッカワックス,493,完全修復材,401,汎主砲,410,３インチ副砲,450,エンジンカバー,460,装甲板,480,爆弾,490,修復材,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
8,0,2352341304,3465528,20,バスコスの武器屋,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
9,0,2352341304,3465528,20,バスコスの武器屋,18,船乗りの投刃,53,パロットアーム,91,全身ゴムタイツ,92,旅立ちの服,172,ガトーのツメ,174,エルモのわっか,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
10,0,2352341304,3465528,20,バスコスの武器屋,99,サファリシャツ,100,ネイビーの服,161,砂の指輪,163,星の指輪,169,ケベスクのうろこ,171,ブブロッカの甲羅,18,船乗りの投刃,53,パロットアーム,91,全身ゴムタイツ,92,旅立ちの服,172,ガトーのツメ,174,エルモのわっか,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
11,0,2352341304,3465528,20,バスコスの武器屋,31,乱れ斬りの投刃,51,デ式アーム,67,バルア式拳銃,113,空賊王のツナギ,114,月のキャミソール,196,青の空賊旗,99,サファリシャツ,100,ネイビーの服,161,砂の指輪,163,星の指輪,169,ケベスクのうろこ,171,ブブロッカの甲羅,18,船乗りの投刃,53,パロットアーム,91,全身ゴムタイツ,92,旅立ちの服,172,ガトーのツメ,174,エルモのわっか,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
12,0,2352341324,3465548,20,謎のさすらい商人,220,防寒断熱帽,221,アンバランス,269,氷の小箱,278,沈黙の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
13,0,2352341344,3465568,16,武器販売許可所,23,バルメラン,49,カギ爪,90,バルアの古鎧,164,二連リング,195,作業帽,207,ウッドパイプ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
14,0,2352341360,3465584,16,道具販売許可所,240,サプの葉,241,サプガンの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
15,0,2352341376,3465600,16,ケマルの武器屋,7,ナスルカトラス,93,ナスル商人の服,94,素焼きの鎧,95,サラームの法衣,191,日よけのベール,193,麻のターバン,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,0,2352341392,3465616,20,道具のバルバル屋,240,サプの葉,241,サプガンの葉,244,Ж樹の玉,252,アパコンデ,253,クイコンデ,254,リゲコンデ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
17,0,2352341412,3465636,20,船装備の店ダック,402,汎主砲改,410,３インチ副砲,420,スワロー魚雷,440,ドクロの船首像,451,ターボキット,461,鋼装甲板,481,大爆弾,484,炎の爆弾,490,修復材,491,硬修復材,497,アパワックス,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
18,0,2352341324,3465548,20,謎のさすらい商人,220,防寒断熱帽,221,アンバランス,269,氷の小箱,278,沈黙の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
19,0,2352341432,3465656,20,戦いの店カパック,9,狩猟のカトラス,22,狩猟のブーメラン,96,鉱夫のツナギ,97,グラスローブ,98,金メッキの鎧,175,ケチャの羽根飾り,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,0,2352341452,3465676,16,道具屋キスキス,241,サプガンの葉,242,サプハネの葉,244,Ж樹の玉,249,キュアリン草,250,ライ雑草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,0,2352341468,3465692,12,カシムの店,408,古の主砲,436,ウェブガン,428,ホエール魚雷,447,女神の船首像,454,エアインテーク,477,シャンデリア,483,巨大爆弾,493,完全修復材,502,舵のグリス,503,機関オイル,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
22,0,2352341480,3465704,16,リュウカン堂,12,ソランチュの剣,110,船長のマント,111,水神の聖衣,112,モコモコセーター,192,耳あて帽,194,とんがり帽子,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
23,0,2352341480,3465704,16,リュウカン堂,15,心斬剣,28,風神の翼,52,キャッチアーム,59,ソリッドソード,70,ギルダーＳＰ,115,ガイアのマント,116,真実の聖衣,117,アレスの鎧,118,奇跡のローブ,203,三日月のバレッタ,206,スコープゴーグル,208,チャンバーパイプ,12,ソランチュの剣,110,船長のマント,111,水神の聖衣,112,モコモコセーター,192,耳あて帽,194,とんがり帽子,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
24,0,2352341496,3465720,16,オスマンの店,267,炎の小箱,269,氷の小箱,271,風の小箱,273,雷の小箱,275,回復の小箱,278,沈黙の小箱,279,混乱の小箱,281,睡眠の小箱,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
