Entry ID,JP Entry Name,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Retail Price in %,Order by Prio.,JP Order by ABC,Purchase Price,Pad. 1,Pad. 2,Effect Value,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[ JP Descr. Pos.],[ JP Descr. Size],JP Descr. Str.
240,サプの葉,0x6,X,X,"",31,Recover HP,1,Single PC,100,50,0,30,20,0,0,500,-1,None,-1,None,0,Poison,0,0x3387d4,96,世界中に自生するサプ科植物の葉っぱ。不思議な\n香りで、仲間ひとりのＨＰを500ポイント回復する。
241,サプガンの葉,0x6,X,X,"",31,Recover HP,1,Single PC,100,50,1,29,60,0,0,1000,-1,None,-1,None,0,Poison,0,0x338834,100,北の大地に群生するサプ科植物の葉っぱ。濃縮された\n香りで、仲間ひとりのＨＰを1000ポイント回復する。
242,サプハネの葉,0x6,X,X,"",31,Recover HP,2,All PCs,100,50,2,31,600,0,0,1000,-1,None,-1,None,0,Poison,0,0x338898,96,熱帯でのみ採れるサプ科植物の葉っぱ。香りが一気に\n広がり、仲間全員のＨＰを1000ポイント回復する。
243,サプヤクの葉,0x6,X,X,"",32,Recover HP 100%,1,Single PC,100,50,3,32,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x3388f8,96,東の島々でわずかに自生するサプ科植物の葉っぱ。\n神秘的な香りで、仲間ひとりのＨＰを完全回復する。
244,Ж樹の玉,0x7,X,X,X,48,Recover MP,1,Single PC,100,50,4,24,40,0,0,1,-1,None,-1,None,0,Poison,0,0x338958,84,Ж樹のしずくから作った、一口サイズのアメ玉。\n仲間ひとりのＫＰを１ポイント回復する。
245,Ж樹の大玉,0x7,X,X,X,48,Recover MP,1,Single PC,100,50,5,23,400,0,0,10,-1,None,-1,None,0,Poison,0,0x3389ac,88,Ж樹のしずくを凝縮して作った、大きめのアメ玉。\n仲間ひとりのＫＰを10ポイント回復する。
246,ガツガツのキノコ,0x3,"",X,X,35,Recover SP,2,All PCs,100,50,6,15,2000,0,0,99,-1,None,-1,None,0,Poison,0,0x338a04,100,いつ、どこに、なぜ生えるかわからない幻のキノコ。\nガッツを最大にするという、すさまじい効果を持つ。
247,伝説のパズル,0x0,"","","",-1,None,0,None,0,100,49,54,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338a68,88,盗掘者シモンが、宝島で狙っていた宝物。\nコレクションしてもいいが、売ればそれなりに高い。
248,伝説の階級章,0x0,"","","",-1,None,0,None,0,100,50,51,4000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338ac0,100,盗掘者シモンが、ガルガンチュアで狙っていた宝物。\nコレクションしてもいいが、売ればそれなりに高い。
249,キュアリン草,0x2,"",X,"",30,Rem. Neg. States,1,Single PC,100,50,7,18,30,0,0,0,0,Green,0,Physical,7,Revival,0,0x338b24,96,治癒の効果を持つように丹念に育てられた薬草。\n仲間ひとりの「失神」を除く悪しき状態を治療する。
250,ライ雑草,0x2,"",X,"",27,"Revive, Recover HP 50%",1,Single PC,100,50,8,72,150,0,0,0,0,Green,0,Physical,7,Revival,50,0x338b84,92,復活の効果を持つ雑草。仲間ひとりを「失神」の\n状態から50％の確率で、ＨＰも50％で復活させる。
251,ライゾリン草,0x2,"",X,"",28,"Revive, Recover HP 100%",1,Single PC,100,50,9,73,450,0,0,0,0,Green,0,Physical,7,Revival,0,0x338be0,96,復活の効果を持つように丹念に育てられた薬草。\n仲間ひとりを「失神」の状態から完全に復活させる。
252,アパコンデ,0x2,"",X,"",21,Strengthen,1,Single PC,100,50,10,3,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x338c40,88,バルア帝国のデ・ロッコ機関が開発した錠剤。\n仲間ひとりを科学的に「強壮」の状態にする。
253,クイコンデ,0x2,"",X,"",20,Quickened,2,All PCs,100,50,11,21,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x338c98,84,バルア帝国のデ・ロッコ機関が開発した錠剤。\n仲間全員を科学的に「機敏」の状態にする。
254,リゲコンデ,0x2,"",X,"",33,Regenerate,1,Single PC,100,50,12,74,50,0,0,250,0,Green,0,Physical,0,Poison,0,0x338cec,88,バルア帝国のデ・ロッコ機関が開発した錠剤。\n仲間ひとりを科学的に「滋養」の状態にする。
255,伝説のバイオリン,0x0,"","","",-1,None,0,None,0,100,51,53,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338d44,96,盗掘者シモンが、サルガッソーで狙っていた宝物。\nコレクションしてもいいが、売ればそれなりに高い。
256,伝説の雀牌,0x0,"","","",-1,None,0,None,0,100,52,52,6000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338da4,92,盗掘者シモンが、フガクで狙っていた宝物。\nコレクションしてもいいが、売ればそれなりに高い。
257,伝説のユタンポ,0x0,"","","",-1,None,0,None,0,100,53,56,7000,0,0,0,0,Green,0,Physical,0,Poison,0,0x338e00,92,盗掘者シモンが、グラシアで狙っていた宝物。\nコレクションしてもいいが、売ればそれなりに高い。
258,月の実,0x0,"","","",52,Moonberry,1,Single PC,100,0,13,49,50000,0,0,-1,-1,None,-1,None,0,Poison,0,0x338e5c,96,月Ж石の落ちた地で、１粒だけ実をつけるという\n月Ж草の果実。これを食べることで技が習得できる。
259,チャム,0x4,X,"","",53,Cham,0,None,100,0,14,44,10000,0,0,-1,-1,None,-1,None,0,Poison,0,0x338ebc,96,キュピルの大好物。近づくとキュピルが鳴きながら\n大暴れする。与えるとさまざまな姿に成長していく。
260,パワワの種,0x4,X,"","",54,Incr. Power,1,Single PC,100,1,17,65,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x338f1c,92,赤満月の晩に、わずかばかりの実をつけるという\nパワワ樹の種。飲むと腕力が３ポイント上がる。
261,ウィルの種,0x4,X,"","",55,Incr. Will,1,Single PC,100,1,18,7,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x338f78,92,紫満月の晩に、わずかばかりの実をつけるという\nウィル樹の種。飲むと気力が３ポイント上がる。
262,ストレの種,0x4,X,"","",56,Incr. Vigor,1,Single PC,100,1,19,36,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x338fd4,92,黄満月の晩に、わずかばかりの実をつけるという\nストレ樹の種。飲むと生命力が３ポイント上がる。
263,アジルの種,0x4,X,"","",57,Incr. Agile,1,Single PC,100,1,20,2,15000,0,0,1,-1,None,-1,None,0,Poison,0,0x339030,96,六色満月の晩に、わずかばかりの実をつけるという\nアジル樹の種。飲むと器用さが１ポイント上がる。
264,スピィの種,0x4,X,"","",58,Incr. Quick,1,Single PC,100,1,21,37,5000,0,0,3,-1,None,-1,None,0,Poison,0,0x339090,96,青満月の晩に、わずかばかりの実をつけるという\nスピィ樹の種。飲むとスピードが３ポイント上がる。
265,ヒトポの種,0x4,X,"","",59,Incr. MAXHP,1,Single PC,100,1,22,66,5000,0,0,30,-1,None,-1,None,0,Poison,0,0x3390f0,96,緑満月の晩に、わずかばかりの実をつけるという\nヒトポ樹の種。飲むと最大ＨＰが30ポイント上がる。
266,コジポの種,0x4,X,"","",60,Incr. MAXMP,1,Single PC,100,1,23,26,5000,0,0,1,-1,None,-1,None,0,Poison,0,0x339150,96,銀満月の晩に、わずかばかりの実をつけるという\nコジポ樹の種。飲むと最大ＫＰが１ポイント上がる。
