Entry ID,US entry name,Chara. flags,[Vyse],[Aika],[Fina],[Drachma],[Enrique],[Gilder],Retail price in %,Order by prio.,US order by ABC,Pad. #0,Purchase price,Feat. #0 ID,[Feat. #0 name],Pad. #1,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #2,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #3,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #4,Feat. #3 value,[US descr. pos.],[US descr. size],US descr. str.
160,Ж防の指輪１,63,X,X,X,X,X,X,50,2,27,0,25,18,MagDef,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356012,44,指輪です。Ж術関係中心のアクセサリーです。
161,Ж防の指輪２,63,X,X,X,X,X,X,50,20,28,0,202,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
162,Ring of Oak,63,X,X,X,X,X,X,50,3,14,0,30,1,Will,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356056,100,A ring made from enchanted wood by magicians in\nthe North.This ring will increase your strength.
163,気力の指輪２,63,X,X,X,X,X,X,50,21,15,0,202,1,Will,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
164,Ж術の指輪１,63,X,X,X,X,X,X,50,6,24,0,71,18,MagDef,0,5,1,Will,0,5,-1,None,0,0,-1,None,0,0,0,0,""
165,Ж術の指輪２,63,X,X,X,X,X,X,50,34,25,0,1325,18,MagDef,0,35,1,Will,0,35,-1,None,0,0,-1,None,0,0,0,0,""
166,Ж術無効の指輪,63,X,X,X,X,X,X,50,49,26,0,2,64,???,0,1,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
167,気合の指輪,63,X,X,X,X,X,X,50,43,11,0,2,77,Recover spirit,0,1,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
168,攻撃の腕輪１,63,X,X,X,X,X,X,50,4,21,0,25,16,Attack,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356156,44,腕輪です。格闘関係中心のアクセサリーです。
169,攻撃の腕輪２,63,X,X,X,X,X,X,50,16,22,0,202,16,Attack,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
