Entry ID,US entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[US descr. pos.],[US descr. size],US descr. str.
36,Cutlass Fury,6,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,8,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353272,88,Vyse's super move that damages one enemy. \nUnsheath your swords and unleash your fury!
37,Rain of Swords,6,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,15,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353360,88,Vyse's super move that damages all enemies on\nthe screen with blade-like gusts of wind!
38,ジョリーロジャー,6,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,30,0,0,120,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353448,56,ヴァイス攻撃技の第３弾です。\n内容は見てのお楽しみです。
39,オメガサイクロン,6,Neutral,214,2,"",X,"",0,Damage,35,Enemy area #3,1,Aika,1,25,0,0,320,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353504,44,アイカ攻撃技の第３弾です。\n内容は未定です。
40,Alpha Storm,6,Neutral,210,2,"",X,"",0,Damage,39,Enemy line #3,1,Aika,1,6,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353548,92,Aika's super move that does damage to an enemy\nwith a column of fire from her boomerang!
41,Lambda Burst,6,Neutral,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353640,88,Aika's super move that hits all enemies with a\nfiery boomerang thrown through the air!
42,Lunar Glyph,6,Neutral,220,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,8,0,0,50,0,Physical,2,Stone,20,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353728,68,Fina's super move that damages one enemy and\nturns him into stone.
43,月の波動,6,Neutral,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,30,0,0,300,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353796,60,ファイナ攻撃技の第２弾です。\nＥＣ全体に対する攻撃技です。
44,噴！,6,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353856,60,ドラクマ攻撃技の第１弾です。\nＥＣ単体に対する攻撃技です。
45,滅！,6,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,100,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353916,76,全身のパワーを義手に集中して敵単体に叩き付ける。\nドラクマ船長の超大技だ。
46,ミル・エスパーダ,6,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #1,4,Enrique,1,10,0,0,50,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353992,60,エンリック攻撃技の第１弾です。\nＥＣ単体に対する攻撃技です。
47,ラ・コロナシオン,6,Neutral,242,2,"",X,"",0,Damage,4,All enemies,4,Enrique,1,30,0,0,150,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354052,60,エンリック攻撃技の第２弾です。\nＥＣ全体に対する攻撃技です。
48,ハデにやろうぜ,6,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #4,5,Gilder,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354112,60,ギルダー攻撃技の第１弾です。\nＥＣ範囲に対する攻撃技です。
49,俺がギルダーだ！,6,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,30,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0,0,""
50,リヴェンジ,6,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,10,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354172,64,ヴァイス防御技の第１弾です。\n防御効果に加え、確実に反撃します。
51,スカルシールド,6,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All characters,0,Vyse,2,15,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354236,60,ヴァイス防御技の第２弾です。\nＥＣの直接攻撃を無効化します。
52,デルタシールド,6,Neutral,311,2,"",X,"",39,Block magic,2,All characters,1,Aika,2,12,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354296,60,アイカ防御技の第１弾です。\nＥＣのЖ術攻撃を無効化します。
53,ユプシロンミラー,6,Neutral,313,2,"",X,"",40,???,2,All characters,1,Aika,2,24,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354356,56,アイカ防御技の第２弾です。\nＥＣのЖ術攻撃を反射します。
54,月の恵み,6,Neutral,321,2,"",X,"",33,Add Regenerate,2,All characters,2,Fina,2,8,0,0,4,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354412,56,ファイナ防御技の第１弾です。\n毎ターンＨＰが回復します。
55,月の浄化,6,Neutral,322,2,"",X,"",30,Remove negative states,2,All characters,2,Fina,2,12,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354468,68,ファイナ防御技の第２弾です。\nＰＣ全員のステータス異常を解除します。
56,月の大いなるЖき,6,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All characters,2,Fina,2,30,0,0,9999,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354536,64,ファイナ防御技の第３弾です。\nＰＣ全員を復活、完全回復します。
57,怒！,6,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354600,64,ドラクマの防御技です。\n防御効果に加え、ガッツを２倍回復します。
58,エスクード,6,Neutral,341,2,"",X,"",1,Guard,2,All characters,4,Enrique,2,8,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354664,56,エンリックの防御技です。\nＰＣ全員に防御効果があります。
59,効かねえなあ,6,Neutral,351,2,"",X,"",42,Block negative states,2,All characters,5,Gilder,2,8,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354720,68,ギルダーの防御技です。\nＰＣ全員にステータス異常バリアを張ります。
60,クルー召喚,6,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All characters and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354788,56,とにかくすごいです。\nあまりのすごさに犬も虹を出します。
61,４人合体,6,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3354844,52,とにかくすごいです。\nあまりのすごさに月も落ちます。
