Entry ID,[Filter],JP Entry Name,[US EC Name],Width,Depth,Element ID,[Element Name],Pad. 1,Pad. 2,Movement Flags,Counter%,EXP,Gold,Pad. 3,Pad. 4,MAXHP,Unk. 1,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State 10,State 11,State 12,State 13,State 14,State 15,State 16,Effect ID,[Effect Name],State ID,[State Name],State Miss%,Pad. 5,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad. 6,Pad. 7,Item 1 Prob.,Item 1 Amount,Item 1 ID,[Item 1 Name],Item 2 Prob.,Item 2 Amount,Item 2 ID,[Item 2 Name],Item 3 Prob.,Item 3 Amount,Item 3 ID,[Item 3 Name],Item 4 Prob.,Item 4 Amount,Item 4 ID,[Item 4 Name]
0,*,軍艦兵,Battleship Soldier,1,1,4,Yellow,-1,-1,0xfc7,10,2,4,-1,-1,34,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,32,10,21,54,48,48,90,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
1,*,航行士,Sailor,1,1,4,Yellow,-1,-1,0xfc5,15,2,8,-1,-1,118,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,25,20,23,48,38,38,100,20,-1,-1,100,4,240,Sap Leaf,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
2,*,ミクラステル,Micrastel,1,1,5,Silver,-1,-1,0xfcf,10,5,14,-1,-1,97,18.0,10,10,10,10,11,9,0,9,10,10,10,0,0,10,11,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,33,5,19,54,57,43,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
3,*,マロッカ,Marocca,1,1,3,Blue,-1,-1,0xfff,5,1,2,-1,-1,19,18.0,20,9,11,10,5,10,40,20,20,20,22,0,0,20,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,16,9,5,12,42,52,44,85,10,-1,-1,2,1,182,Marocca's bangle,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
4,*,アーアペプ,Grouder,3,3,1,Red,-1,-1,0xfcf,15,4,13,-1,-1,167,18.0,9,9,20,11,10,10,9,10,10,11,20,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,24,41,10,19,64,52,52,80,5,-1,-1,1,1,176,Warbeads,10,1,243,Sapocine Leaf,-1,-1,-1,None,-1,-1,-1,None
7,*,煌術処刑士,Magic Executor,1,1,4,Yellow,-1,-1,0xff7,5,6,39,-1,-1,229,18.0,5,10,10,20,9,11,5,5,5,5,5,5,0,5,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,18,40,5,27,51,50,72,60,25,-1,-1,100,1,245,Amber Ball,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
13,*,アスフール,Azbeth,1,1,3,Blue,-1,-1,0xfff,10,1,2,-1,-1,32,18.0,20,9,11,10,5,10,20,5,10,10,11,9,0,10,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,20,18,20,19,40,28,28,95,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
15,*,ヌール,Nur,1,1,0,Green,-1,-1,0xfff,5,1,2,-1,-1,17,18.0,10,11,9,5,20,10,10,10,10,5,9,0,0,10,20,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,16,24,10,21,38,36,36,90,15,-1,-1,5,1,241,Saprum Leaf,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
29,*,エルモ,Elmo,1,1,5,Silver,-1,-1,0xfff,50,2,38,-1,-1,21,18.0,10,10,10,10,11,9,10,9,10,10,10,10,0,10,11,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,13,32,10,27,36,32,64,110,100,-1,-1,5,1,244,Amber,5,1,240,Sap Leaf,-1,-1,-1,None,-1,-1,-1,None
72,*,警備士,Guard,1,1,4,Yellow,-1,-1,0xfc5,15,0,3,-1,-1,62,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,15,21,20,19,36,32,32,100,20,-1,-1,45,1,242,Sapres Leaf,45,1,241,Saprum Leaf,45,1,240,Sap Leaf,-1,-1,-1,None
96,*,ロッキ,Stonehawk,1,1,1,Red,-1,-1,0xfcd,20,3,7,-1,-1,94,18.0,9,9,20,11,10,10,9,10,10,11,20,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,31,25,19,54,52,43,90,15,-1,-1,3,1,192,Stonehawk Beak,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
99,*,アルシノ,Kantor,3,3,4,Yellow,-1,-1,0xfc5,15,2001,1350,-1,-1,2650,18.0,5,10,10,20,9,11,5,0,0,0,5,0,0,0,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,25,92,231,15,93,281,255,208,105,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
128,*,アントニオ,Antonio,3,3,4,Yellow,-1,-1,0xfc5,15,18,33,-1,-1,187,18.0,5,10,10,20,9,11,5,0,0,0,5,0,0,0,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,31,5,19,56,52,43,105,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
129,*,アガタウマス,Agathamaus,3,3,5,Silver,-1,-1,0x7c7,20,33,185,-1,-1,921,18.0,10,10,10,10,11,9,0,0,0,0,5,0,0,0,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,22,40,10,22,63,61,61,120,0,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
