Entry ID,[Filter],[Enemy ID],[JP Enemy Name],[US Enemy Name],Instr. Type ID,[Instr. Type Name],Instr. ID,[Instr. Name],Instr. Param. ID,[Instr. Param. Name]
1,*,0,軍艦兵,Battleship Soldier,0,Branch,21,???,3,???
2,*,0,軍艦兵,Battleship Soldier,1,Action,550,Attack,2,Random character
3,*,0,軍艦兵,Battleship Soldier,1,Action,551,Guard,-1,None
1,*,1,航行士,Sailor,0,Branch,42,???,6,???
2,*,1,航行士,Sailor,0,Branch,39,???,5,???
3,*,1,航行士,Sailor,0,Branch,29,???,6,???
4,*,1,航行士,Sailor,0,Branch,30,???,8,???
5,*,1,航行士,Sailor,0,Branch,25,???,7,???
6,*,1,航行士,Sailor,1,Action,550,Attack,2,Random character
7,*,1,航行士,Sailor,1,Action,79,Medicinal Herb,7,Injured enemy
8,*,1,航行士,Sailor,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,Micrastel,0,Branch,45,???,3,???
2,*,2,ミクラステル,Micrastel,0,Branch,30,???,4,???
3,*,2,ミクラステル,Micrastel,0,Branch,28,???,10,???
4,*,2,ミクラステル,Micrastel,0,Branch,44,???,6,???
5,*,2,ミクラステル,Micrastel,0,Branch,30,???,7,???
6,*,2,ミクラステル,Micrastel,0,Branch,24,???,10,???
7,*,2,ミクラステル,Micrastel,0,Branch,24,???,9,???
8,*,2,ミクラステル,Micrastel,1,Action,550,Attack,1,Common character
9,*,2,ミクラステル,Micrastel,1,Action,4,Laser,0,???
10,*,2,ミクラステル,Micrastel,1,Action,552,Run,-1,None
1,*,3,マロッカ,Marocca,0,Branch,44,???,3,???
2,*,3,マロッカ,Marocca,0,Branch,30,???,4,???
3,*,3,マロッカ,Marocca,0,Branch,26,???,8,???
4,*,3,マロッカ,Marocca,0,Branch,1,???,7,???
5,*,3,マロッカ,Marocca,0,Branch,28,???,7,???
6,*,3,マロッカ,Marocca,1,Action,551,Guard,-1,None
7,*,3,マロッカ,Marocca,1,Action,550,Attack,1,Common character
8,*,3,マロッカ,Marocca,1,Action,552,Run,-1,None
1,*,4,アーアペプ,Grouder,0,Branch,33,???,3,???
2,*,4,アーアペプ,Grouder,0,Branch,22,???,10,???
3,*,4,アーアペプ,Grouder,0,Branch,36,???,5,???
4,*,4,アーアペプ,Grouder,0,Branch,22,???,9,???
5,*,4,アーアペプ,Grouder,0,Branch,23,???,11,???
6,*,4,アーアペプ,Grouder,0,Branch,22,???,8,???
7,*,4,アーアペプ,Grouder,1,Action,550,Attack,2,Random character
8,*,4,アーアペプ,Grouder,1,Action,551,Guard,-1,None
9,*,4,アーアペプ,Grouder,1,Action,503,Panika,14,Character without Confusion
10,*,4,アーアペプ,Grouder,1,Action,520,Waver,2,Random character
11,*,4,アーアペプ,Grouder,1,Action,57,Eerie Wail,2,Random character
1,*,7,煌術処刑士,Magic Executor,0,Branch,17,???,19,???
2,*,7,煌術処刑士,Magic Executor,0,Branch,35,???,9,???
3,*,7,煌術処刑士,Magic Executor,0,Branch,40,???,20,???
4,*,7,煌術処刑士,Magic Executor,0,Branch,32,???,9,???
5,*,7,煌術処刑士,Magic Executor,0,Branch,39,???,21,???
6,*,7,煌術処刑士,Magic Executor,0,Branch,11,???,9,???
7,*,7,煌術処刑士,Magic Executor,0,Branch,12,???,9,???
8,*,7,煌術処刑士,Magic Executor,0,Branch,22,???,21,???
9,*,7,煌術処刑士,Magic Executor,0,Branch,37,???,14,???
10,*,7,煌術処刑士,Magic Executor,0,Branch,25,???,23,???
11,*,7,煌術処刑士,Magic Executor,0,Branch,26,???,19,???
12,*,7,煌術処刑士,Magic Executor,0,Branch,25,???,20,???
13,*,7,煌術処刑士,Magic Executor,0,Branch,30,???,25,???
14,*,7,煌術処刑士,Magic Executor,0,Branch,24,???,23,???
15,*,7,煌術処刑士,Magic Executor,0,Branch,24,???,19,???
16,*,7,煌術処刑士,Magic Executor,0,Branch,24,???,24,???
17,*,7,煌術処刑士,Magic Executor,0,Branch,25,???,21,???
18,*,7,煌術処刑士,Magic Executor,0,Branch,30,???,25,???
19,*,7,煌術処刑士,Magic Executor,1,Action,550,Attack,1,Common character
20,*,7,煌術処刑士,Magic Executor,1,Action,500,Increm,8,Enemy with highest ID
21,*,7,煌術処刑士,Magic Executor,1,Action,506,Sacri,7,Injured enemy
22,*,7,煌術処刑士,Magic Executor,1,Action,506,Sacri,8,Enemy with highest ID
23,*,7,煌術処刑士,Magic Executor,1,Action,526,Crystali,2,Random character
24,*,7,煌術処刑士,Magic Executor,1,Action,37,Reform,-1,None
25,*,7,煌術処刑士,Magic Executor,1,Action,551,Guard,-1,None
1,*,13,アスフール,Azbeth,0,Branch,44,???,3,???
2,*,13,アスフール,Azbeth,0,Branch,30,???,4,???
3,*,13,アスフール,Azbeth,0,Branch,27,???,15,???
4,*,13,アスフール,Azbeth,0,Branch,25,???,13,???
5,*,13,アスフール,Azbeth,0,Branch,24,???,8,???
6,*,13,アスフール,Azbeth,0,Branch,28,???,11,???
7,*,13,アスフール,Azbeth,0,Branch,30,???,14,???
8,*,13,アスフール,Azbeth,0,Branch,25,???,16,???
9,*,13,アスフール,Azbeth,0,Branch,24,???,17,???
10,*,13,アスフール,Azbeth,0,Branch,30,???,18,???
11,*,13,アスフール,Azbeth,0,Branch,35,???,19,???
12,*,13,アスフール,Azbeth,0,Branch,30,???,20,???
13,*,13,アスフール,Azbeth,1,Action,550,Attack,2,Random character
14,*,13,アスフール,Azbeth,1,Action,551,Guard,-1,None
15,*,13,アスフール,Azbeth,1,Action,552,Run,-1,None
16,*,13,アスフール,Azbeth,1,Action,200,Call Allies,-1,None
17,*,13,アスフール,Azbeth,1,Action,201,Call Allies,-1,None
18,*,13,アスフール,Azbeth,1,Action,108,Call Allies,-1,None
19,*,13,アスフール,Azbeth,1,Action,517,Eterni,2,Random character
20,*,13,アスフール,Azbeth,1,Action,100,Magical Chant？,-1,None
1,*,15,ヌール,Nur,0,Branch,44,???,3,???
2,*,15,ヌール,Nur,0,Branch,30,???,4,???
3,*,15,ヌール,Nur,0,Branch,28,???,16,???
4,*,15,ヌール,Nur,0,Branch,0,???,7,???
5,*,15,ヌール,Nur,0,Branch,46,???,7,???
6,*,15,ヌール,Nur,0,Branch,28,???,14,???
7,*,15,ヌール,Nur,0,Branch,9,???,11,???
8,*,15,ヌール,Nur,0,Branch,26,???,14,???
9,*,15,ヌール,Nur,0,Branch,26,???,14,???
10,*,15,ヌール,Nur,0,Branch,30,???,16,???
11,*,15,ヌール,Nur,0,Branch,25,???,14,???
12,*,15,ヌール,Nur,0,Branch,25,???,14,???
13,*,15,ヌール,Nur,0,Branch,30,???,16,???
14,*,15,ヌール,Nur,1,Action,550,Attack,1,Common character
15,*,15,ヌール,Nur,1,Action,210,Drain energy,3,Character with most HP
16,*,15,ヌール,Nur,1,Action,552,Run,-1,None
1,*,29,エルモ,Elmo,0,Branch,1,???,7,???
2,*,29,エルモ,Elmo,0,Branch,25,???,7,???
3,*,29,エルモ,Elmo,0,Branch,28,???,5,???
4,*,29,エルモ,Elmo,0,Branch,30,???,6,???
5,*,29,エルモ,Elmo,1,Action,550,Attack,2,Random character
6,*,29,エルモ,Elmo,1,Action,551,Guard,-1,None
7,*,29,エルモ,Elmo,1,Action,552,Run,-1,None
1,*,72,警備士,Guard,0,Branch,1,???,4,???
2,*,72,警備士,Guard,0,Branch,28,???,7,???
3,*,72,警備士,Guard,0,Branch,30,???,9,???
4,*,72,警備士,Guard,0,Branch,26,???,7,???
5,*,72,警備士,Guard,0,Branch,24,???,8,???
6,*,72,警備士,Guard,0,Branch,30,???,9,???
7,*,72,警備士,Guard,1,Action,550,Attack,2,Random character
8,*,72,警備士,Guard,1,Action,80,Medicinal Herb,7,Injured enemy
9,*,72,警備士,Guard,1,Action,551,Guard,-1,None
1,*,96,ロッキ,Stonehawk,0,Branch,44,???,3,???
2,*,96,ロッキ,Stonehawk,0,Branch,30,???,4,???
3,*,96,ロッキ,Stonehawk,0,Branch,28,???,7,???
4,*,96,ロッキ,Stonehawk,0,Branch,27,???,6,???
5,*,96,ロッキ,Stonehawk,0,Branch,30,???,8,???
6,*,96,ロッキ,Stonehawk,1,Action,550,Attack,2,Random character
7,*,96,ロッキ,Stonehawk,1,Action,552,Run,-1,None
8,*,96,ロッキ,Stonehawk,1,Action,93,Fatigue Breath,2,Random character
1,*,99,アルシノ,Kantor,0,Branch,1,???,9,???
2,*,99,アルシノ,Kantor,0,Branch,20,???,6,???
3,*,99,アルシノ,Kantor,0,Branch,26,???,11,???
4,*,99,アルシノ,Kantor,0,Branch,28,???,12,???
5,*,99,アルシノ,Kantor,0,Branch,30,???,13,???
6,*,99,アルシノ,Kantor,0,Branch,27,???,11,???
7,*,99,アルシノ,Kantor,0,Branch,26,???,12,???
8,*,99,アルシノ,Kantor,0,Branch,30,???,13,???
9,*,99,アルシノ,Kantor,0,Branch,25,???,11,???
10,*,99,アルシノ,Kantor,0,Branch,30,???,12,???
11,*,99,アルシノ,Kantor,1,Action,550,Attack,2,Random character
12,*,99,アルシノ,Kantor,1,Action,5,Thunder of Fury,2,Random character
13,*,99,アルシノ,Kantor,1,Action,34,Wait,-1,None
1,*,128,アントニオ,Antonio,0,Branch,2,???,9,???
2,*,128,アントニオ,Antonio,0,Branch,20,???,6,???
3,*,128,アントニオ,Antonio,0,Branch,26,???,11,???
4,*,128,アントニオ,Antonio,0,Branch,28,???,12,???
5,*,128,アントニオ,Antonio,0,Branch,30,???,13,???
6,*,128,アントニオ,Antonio,0,Branch,27,???,11,???
7,*,128,アントニオ,Antonio,0,Branch,26,???,12,???
8,*,128,アントニオ,Antonio,0,Branch,30,???,13,???
9,*,128,アントニオ,Antonio,0,Branch,25,???,11,???
10,*,128,アントニオ,Antonio,0,Branch,30,???,12,???
