Entry ID,US Entry Name,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Retail Price in %,Order by Prio.,US Order by ABC,Purchase Price,Pad. 1,Pad. 2,Effect Value,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[US Descr. Pos.],[US Descr. Size],US Descr. Str.
240,Sap Leaf,0x6,X,X,"",31,Recover HP,1,One character,100,75,1,18,20,0,0,250,-1,None,-1,None,0,Poison,0,0x3338a4,56,A leaf of a plant that recovers an ally's HP by\n250p.
241,Saprum Leaf,0x6,X,X,"",31,Recover HP,1,One character,100,75,2,19,40,0,0,500,-1,None,-1,None,0,Poison,0,0x3338dc,88,A leaf of a plant that grows in the northern\ncontinents. It heals an ally's HP by 500p.
242,Sapres Leaf,0x6,X,X,"",31,Recover HP,2,All characters,100,75,3,20,80,0,0,500,-1,None,-1,None,0,Poison,0,0x333934,92,A leaf of a plant that can only be picked in the\ntropics. It heals all allies' HP by 500p.
243,Sapocine Leaf,0x6,X,X,"",32,Recover HP to 100%,1,One character,100,75,4,21,100,0,0,9999,-1,None,-1,None,0,Poison,0,0x333990,92,A leaf of a rare plant found in the Eastern\nislands. It can completely heal an ally's HP.
244,Amber,0x5,X,"",X,48,Recover MP,1,One character,100,75,5,23,15,0,0,1,-1,None,-1,None,0,Poison,0,0x3339ec,96,A piece of fossilized resin that came from an\nancient magical tree. It recovers your MP by 1p.
245,Amber Ball,0x5,X,"",X,48,Recover MP,1,One character,100,75,6,22,150,0,0,10,-1,None,-1,None,0,Poison,0,0x333a4c,88,A large ball of amber that came from an ancient\nmagic tree. It recovers your MP by 10p.
246,ガッツ回復薬,0x5,X,"",X,35,Recover SP,2,All characters,100,50,7,9,500,0,0,99,-1,None,-1,None,0,Poison,0,0x333aa4,24,ガッツを回復します。\n
247,Ｈ＆Ｍ回復１薬,0x5,X,"",X,50,???,1,One character,100,50,8,1,100,0,0,500,10,???,0,Physical,0,Poison,0,0x333abc,28,ＨＰとＭＰを回復します。\n
248,Ｈ＆Ｍ回復２薬,0x5,X,"",X,51,Recover HP and MP,1,One character,100,50,9,2,400,0,0,9999,99,???,0,Physical,0,Poison,0,0x333ad8,36,ＨＰとＭＰをたくさん回復します。\n
249,治癒薬,0x2,"",X,"",30,Remove negative states,1,One character,100,50,10,31,30,0,0,0,0,Green,0,Physical,-1,None,-1,0x333afc,32,戦闘中の不利な状態を直します。\n
250,復活１薬,0x2,"",X,"",27,Revive with 50% of HP,1,One character,100,50,11,39,60,0,0,0,0,Green,0,Physical,-1,None,69,0x333b1c,48,戦闘不能のキャラを５０％の確率で復活させます。\n
251,復活２薬,0x2,"",X,"",28,Revive with 100% of HP,1,One character,100,50,12,40,120,0,0,0,0,Green,0,Physical,-1,None,-1,0x333b4c,40,戦闘不能のキャラを必ず復活させます。\n
252,攻防ＵＰ薬,0x2,"",X,"",21,Add Strengthen,1,One character,100,50,13,12,40,0,0,0,0,Green,0,Physical,-1,None,-1,0x333b74,32,パワーアップの状態になります。\n
253,素早さＵＰ薬,0x2,"",X,"",20,Add Quickened,1,One character,100,50,14,26,40,0,0,0,0,Green,0,Physical,-1,None,-1,0x333b94,36,スピードアップの状態になります。\n
254,ＨＰターン回復薬,0x2,"",X,"",33,Add Regenerate,1,One character,100,50,15,3,160,0,0,4,0,Green,0,Physical,0,Poison,0,0x333bb8,36,ＨＰターン回復の状態になります。\n
255,手りゅう弾,0x2,"",X,"",0,Damage,32,Enemy area 0,100,50,78,78,20,0,0,200,1,Red,0,Physical,0,Poison,0,0x333bdc,16,カットです。\n
256,睡眠ガス弾,0x2,"",X,"",69,Add Sleep + Damage,32,Enemy area 0,100,50,79,79,40,0,0,400,3,Blue,0,Physical,3,Sleep,50,0x0,0,""
